ID,名字,描述
ID,Name,Desc
1,Saludar,Saluda con la mano
2,Duda,"Cerebros pequeños, dudas grandes"
3,Llorar,Tápate la cara y llora
4,Enfado,Pisando con ira
5,Estirarse,"Un poco de sueño, un estiramiento perezoso"
6,Feliz,Parece feliz
7,Agradecido,Reverencia sincera
8,Ocio,Mira a su alrededor y se relaja
9,Caída,Cae al suelo de repente
10,Pose,Poner un movimiento de firma encantadora
11,Acción exclusiva,Acción exclusiva de Fluttershy
12,Acción exclusiva,Acción exclusiva de la Princesa Luna
13,Acción exclusiva,Acción exclusiva de Pinkie Pie
14,Acción exclusiva,Acción exclusiva de Starlight Glimmer
15,Acción exclusiva,Acciones exclusivas de Rainbow Dash
16,Acción exclusiva,Acción exclusiva de la Princesa Cadence
17,Acción exclusiva,Acción exclusiva de Flower Dewie
18,Acción exclusiva,Princesa Frost acción exclusiva
19,Acción exclusiva,Acción exclusiva de Rory
20,Test de Interacción 1,La acción interactiva de Sakura y Lightning
21,Test de Interacción 2,La acción interactiva de Sakura y Sakura
22,Test de Interacción 3,Acciones interactivas comunes para Sakura
23,Soaring Warbler - Air Marsall,Toca el Harpa
24,Soaring Warbler - Novato,Gira y baila
25,mostrar artes marciales,Acción exclusiva de Tang San
26,mostrar artes marciales,Acción exclusiva de Xiao Wu
27,mostrar artes marciales,Acción exclusiva de Bi Bidong
28,liberar la habilidad del alma,Acción exclusiva de Oscar
29,mostrar artes marciales,Acción exclusiva de Ma Hongjun
30,liberar la habilidad del alma,Acción exclusiva de Dai Mubai
31,mostrar artes marciales,Acción exclusiva de Zhu Zhuqing
32,Mostrar artes marciales,Acción exclusiva de Ning Rongrong
33,Mostrar artes marciales,Acción exclusiva de Zhu Zhuqing
34,Mostrar artes marciales,Acción exclusiva de Ning Rongrong
