ID,名字
ID,Name
1,Lámparas 1
2,Lámparas 2
3,Muebles de árbol frutal
4,Muebles de álamo
5,Muebles de pino
6,Puertas
7,Camas
8,Cosas indestructibles
9,Tablones de mensajes
10,Armas de largo alcance
11,Valla publicitaria
12,Luces de lujo
13,Jardinería
14,Festival de la primavera
15,Festival de los faroles
16,Semana de Festival  (Cubo)
17,Semana de Festival  (valla)
18,Semana extra (pez)
19,Ficción-A
20,Ficción-B
21,Tech Horas
22,Tecnología antigua
23,Evento
24,Máquina
25,Muebles De Madera Populus
26,Accesorios de Hadas de Balala
27,Muebles Chinos
