ID,名称
ID,Name
10001,Aparición Gradual
10002,Magnificar
10003,Minificado
20001,Desaparición Gradual
20002,Magnificar para ocultar
20003,Minificado para ocultar
30001,Temblor
30002,Golpe
30003,Latido
30004,Balancear
30005,Rotar
30006,Voltear
30007,Escanear en sentido de agujas del reloj
30008,Escanear en sentido opuesto a las agujas del reloj
30009,Parpadeo
40001,Máquina de escribir
50001,Movimiento fluido
50002,Aumentar la ubicación de manera fluida
50003,Zoom Fluido
50004,Aumentar el ancho y alto de manera fluida
50005,Rotación fluida
50006,Aumentar el ángulo de manera fluida
