ID,名字,Desc
ID,Name,Desc
1001,Cambiar velocid. de movim.,Hacer que @1 del jugador @2
1002,Cambiar velocid. de escavar,Hacer la velocidad de excavación del jugador @1
1003,Cambiar Cantidad de Daño,Hacer que @2 el daño causado por el jugador—@1
1004,Saltar,Aumenta la fuerza de salto del jugador en @1
1005,Cambiar Nivel máx de HP/de Hambre,Hacer que @2 el @1 máximo del jugador
1006,Sigue cambiando Nivel de Hambre,Cada @1 segundo el nivel de hambre del jugador @2 puntos
1007,Sigue restaurando HP,"Cada @1 segundo, el HP del jugador se recupera @2"
1008,Sigue haciéndote daño,Cada @1 segundo jugador obtiene @2 @3
1009,Brillo de Visión,Brillo de visión @1
1010,Ratio Lesionado,El jugador obtiene @1 @2
1011,Velocid. del hambre,La velocidad del hambre del jugador @1
1012,Suerte,El jugador @1 tiene @2 probabilidad de obtener @3
1013,Golpear más lejos,La distancia de retroceso aumenta @1 bloques
1014,Vencer la resistencia,La distancia de retroceso disminuye @1 bloques
1015,Volumen del modelo,Hacer que @2 el tamaño del jugador @1
1016,Cambiar Modo,Cambia el modo a @1
1017,Desorientado,Moverse en la dirección opuesta
1018,Invencible,Hacer al jugador invencible
1019,Burbuja,Haz que el jugador esté rodeado de burbujas
1020,Congelar,El jugador no puede moverse
1021,Oxígeno,Oxígeno del jugador @3 en @1 cada @2 segundos
1022,Absorber daño,El jugador obtiene un escudo que puede absorber @1 daño
1023,Cambiar el ataque,Hacer el jugador @1 @2
1024,Golpear,El ataque manso del jugador derribará al enemigo durante @1 bloques
1025,Estado de Ataque Adjuntado,"Cuando el objetivo es alcanzado, habrá una probabilidad de 1 de tener un efecto de 3 durante 2 segundos."
1026,Cambiar Valor de Defensa,Hacer @1 @2
1027,Daño Reflejado,"Cuando se golpea al objetivo, habrá una probabilidad de @1 de causar un daño mínimo de @2"
1028,Escalar Pared,El jugador puede moverse sobre cualquier superficie como subir una escalera
1029,Tasa de recuperación de HP,Restaura la salud del personaje@1
1030,Tasa de EXP,Acelera la adquisición de experiencia del personaje@1
1031,% De resistencia máxima,Hacer que el rol sea @1 cap @2
1032,Resistencia máxima,Hacer que el rol sea@1 cap@2
1033,Recupere constantemente la resistencia,Restaura@2 puntos de resistencia cada@1 segundo
1034,Tasa de agotamiento de la resistencia,"Al hacer que el personaje actúe@1, el consumo de energía física@2"
1035,Tasa de recuperación de resistencia,"Cuando el personaje está en@1, la resistencia recupera la velocidad@2"
1036,Recuperarse del agotamiento,"Cuando la resistencia del personaje se restaura a@1 o más, el estado de fatiga se alivia."
1037,Rápido,Incapaz de consumir alimentos
1038,"Cuando el estado está en efecto, suelte elementos","Cuando está en estado@1, el carácter producirá@2"
1039,Suelta artículos constantemente,"Cada@1segundos, el carácter producirá@2"
1040,Incapaz de correr,El personaje no puede correr
1041,"Cuando el estado terminó, suelte los elementos","Cuando finaliza el estado@1, el carácter producirá@2"
1042,Cambiar modelo (skin),Cambia el modelo de tu avatar a @1
1043,Restaura 2 de salud constantemente,Restaura tu salud y la de tus compañeros de equipo en 2 HP por segundo
1044,Hace daño constantemente,Hace que los monstruos reciban 2 de daño por segundo
1045,Dañado por consumir energía física.,Los personajes reciben la misma cantidad de @1 cuando consumen energía.
1046,Recibes daño mientras realizas una acción.,El personaje recibe @2 puntos @3 cuando realiza @1
1047,Inmune al buff,Carácter inmune@1
1048,Buff extra,"En cada@1 segundo, permite obtener@2"
1049,Operación prohibida,Prohibir todas las acciones
1050,Inmune al debuff,Personaje inmune a todos los buffos de @1
1051,Caer,Criatura voladora derribada
1052,Movimiento prohibido,Prohibir moverse
1053,,
1054,,
1055,,
1056,Superubicación de Pantalla,Hacer superubicación de pantalla de visualización del personaje
1057,Detener Acción,Hacer que el personaje se detenga en el fotograma actual
1058,Cambiar Textura,Cambiar la textura del personaje a un material de hielo
1059,Efecto Especial de Hielo,Agregar efectos especiales de hielo al personaje
1060,Finalizar el cambio de temperatura,Definir la temperatura del personaje a @2 al finalizar el estado
1061,Finalizar la reproducción de efectos especiales y de sonido,Reproducir efectos especiales y efectos de sonido al finalizar el estado
1062,La temperatura afecta la duración,La duración del estado cambiará debido a la temperatura circundante
1063,Eliminar el estado al recibir daño acumulado,El estado se elimina cuando el daño acumulado @1 alcanza @2
1064,Cambio de temperatura en el tiempo,Cambiar la temperatura del personaje en @2 cada @1s
1065,Cambio de temperatura aparente,Cambiar la temperatura de ambiente que afecta al personaje en @1
1066,Cambio de temperatura circundante,Aumentar la temperatura de ambiente dentro de @1 cuadrícula alrededor del personaje en @2
1067,Condensación de bloque y derretimiento,"Hacer que el agua se congele dentro de @1 cuadrículas alrededor del personaje, con una diferencia de altura de @2 cuadrículas hacia arriba y abajo"
1068,Generar bloques cercanos de manera aleatoria,"En un área cilíndrica alrededor del jugador con un radio de @1 y una altura de @2, generar @4 sobre la superficie de un bloque aleatorio cada @3s."
1069,Otorga al atacante un estado.,"Al recibir @1 ataques, hay un @2% de probabilidad de otorgar @3 al atacante."
1070,Se cambia el multiplicador de restauración de alimentos.,Se incrementa la cantidad de restauración de @1alimentos@2 a @3
