ID,名称
ID,name
11311,Popó
11423,Hoja de coco mutante gigante
11603,Runa de ataque de bajo nivel
11604,Runa de ataque intermedio
11605,Runa de ataque avanzada
11606,Runa de defensa de bajo nivel
11607,Runa de defensa intermedia
11608,Runa de defensa avanzada
11609,Runa de eficiencia de bajo nivel
11610,Runa de eficiencia intermedia
11611,Runa de eficiencia avanzada
11657,Barra luminosa iluminada
12615,Algas duras
12616,Botella de cristal del mapa del tesoro
13600,Pez linterna
13602,Pez Patinar
13604,Pez gugu azul claro
13605,Pez gugu azul oscuro
13606,Pez gugu negro
13607,Pez payaso azul claro
13608,Pez kuku rosa
13609,Pez gugu oro
13610,Pez kuku oro
13611,Pez payaso oro
13612,Pez gugu rosa
13613,Pez kuku amarillo
13614,Pez payaso violeta
13615,Pez kuku verde
13616,Pez payaso a rayas
13617,Pez kuku rojo
13618,Pez gugu rojo
13619,Pez payaso naranjo
13621,Cangrejo
13623,Caballito de mar
13624,Caballito de mar bebé
13626,Medusas
13627,Pez volador
13628,Tiburón
13629,Pez Diablo
13630,Pez alga fluorescente
245,Hierba marina
247,Pétalo flotante
248,Tablero flotante
250,Lotus
27,Botella de deriva desde lejos
295,Coco grande
314,Alga roja
486,Coral cuerno
487,Coral cuerno albino
488,Coral burbuja
489,Coral burbuja albino
490,Disco coral
491,Coral disco albino
492,Árbol de coral
493,Coral árbol albino
