ID,名字,类型名称
ID,Name,TypeName
1,Adelante,Mover
2,Izquierda,Mover
3,Derecha,Mover
4,Atrás,Mover
5,Saltar,Mover
6,Escabullirse,Mover
7,Esprintar,Mover
8,Mochila,Inventario
9,Descartar,Inventario
10,Atajo 1,Inventario
11,Atajo 2,Inventario
12,Atajo 3,Inventario
13,Atajo 4,Inventario
14,Atajo 5,Inventario
15,Atajo 6,Inventario
16,Atajo 7,Inventario
17,Atajo 8,Inventario
18,Ordenar,Inventario
19,Chat,Multijugador
20,UI,Multijugador
21,Puntuaciones,Multijugador
22,Logro,Función
23,Minimapa,Función
24,Montura,Función
25,Modo Personalizado,Función
26,Estado,Función
27,Paquete,Función
28,Disfraz,Función
29,Recargar,Función
30,Recargar,Inventario
31,Cambia de voz,Juego multijugador
32,Cambiar micrófono,Juego multijugador
33,Biblioteca de recursos,Función
34,Ventana flotante del desarrollador,Función
35,Barra rápida a la izquierda,Función
36,Barra rápida a la derecha,Función
37,Interfaz de recursos,Función
38,Guión,Función
39,Editor Senior,Función
40,Disparador,Función
