ID,名字,描述,限购ID/与storeprop同字段不可重复,购买次数,,
ID,Name,Desc,PurchaseLimitID,BuyNum,Order,IsHide
1,50 minimonedas,@Null@,,,,
2,250 minimonedas,@Null@,,,,
3,500 minimonedas,Con un regalo extra de 25 minimonedas,,,,
4,1000 minimonedas,Con un regalo extra de 100 minimonedas,,,,
5,2500 minimonedas,Con un regalo extra de 500 minimonedas,,,,
6,5000 minimonedas,Con un regalo extra de 1500 minimonedas,,,,
7,100 minimonedas,Con un regalo extra de 100 minimonedas (Solo por 1 vez),4,1,,1
8,300 minimonedas,Con un regalo extra de 300 minimonedas (Solo por 1 vez),5,1,,1
11,13 Mini Monedas,,,,,
12,14 Mini Monedas,,,,,
13,27 Mini Monedas,,,,,
14,41 Mini Monedas,,,,,
17,20 Mini Monedas,,,,3,0
20,25 Mini Monedas,,,,,
21,14400 Mini Monedas,4600 Mini Monedas extra,,,,
22,33 Mini Monedas,33 Mini Monedas Gratis (limitado a 1 compra),6,1,1,0
23,150 Mini Monedas,150 Mini Monedas Gratis (limitado a 1 compra),7,1,2,0
