姓或形容词（在最前）,男人名字,女人名字
Surname,Male,Female
,Feliz Yuma,Feliz Yaretzi
,Tonto Erandi,Tonta María
,Kawaii Pedro,Kawaii Yareni
,Gilipollo Edahi,Gilipolla Paula
,Sabiduría García,Sabiduría Sofía
,Celestial Carlos,Celestial Alejandra
,Guapo Hugo,Guapa Ana
,Gracioso Leo,Graciosa Marta
,Entusiasta Diego,Entusiasta Itzia
,Listo Javier,Lista Itzamara
,Inteligente Nicolás,Inteligente Zazil Ha
,Santo Guillermo,Santa Aruma
,Marítimo Juan,Marítima Nicte
,Deidad Ángel,Diosa Elena
,Ridículo Leonardo,Ridícula Laura
,Furioso Kin,Furiosa Felicidad
,Valiente Balam,Valiente Inga
,Arrogante Sol,Arrogante Florida
,Vicioso Acoatl,Viciosa Luna
,Bondadoso Adán,Bondadosa Cecillia
,Viejo Eric,Vieja Noa
,Alegre Daniel,Algere Sara
,Negativo Marcos,Negativa Valentina
,Impresionante Thiago,Impresionante Vega
,Inolvidable Álvaro,Inolvidable Elsa
,Popular Jorge,Popular Lucía
,Sólido Lucio,Sólida Etta
,Macho Ogui,Hada Cain
,Señor Simone,Señora Brooks
,Don Euan,Doña Alisa
,Señorito Duncan,Señorita Bronwen
,Espantoso Conall,Espantosa Araminta
,Emocionante Archie,Emocionante Alicia
,Maldito Quijote,Maldita Harper
,Amante Alfonso,Amante Junnie
,Deportista Andy,Deportista Shelly
,Bonito Yumito,Bonita Bella
,Exótico Andrés,Exótica Amelia
,Extraterrestre Angee,Extraterrestre Andy
,Raro Gonzáles,Rara Eva
,Samurai Alan,Princesa Annie
,Rey Jayce,Reina Cassiopeia
,Príncipe Blasco,Dama Camille
,Demonito Diamente,Demonita Bingbing
,Feliz Dominguito,Feliz Blanca
,Tonto Emeterio,Tonta Rosa
,Kawaii Alf,Kawaii Luxiana
,Gilipollo Grisóstomo,Gilipolla Hator
,Sabiduría Albertino,Sabiduría Serapia
,Celestial Oguito,Celestial Bonanova
,Guapo Kenen,Guapa Aya
,Gracioso Óscar,Graciosa Jana
,Entusiasta Francisco,Entusiasta Lisandra
,Listo Pepe,Lista Fiona
,Inteligente Alejandro,Inteligente Ramona
,Santo Martín,Santa Aída
,Marítimo Arán,Marítima Andalucia
,Deidad Dylan,Diosa Azucena
,Ridículo Eros,Ridícula Fátima
,Furioso Jabel,Furiosa Mara
,Valiente Antonio,Valiente Abril
,Arrogante Mauricio,Arrogante Ondina
,Vicioso Adam,Viciosa Águila
,Bondadoso Moisés,Bondadosa Capilla
,Viejo Santiago,Vieja Denisa
,Alegre Israel,Algere Carmen
,Negativo Isaac,Negativa Isabel
,Impresionante Gabriel,Impresionante Teresa
,Inolvidable Samuel,Inolvidable Annie
,Popular Jonás,Popular Chencha
,Sólido Pablo,Sólida Katerina
,Macho Iván,Hada Carísima
,Señor Yi,Señora Verónica
,Don Víctor,Doña Mafalda
,Señorito Ezrealo,Señorita Ashy
,Espantoso Ignacio,Espantosa Fintana
,Emocionante Octavio,Emocionante Ada
,Maldito Olaf,Maldita Natalia
,Amante Enrique,Amante Nadia
,Deportista Felipe,Deportista Helena
,Bonito Harald,Bonita Idalia
,Exótico Fernando,Exótica Victoria
,Extraterrestre Nar,Extraterrestre Zoe
,Raro Graves,Rara Ari
,Samurai Boriso,Princesa Leona
,Rey Vladimir,Reina Diana
,Príncipe Yuri,Dama Octavia
,Demonito Saburo,Demonita Leticia
,Feliz Bábilas,Feliz Carlota
,Tonto Timo,Tonta Catalina
,Kawaii Teo,Kawaii Ludomila
,Gilipollo Izan,Gilipolla Barca
,Sabiduría Eric,Sabiduría Mía
,Celestial Gael,Celestial Claudia
,Guapo Miguel,Guapa Emma
,Gracioso Bruno,Graciosa Olivia
,Entusiasta Jesús,Entusiasta Lola
,Listo José,Lista Tristana
,Inteligente Ian,Inteligente Inés
,Santo Jaime,Santa Paola
,Marítimo Alonso,Marítima Isabella
,Deidad Noah,Diosa Aurora
,Ridículo Raúl,Ridícula Camila
,Furioso Fénix,Furiosa Bárca
,Valiente Orión,Valiente Estrella
,Arrogante Eloy,Arrogante Paciencia
,Vicioso Romeo,Viciosa Oria
,Bondadoso Estrella,Bondadosa Joaquima
,Viejo Amin,Vieja Juana
,Alegre Edmundo,Algere Dulce
,Negativo Jacobo,Negativa Noemí
,Impresionante Salvador,Impresionante Raquel
,Inolvidable Sandro,Inolvidable Tatiana
,Popular Darius,Popular Xenia
,Sólido Darkwill,Sólida Nicco
,Macho Varus,Hada Linda
,Señor Azir,Señora Roba
,Don Nasus,Doña Cristina
,Señorito Rey,Señorita Jinx
,Espantoso Mario,Espantosa Catlyn
,Emocionante Sabino,Emocionante Sona
,Maldito Yago,Maldita Bora
,Amante Shiro,Amante Sejuani
,Deportista Toro,Deportista Rica
,Bonito Vago,Bonita Maya
,Exótico Fuego,Exótica Ayumi
,Extraterrestre Eduardo,Extraterrestre Julita
,Raro Rafael,Rara Yula
,Samurai Rumble,Princesa Gracia
,Rey Oggy,Reina Ada
