ID,名称
ID,Name
79000000,Bloque de hierba
79000001,Cuajada negra
79000002,Cuajada negra
79000003,Cuajada negra
79000004,Cuajada negra
79000005,Cuajada negra
79000006,Cuajada negra
79000007,Tierra Cultivable
79000008,Tierra Cultivable
79000009,Bloque tóxico
79000010,Cristal negro
79000011,Bloque de Hierba de Arándano
79000012,Bloque de Suelo de Arándano
79000013,Cuajada
79000014,Hierba de Horas
79000015,Arena cristalina de azufre
79000016,Mineral de hierro
79000017,Roca mágica
79000018,Sulfato de cobre
79000019,Bloque ceniza de hierba
79000020,Tierra cultivable de laterita
79000021,Tierra cultivable de laterita
79000022,Arcilla roja
79000023,Arena roja
79000024,Roca sedimentaria
79000025,Roca sedimentaria
79000026,Roca eólica
79000027,Roca eólica
79000028,Bloque de barro
79000029,Roca Maldita
79000030,Suelo Seco
79000031,Hielo duro
79000032,Arena caliente
79000033,Arena caliente
79000034,Suelo congelado
79000035,Bloque de energía solidificado
79000036,Fruto azul gigante
79000037,Sandía
79000038,Bloque de Suelo con Hierba
79000039,Gravilla
79000040,Hielo crujiente
79000041,Hielo crujiente
79000042,Pinchos de Hielo Flotantes
79000043,Pinchos de Hielo Sólidos
79000044,Madera de Gen sin hojas
79000045,Zhenmu
79000056,Tronco de Árbol
79000057,Ramas de álamo en bruto
79000058,Ramas de alerce en bruto
79000059,Tronco de cocotero
79000060,Ramas gruesas de cereza
79000061,Madera Núcleo de la Selva
79000062,Madera Núcleo de la Selva
79000063,Ramas gruesas de melocotonero
79000064,Tronco de Phoebe
79000065,Tronco de Árbol Populus
79000066,Tronco de Árbol Populus
79000067,Ramas de secuoya ásperas
79000068,Arbol sagrado
79000069,Ramas gruesas de nogal
79000070,Escalón moderno
79000071,Hoja de poro mutante
79000072,Tallo de planta mutado
79000073,Arena amarilla
79000074,Bloque de petroleo
79000075,Arena amarilla
79000076,Arena
79000077,Cubo estelar
79000078,Roca
79000079,Roca de sulfuro
79000080,Piedra angular
79000081,Piedra angular - concreto
79000082,Piedra angular - suelo agrietado
79000083,Piedra angular blanca
79000084,Piedra angular - hielo
79000085,Ladrillo de arcilla
79000086,Piso de madera
79000087,Piso de madera naranjo
79000088,Piso de madera rojo
79000089,Hoja vertical de bronce
79000090,Hoja vertical de ladrillo de cemento
79000091,Ladrillo de piedra
79000092,Núcleo de caramelo
79000093,Bloque de coche
79000094,Escalón chino
79000095,Escalón chino
79000096,Ladrillo simple
79000097,Escalón simple
79000098,Pared simple
79000099,Pared simple
79000100,Bloque de vidrio
79000101,Ladrillo vidrioso
79000102,Ladrillo vidrioso con cuadrícula horizontal
79000103,Ladrillo vidrioso con cuadrícula vertical
79000104,Ladrillo vidrioso con cuadrículas
79000105,Ladrillo vidrioso irregular
79000106,Vidrio verde
79000107,Bloque de vidrio resistente
79000108,Alpaca
79000109,Miel quemada
79000110,Bloque de Cobre Horas
79000111,Ladrillo de hielo
79000112,Bloque Sensor Infrarrojo
79000113,Hoja vertical de manganeso
79000114,Hoja vertical de hierro
79000115,Hoja vertical amarillo limón
79000116,Hoja vertical de bambú
79000117,Hoja vertical blanco marfil
79000118,Hoja vertical naranja
79000119,Hoja vertical gris claro
79000120,Hoja vertical
79000121,Hoja vertical gris
79000122,Tablón gris de madera
79000123,Hoja vertical carmín
79000124,Hoja vertical naranja del sol
79000125,Tablero de Madera Populus
79000126,Hoja vertical roja Begonia
79000127,Hoja vertical roja oscura
79000128,Tablones flotantes
79000129,Bloque ceniza de hierba
79000130,Pared de ladrillo
79000131,Arrecife
79000132,Hoja vertical de piedra
79000133,Escalera de ladrillo amarillo
79000134,Ladrillo amarillo refinado
