ID,名称
ID,Name
11000005,Tazón
11000006,Estrella
11000007,Semi-cilindro
11000008,Tabla
11000009,Banco
11000010,Tablero de Frutal
11000011,Hemisferio
11000012,Aro de natación
11000013,Pastel redondo
11000014,Árbol
11000015,Válvula
11000016,Banco largo
11000017,Bloque
11000018,Flor
11000019,Árbol de frutipan
11000020,Empalizada
11000021,Sombrilla
11000022,Bastón largo
11000023,Martillo
11000024,Flor giratoria
11000025,Martillo oscilante
11000026,Árbol de frutas rebotante
11000027,Válvula giratoria
11000028,Cojín de aire
11000029,Empalizada inflable
11000030,Humo 1
11000031,Humo 8
11000032,Humo 23
11000033,Explosión 2
11000034,Explosión 15
11000035,Explosión 37
11000036,Llama 3
11000037,Llama 11
11000038,Llama 31
11000039,Entorno 2
11000040,Entorno 12
11000041,Entorno 8
11000042,Efectos de luz 52
11000043,Efectos de luz 9
11000044,Efectos de luz 7
11000045,Partícula 2
11000046,Partícula 6
11000047,Partícula 24
11000048,Consejo 1
11000049,Consejo 7
11000050,Consejo 44
11000051,Efectos de luz 35
11000052,Efectos de luz 47
11000053,Efectos de luz 72
11000054,Efectos de luz 77
11000055,Efectos de luz 86
11000056,Humo 2
11000057,Humo 4
11000058,Humo 5
11000059,Humo 26
11000060,Humo 30
11000061,Humo 32
11000062,Humo 42
11000063,Partícula 5
11000064,Partícula 12
11000065,Partícula 21
11000066,Partícula 25
11000067,Partícula 29
11000068,Partícula 31
11000069,Partícula 33
11000070,Partícula 35
11000071,Partícula 40
11000072,Partícula 43
11000073,Entorno 11
11000074,Entorno 16
11000075,Llama 4
11000076,Llama 15
11000077,Donas
11000078,Obleas
11000079,Trébol
11000080,Tubo rojo
11000081,Manzana roja
11000082,Carrusel azul
11000083,Vallas
11000084,Hoja
11000085,Hongo amarillo
11000086,Arcoíris
11000088,Marcador X
11000089,Corazón rosa
11000090,Resbaladilla
11000091,Camión
11000092,Remolque
11000093,Camioneta
11000094,Auto azul
11000095,Furgoneta
11000096,Dosel
11000097,Letrero de pizzería
11000098,Escalera mecánica
11000099,Gancho
11000100,Ductos de ventilación
11000101,Arco
11000102,Caja de regalo
11000103,Caballo de troya
11000104,Globo aerostático
11000105,TV
11000107,Luna
11000108,Ducha vacía
11000109,Cuchara
11000110,Libro
11000111,Cuchillo
11000112,Destornillador
11000113,Botella
11000114,Diamante
11000115,Corazón
11000116,Engranaje
11000117,Flecha curva
11000118,Flecha recta
11000119,Cilindro
11000120,Cono truncado
11000121,Anillo
11000122,Arco circular
11000123,Arco
11000124,Anillo cuadrado
11000125,Columna triangular
11000126,Cilindro hexagonal
11000127,Cilindro de sector
11000128,Cilindro convexo
11000129,Vacío cilíndrico
11000130,Cono tetragonal
11000131,Cono hexagonal
11000132,Vía deslizante
16000000,Cubo
16000001,Globo
16000002,Cilindro
16000003,Cono circular
16000004,Cuña
