签到类型/1七天 2每周 3国庆活动,天数/周几,西班牙语,西班牙语
SignInType,WhatDay,RewardName,RewardTips
1,1,Fuegos artificiales de estrella (grande),Comprueba tu paquete.
1,2,Caja fuerte,Comprueba tu paquete.
1,3,Regalo estelar,Comprueba tu paquete.
1,4,Fuegos artificiales antimonstruo,Comprueba tu paquete.
1,5,Fuegos artificiales de estrella (grande),Comprueba tu paquete.
1,6,Regalo estelar,Comprueba tu paquete.
1,7,Miniregalo,Comprueba tu paquete.
2,1,Bolsa de la suerte,Comprueba tu paquete.
2,2,Paquete de disfraz,Comprueba tu paquete.
2,3,Regalo estelar,Comprueba tu paquete.
2,4,Paquete de disfraz,Comprueba tu paquete.
2,5,Regalo estelar,Comprueba tu paquete.
2,6,Minihaba,Añadido a la cuenta.
2,7,Minihaba,Añadido a la cuenta.
3,1,Regalo estelar,Comprueba tu paquete.
3,2,Bolsa de minihabas,Comprueba tu paquete.
3,3,Pergamino de transferencia,Comprueba tu paquete.
3,4,Bolsa de minihabas,Comprueba tu paquete.
3,5,Fuegos artificiales antimonstruo,Comprueba tu paquete.
3,6,Bolsa de minihabas,Comprueba tu paquete.
3,7,Minicapa,Comprueba tu paquete.
3,8,Bolsa de minihabas,Comprueba tu paquete.
3,9,Bolsa de minihabas,Comprueba tu paquete.
3,10,Bolsa de minihabas,Comprueba tu paquete.
3,11,Bolsa de minihabas,Comprueba tu paquete.
3,12,Carta de disfraz,Comprueba tu paquete.
3,13,Bolsa de minihabas,Comprueba tu paquete.
3,14,Bolsa de minihabas,Comprueba tu paquete.
3,15,Bolsa de minihabas,Comprueba tu paquete.
3,16,Bolsa de minihabas,Comprueba tu paquete.
3,17,Bolsa de minihabas,Comprueba tu paquete.
3,18,Bolsa de minihabas,Comprueba tu paquete.
3,19,Bolsa de minihabas,Comprueba tu paquete.
3,20,Boina,Comprueba tu paquete.
