ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Convertir Lugar en Región,General,"Marcar |@1| como centro, y áreas con dimensiones de (|@2|, |@3|, |@4|)"
10002,Desplazamiento Región,General,@1| se desplaza en（|@2|，|@3|，|@4| de Ejes Coordenadas
10003,Expandir Región,General,"Engrandecer la coordenada |@1| con X|@2|, Y|@3|, Z|@4| bloques"
10005,Lugar Coordenada Especificada,General,Posición de X|@1|Y|@2|Z|@3
10006,Desplazamiento Lugar(Cambiar lugar original),General,@1| se desplaza en（|@2|，|@3|，|@4| de Ejes Coordenadas
10007,Centro de Región,General,Lugar Central de |@1
10008,Lugar Aleatorio de Región,General,Lugar Aleatorio de |@1
10009,Tiempo de Temporizador,General,Tiempo de |@1
10010,Longitud Rayo de la Dirección Designada,General,"Desde |@1|, proyectar |@3| cuadros de Rayos hacia |@2|. La longitud de rayo que regrese del bloque impeditivo al punto inicial"
10011,Concatenación String,General,@1| y |@2
10012,Convertir Valor en String,General,Convertir |@1| en String
10013,Comparación Boolean,General,@1||@2||@3
10014,Comparación Valor,General,@1||@2||@3
10015,Tipo Bloque Golpeado por Rayo,General,"Empezar con |@1|, proyectar |@3| cuadros de Rayos hacia |@2|, mostrar el tipo de bloque que detenga el rayo"
10016,Frente a las Coordenadas,General,"@1| está enfrentando a X|@2|, Y|@3|, Z|@4"
10017,Frente a las Coordenadas Esféricas,General,"@1| está enfrentando al ángulo de acimut |@2|, con elevación |@3"
10018,Elegir a Jugador,General,Seleciona |@1
10019,Elegir Criatura,General,Seleciona |@1
10020,Elegir Proyectil,General,Seleciona |@1
10021,Elegir las Caídas,General,Seleciona |@1
10022,Tono se transforma en Número,General,@1| se transforma en número
10023,Comparación del String Carácter,General,@1||@2||@3
10024,Desplazamiento Lugar(No cambia lugar original),General,@1| se desplaza en（|@2|，|@3|，|@4| de Ejes Coordenadas
10025,Valor Boolean,General,|@1
10026,Valor,General,|@1
10027,String Carácter,General,|@1
10028,Tipo de Apariencia,General,|@1
10029,Grupo booleano,General,|@1
10030,Grupo de números,General,|@1
10031,Grupo de cuerdas,General,|@1
10032,Obtener recuento de valor de un grupo,General,Obtener el número de valores medianos |@1
10033,Obtener el recuento de valor de un valor en un grupo,General,Obtener el número de valores medianos |@1
10034,Obtener el ID de un valor en un grupo,General,Obtenga el número de |@1|  |@2
10035,Determinar si existe un valor en un grupo,General,@1| existe |@2
10036,Determinar si existe una identificación específica en un grupo,General,Hay un valor en la posición numerada|@2| en |@1
10037,Extraer string,General,Extraer |@1| de |@2| - |@3| cadena de posición
10038,Convertir string en entero,General,@1| convertir a entero
10039,Obtener la configuración de hora del dispositivo principal,General,Obtener dispositivo |@1| tiempo
10040,Obtenga la configuración completa de la hora del dispositivo principal,General,Obtenga la configuración completa de la hora del dispositivo principal
10041,Tipo de bloque aleatorio,General,Tipo de bloque aleatorio
10042,Dividir Cadena,General,"Dividir |@1|, el separador es |@2|, interceptar |@3| luego de dividir"
10043,Obtener la cadena de la marca especificada,General,Obtener |@1| con el nombre de clave |@2|
10044,Obtener tiempo de servidor del juego,General,Obtener el tiempo del servidor del juego |@1|
10045,Convertir marca de tiempo a unidad de tiempo,General,Convertir marca de tiempo |@1| a |@2
10046,Obtener tiempo de servidor completo,General,Obtener tiempo de servidor completo
10047,Convertir marca de tiempo a tiempo completo,General,Convertir marca de tiempo |@1| a tiempo completo
20001,Calculación Numérica,Matemática,@1||@2||@3
20002,Resto,Matemática,@1|Mod|@2
20003,Número Aleatorio,Matemática,Generar número aleatorio entre |@1| y |@2
20004,Valor Máx.,Matemática,@1| y |@3| de |@2
20005,División Exacta,Matemática,@1| divide |@2
20006,Valor Coordenadas de Lugar,Matemática,@2| Valores de Coordenadas de |@1
20007,Ángulo Horizontal entre Lugares,Matemática,Ángulo Horizontal entre |@1| y |@2
20008,Ángulo Vertical entre Lugares,Matemática,Ángulo Vertical entre |@1| y |@2
20009,Potenciación,Matemática,@1| a potencia de |@2
20010,Extracción Raíces,Matemática,@1| extraído raíces a |@2
20011,Valor Absoluto,Matemática,Valor absoluto de |@1
20012,Función Trigonométrica,Matemática,@1||@2||@3
20013,Función Log de Base Fijada,Matemática,@1||@2
20014,Función Log de Cualquier Base,Matemática,Log|@1||@2
20015,Redondear,Matemática,"Redondear el número |@1|, en forma de |@2"
20016,Convertir Ángulo en Radián,Matemática,Convertir |@1| en |@2
20017,.y.,Matemática,@1| y |@2
20018,.o.,Matemática,@1| o |@2
20019,exclusivo o,Matemática,@1| exclusivo o |@2
20020,.no.,Matemática,No |@1
20021,Comparación de Valor Aleatorio,Matemática,@1||@2||@3
30001,Tiempo de Juego Actual,Juego,Tiempo actual del juego
30002,Equipo de Ranking Designado,Juego,Equipo con ranking de |@1
30003,Veces de la Gravedad Actual,Juego,Veces de la Gravedad Actual
40001,Atributos Equipo,Equipo,@2| de |@1
40002,Comparación Equipo,Equipo,@1||@2||@3
50001,Ubicación de Jugador,Jugador,Lugar de |@1
50002,Obtener Visión de Jugador,Jugador,Visión de |@1
50003,Atributos Jugador,Jugador,@2| de |@1
50004,Número de Objetos Poseídos,Jugador,Número de |@2| poseído por |@1
50006,Ángulo frente a jugador,Jugador,Ángulo frente a |@1
50007,Nombre Jugador,Jugador,Nombre de |@1
50008,Determinar Individual,Jugador,@1||@2||@3
50009,Determinar Grupo de Jugador,Jugador,@1||@2| en |@3
50010,Determinar Región,Jugador,@1||@2| en la región |@3
50011,Determinar Estado,Jugador,@1||@2| obtiene efecto de |@3
50012,Jefe,Jugador,Jefe
50018,Equipo de Jugador,Jugador,Equipo de |@1
50019,Variable Privada (Región),Jugador,@2| de |@1| (Región)
50020,Variable Privada (Lugar),Jugador,@2| de |@1| (Lugar)
50021,Variable Privada (Valor),Jugador,@2| de |@1| (Valor)
50022,Variable Privada (String),Jugador,@2| de |@1| (String)
50023,Variable Privada (Valor Boolean),Jugador,@2| de |@1| (Valor Boolean)
50024,Variable Privada (Jugador),Jugador,@2| de |@1| (Jugador)
50025,Variable Privada (Grupo de Jugadores),Jugador,@2| de |@1| (Grupo de Jugadores)
50026,Variable Privada (Tipo Bloque),Jugador,@2| de |@1| (Tipo Bloque)
50027,Variable Privada (Tipo Objeto),Jugador,@2| de |@1| (Tipo Objeto)
50028,Variable Privada (Criatura),Jugador,@2| de |@1| (Criatura)
50029,Variable Privada (Tipo Criatura),Jugador,@2| de |@1| (Tipo Criatura)
