ID,大类名称
ID,TypeName
1,meubles
2,meubles
3,meubles
4,meubles
5,meubles
6,meubles
7,meubles
8,meubles
9,meubles
10,meubles
11,meubles
12,meubles
13,meubles
14,meubles
15,meubles
16,meubles
17,meubles
18,meubles
19,meubles
20,meubles
21,meubles
22,meubles
23,meubles
24,meubles
25,meubles
26,meubles
27,meubles
28,meubles
29,meubles
30,meubles
31,meubles
32,meubles
33,meubles
34,meubles
35,meubles
36,meubles
37,meubles
38,meubles
39,meubles
40,meubles
41,meubles
42,meubles
43,architecture
44,architecture
45,architecture
46,architecture
47,architecture
48,meubles
49,meubles
50,meubles
51,équipement
52,équipement
53,équipement
54,équipement
55,équipement
56,équipement
57,équipement
58,équipement
59,meubles
60,meubles
61,meubles
62,meubles
63,meubles
64,meubles
65,meubles
66,meubles
67,meubles
68,meubles
69,meubles
70,meubles
71,meubles
72,meubles
73,meubles
74,meubles
75,meubles
76,meubles
77,Festival
78,Festival
79,Festival
80,Festival
81,Festival
82,Festival
83,Festival
84,Festival
85,Festival
86,Festival
87,Festival
88,Festival
89,Festival
90,architecture
91,architecture
92,architecture
93,architecture
94,architecture
95,architecture
96,architecture
97,architecture
98,architecture
99,architecture
100,architecture
101,biologie
102,biologie
103,biologie
104,architecture
105,architecture
106,architecture
107,architecture
108,architecture
109,architecture
110,architecture
111,architecture
112,architecture
113,architecture
114,architecture
115,architecture
116,architecture
117,architecture
118,architecture
119,architecture
120,architecture
121,architecture
122,architecture
123,architecture
124,équipement
125,équipement
126,équipement
127,équipement
128,équipement
129,équipement
130,équipement
131,équipement
132,Festival
133,Festival
134,Festival
135,architecture
136,architecture
137,architecture
138,architecture
139,architecture
140,architecture
149,meubles
150,meubles
151,meubles
152,meubles
153,meubles
