ID,名称
ID,Name
10001,émergent peu à peu
10002,Zoom avant
10003,zoom arrière
20001,disparaître
20002,Zoom avant masquer
20003,Zoom arrière cacher
30001,tremblant
30002,battre
30003,battement de coeur
30004,swing
30005,rotation
30006,flip
30007,Balayage dans le sens des aiguilles d'une montre
30008,Balayage dans le sens inverse des aiguilles d'une montre
30009,scintillement
40001,Machine à écrire
50001,Mouvement en douceur
50002,Position d'augmentation en douceur
50003,Détartrage en douceur
50004,Augmentation en douceur de la largeur et de la hauteur
50005,Rotation en douceur
50006,Angle d'augmentation lisse
