iD,法语,法语
ID,Name,AttrDesc
5,Frapper pour faire voler,L'attaque de melée propulsera la cible à une distance de 4 unité dans les airs.
5,Frapper pour faire voler,L'attaque de melée propulsera la cible à une distance de 6 unité dans les airs.
5,Frapper pour faire voler,L'attaque de melée propulsera la cible à une distance de 8 unité dans les airs.
5,Frapper pour faire voler,L'attaque de melée propulsera la cible à une distance de 10 unité dans les airs.
5,Frapper pour faire voler,L'attaque de melée propulsera la cible à une distance de 12 unité dans les airs.
6,Aiguisé,Dégâts d'attaque de melée +5
6,Aiguisé,Dégâts d'attaque de melée +10
6,Aiguisé,Dégâts d'attaque de melée +16
6,Aiguisé,Dégâts d'attaque de melée +24
6,Aiguisé,Dégâts d'attaque de melée +35
7,Chasseur d'humains,Dégâts d'attaque de melée infligés aux humains +8
7,Chasseur d'humains,Dégâts d'attaque de melée infligés aux humains +16
7,Chasseur d'humains,Dégâts d'attaque de melée infligés aux humains +25
7,Chasseur d'humains,Dégâts d'attaque de melée infligés aux humains +40
7,Chasseur d'humains,Dégâts d'attaque de melée infligés aux humains +60
8,Chasseur d'animaux,Dégâts d'attaque de melée infligés aux animaux +8
8,Chasseur d'animaux,Dégâts d'attaque de melée infligés aux animaux +16
8,Chasseur d'animaux,Dégâts d'attaque de melée infligés aux animaux +25
8,Chasseur d'animaux,Dégâts d'attaque de melée infligés aux animaux +40
8,Chasseur d'animaux,Dégâts d'attaque de melée infligés aux animaux +60
9,Chasseur de démons,Dégâts d'attaque de melée infligés aux tireurs de soufre et monstres de magma +8
9,Chasseur de démons,Dégâts d'attaque de melée infligés aux tireurs de soufre et monstres de magma +16
9,Chasseur de démons,Dégâts d'attaque de melée infligés aux tireurs de soufre et monstres de magma +25
9,Chasseur de démons,Dégâts d'attaque de melée infligés aux tireurs de soufre et monstres de magma +40
9,Chasseur de démons,Dégâts d'attaque de melée infligés aux tireurs de soufre et monstres de magma +60
29,Chasseur de sauvages,Dégâts d'attaque de melée infligés aux sauvages +8
29,Chasseur de sauvages,Dégâts d'attaque de melée infligés aux sauvages +16
29,Chasseur de sauvages,Dégâts d'attaque de melée infligés aux sauvages +25
29,Chasseur de sauvages,Dégâts d'attaque de melée infligés aux sauvages +40
29,Chasseur de sauvages,Dégâts d'attaque de melée infligés aux sauvages +60
10,Enflam.,L'attaque enflammera la cible pendant 3 s et infligera 5 pts de dégâts par s.
10,Enflam.,L'attaque enflammera la cible pendant 3 s et infligera 10 pts de dégâts par s.
10,Enflam.,L'attaque enflammera la cible pendant 3 s et infligera 15 pts de dégâts par s.
10,Enflam.,L'attaque enflammera la cible pendant 3 s et infligera 20 pts de dégâts par s.
10,Enflam.,L'attaque enflammera la cible pendant 3 s et infligera 25 pts de dégâts par s.
11,Revers,Cette attaque infligera un revers à la cible d'une distance de 2 unités supplémentaires.
11,Revers,Cette attaque infligera un revers à la cible d'une distance de 4 unités supplémentaires.
11,Revers,Cette attaque infligera un revers à la cible d'une distance de 6 unités supplémentaires.
11,Revers,Cette attaque infligera un revers à la cible d'une distance de 8 unités supplémentaires.
11,Revers,Cette attaque infligera un revers à la cible d'une distance de 10 unités supplémentaires.
12,Chasse chanceuse,20% de chance d'obtenir le double de drops en vainquant des créatures.
12,Chasse chanceuse,20%/15% de chance d'obtenir le double/le triple de drops en vainquant des créatures.
12,Chasse chanceuse,20%/15%/15% de chance d'obtenir le double/le triple/le quadruple de drops en vainquant des créatures.
13,Tir puissant,Augmente les dégâts des attaques à l'arc de 25%.
13,Tir puissant,Augmente les dégâts des attaques à l'arc de 50%.
13,Tir puissant,Augmente les dégâts des attaques à l'arc de 75%.
13,Tir puissant,Augmente les dégâts des attaques à l'arc de 100%.
13,Tir puissant,Augmente les dégâts des attaques à l'arc de 125%.
14,Tir illimité,Vous pouvez désormais créer un arc pour tirer sans utiliser de flèches. Chaque tir consomme 5 pt de durabilité supp.
14,Tir illimité,Vous pouvez désormais créer un arc pour tirer sans utiliser de flèches. Chaque tir consomme 4 pt de durabilité supp.
14,Tir illimité,Vous pouvez désormais créer un arc pour tirer sans utiliser de flèches. Chaque tir consomme 3 pt de durabilité supp.
14,Tir illimité,Vous pouvez désormais créer un arc pour tirer sans utiliser de flèches. Chaque tir consomme 2 pt de durabilité supp.
14,Tir illimité,Vous pouvez désormais créer un arc pour tirer sans utiliser de flèches. Chaque tir consomme 1 pt de durabilité supp.
15,Durabilité,Augmente la durabilité des objets de 40%. 
15,Durabilité,Augmente la durabilité des objets de 80%. 
15,Durabilité,Augmente la durabilité des objets de 160%. 
15,Durabilité,Augmente la durabilité des objets de 240%. 
15,Durabilité,Augmente la durabilité des objets de 320%. 
16,Protection de melée,Résistance aux ATQ de melée +1
16,Protection de melée,Résistance aux ATQ de melée +3
16,Protection de melée,Résistance aux ATQ de melée +5
16,Protection de melée,Résistance aux ATQ de melée +9
16,Protection de melée,Résistance aux ATQ de melée +15
17,Résistance aux ATQ longue distance,Résistance aux ATQ à distance +1
17,Résistance aux ATQ longue distance,Résistance aux ATQ à distance +3
17,Résistance aux ATQ longue distance,Résistance aux ATQ à distance +5
17,Résistance aux ATQ longue distance,Résistance aux ATQ à distance +9
17,Résistance aux ATQ longue distance,Résistance aux ATQ à distance +15
