频道ID,描述,页签类型（不填写则不展示）,页签顺序（不填写则不展示）,子页签,推送红点是否显示
id,name,type,sort,sub,hide
5,poster,1,1,"1,2",1
3,informations système,1,2,"20002,20003",1
4,message interactif,1,3,"10002,10001,10004,10003",0
1,courrier officiel,2,1,,0
2,courrier ami,2,2,,0
10001,commentaire sur mon,2,2,,1
10002,comme mon,2,1,,1
10003,commentaire collant,2,4,,1
10004,@exploiter,2,3,,1
10005,reçu un cadeau,2,5,,0
20001,actualités des développeurs,2,1,,0
20002,informations système,2,2,,0
20003,Les activités opérationnelles,2,3,,1
