ID,名称
ID,Name
11000005,bol
11000006,star
11000007,semi-cylindre
11000008,table
11000009,banc
11000010,planche de bois
11000011,hémisphère
11000012,bague
11000013,Gâteau rond
11000014,arbre
11000015,valve
11000016,banc
11000017,Cube
11000018,fleur
11000019,Arbre à pain
11000020,clôture
11000021,parapluie
11000022,long bâton
11000023,marteau
11000024,Fleur tourbillonnante
11000025,Marteau de balançoire
11000026,arbre à pain rebondir
11000027,Vanne rotative
11000028,coussin d'air
11000029,Clôture gonflable
11000030,Fumée 1
11000031,Fumée 8
11000032,Fumée 23
11000033,Explosion 2
11000034,Explosion 15
11000035,Explosion 37
11000036,Flamme 3
11000037,Flamme 11
11000038,Flamme 31
11000039,Environnement 2
11000040,Environnement 12
11000041,Environnement 8
11000042,Effets de lumière 52
11000043,Effets de lumière 9
11000044,Effets de lumière 7
11000045,Particule 2
11000046,Particule 6
11000047,Particule 24
11000048,Astuce 1
11000049,Astuce 7
11000050,Astuce 44
11000051,Effets de lumière 35
11000052,Effets de lumière 47
11000053,Effets de lumière 72
11000054,Effets de lumière 77
11000055,Effets de lumière 86
11000056,Fumée 2
11000057,Fumée 4
11000058,Fumée 5
11000059,Fumée 26
11000060,Fumée 30
11000061,Fumée 32
11000062,Fumée 42
11000063,Particule 5
11000064,Particule 12
11000065,Particule 21
11000066,Particule 25
11000067,Particule 29
11000068,Particule 31
11000069,Particule 33
11000070,Particule 35
11000071,Particule 40
11000072,Particule 43
11000073,Environnement 11
11000074,Environnement 16
11000075,Flamme 4
11000076,Flamme 15
11000077,Beignets
11000078,Gaufrettes
11000079,Feuille de trèfle
11000080,Tuyau rouge
11000081,pomme rouge
11000082,Carrousel bleu
11000083,Obstacle
11000084,Feuille
11000085,Champignon jaune
11000086,Arc-en-ciel
11000088,Marqueur X
11000089,Coeur rose
11000090,Glisser
11000091,Camion
11000092,Bande-annonce
11000093,Camion
11000094,Voiture bleue
11000095,Van
11000096,Canopée
11000097,Enseigne de pizzeria
11000098,Escalier mécanique
11000099,Crochet
11000100,Conduits de ventilation
11000101,Cambre
11000102,Boite cadeau
11000103,Cheval de Troie
11000104,Montgolfière
11000105,la télé
11000107,Lune
11000108,Douche vide
11000109,Cuillère
11000110,Livre
11000111,Couteau
11000112,Tournevis
11000113,Bouteille
11000114,diamant
11000115,Cœur
11000116,Engrenage
11000117,Flèche courbe
11000118,Flèche droite
11000119,Cylindre
11000120,Cône tronqué
11000121,Anneau
11000122,Arc de cercle
11000123,Cambre
11000124,Bague Carrée
11000125,Colonne triangulaire
11000126,Cylindre hexagonal
11000127,Cylindre de secteur
11000128,Cylindre convexe
11000129,Vide cylindrique
11000130,Cône tétragonal
11000131,Cône hexagonal
11000132,Glissière
16000000,cube
16000001,sphère
16000002,cylindre
16000003,cône
16000004,Cale
