签到类型/1七天 2每周 3国庆活动,天数/周几,法语,法语
SignInType,WhatDay,RewardName,RewardTips
1,1,Feux d'artifice du soleil et de la pluie,Veuillez vérifier votre pack
1,2,Coffre-fort,Veuillez vérifier votre pack
1,3,Boîte cadeau d'étoile,Veuillez vérifier votre pack
1,4,Petits feux d'artifice d'étoile,Veuillez vérifier votre pack
1,5,Feux d'artifice du soleil et de la pluie,Veuillez vérifier votre pack
1,6,Boîte cadeau d'étoile,Veuillez vérifier votre pack
1,7,Mini pack cadeau,Veuillez vérifier votre pack
2,1,Sac d'œufs de chance,Veuillez vérifier votre pack
2,2,Pack de costume,Veuillez vérifier votre pack
2,3,Boîte cadeau d'étoile,Veuillez vérifier votre pack
2,4,Pack de costume,Veuillez vérifier votre pack
2,5,Boîte cadeau d'étoile,Veuillez vérifier votre pack
2,6,Mini-haricot,Ajouté au compte
2,7,Mini-haricot,Ajouté au compte
3,1,Boîte cadeau d'étoile,Veuillez vérifier votre pack
3,2,Un sac de mini-haricots,Veuillez vérifier votre pack
3,3,Parchemin de transfert,Veuillez vérifier votre pack
3,4,Un sac de mini-haricots,Veuillez vérifier votre pack
3,5,Petits feux d'artifice d'étoile,Veuillez vérifier votre pack
3,6,Un sac de mini-haricots,Veuillez vérifier votre pack
3,7,Mini-cape,Veuillez vérifier votre pack
3,8,Un sac de mini-haricots,Veuillez vérifier votre pack
3,9,Un sac de mini-haricots,Veuillez vérifier votre pack
3,10,Un sac de mini-haricots,Veuillez vérifier votre pack
3,11,Un sac de mini-haricots,Veuillez vérifier votre pack
3,12,Carte de costume,Veuillez vérifier votre pack
3,13,Un sac de mini-haricots,Veuillez vérifier votre pack
3,14,Un sac de mini-haricots,Veuillez vérifier votre pack
3,15,Un sac de mini-haricots,Veuillez vérifier votre pack
3,16,Un sac de mini-haricots,Veuillez vérifier votre pack
3,17,Un sac de mini-haricots,Veuillez vérifier votre pack
3,18,Un sac de mini-haricots,Veuillez vérifier votre pack
3,19,Un sac de mini-haricots,Veuillez vérifier votre pack
3,20,Béret,Veuillez vérifier votre pack
