ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Convertir un lieu en région,Général,"Set |@1| as center, areas with dimensions (|@2|, |@3|, |@4|)"
10002,Décalage de région,Général,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10003,Agrandir la région,Général,"Enlarge |@1| coordinate axis with X|@2|, Y|@3|, Z|@4| block wide"
10005,Emplacement de coordonnées spécifié,Général,The position of X|@1|Y|@2|Z|@3
10006,Emplacement décalé par rapport (changements de position d'origine),Général,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10007,Situation centrale de la région,Général,@1|'s central location
10008,Localisation aléatoire de la région,Général,@1|'s random location
10009,Minuterie,Général,@1|'s time
10010,Rayon longueur de la direction assignée,Général,"Start with |@1|, project |@3| grids ray to |@2|, return ray length between start to block"
10011,Concaténation de cordes,Général,@1| et |@2
10012,Convertir la valeur en chaîne,Général,Convert |@1| to String
10013,Comparaison booléenne,Général,@1||@2||@3
10014,Comparaison de valeur,Général,@1||@2||@3
10015,Type de bloc touché par rayon,Général,"Start with |@1|, project |@3| grids ray to |@2|, show block type that stop ray"
10016,Face à trois coordonnées d'axe,Général,"@1| is facing X|@2|, Y|@3|, Z|@4"
10017,Face à coordonnées sphériques,Général,"@1| is facing azimuth angle|@2|, elevation|@3"
10018,Sélectionner un joueur,Général,Select |@1
10019,Sélectionnez créature,Général,Select |@1
10020,Sélectionnez projectile,Général,Select |@1
10021,Sélectionnez gouttes,Général,Select |@1
10022,Tone se transforme en nombre,Général,@1| turns to number
10023,comparaison de chaînes de caractères,Général,@1||@2||@3
10024,Lieu de décalage (lieu d'origine pas de changement),Général,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10025,Boolean Value,Général,|@1
10026,Value,Général,|@1
10027,Character String,Général,|@1
10028,Type Apparence,Général,|@1
10029,groupe booléenne,Général,|@1
10030,groupe Nombre,Général,|@1
10031,groupe String,Général,|@1
10032,Obtenez le nombre de valeur d'un groupe,Général,Obtenez le nombre de valeur |@1
10033,Obtenez le nombre de valeur d'une valeur d'un groupe,Général,Obtenir la valeur de compte|@2| en |@1
10034,Obtenez l'ID d'une valeur dans un groupe,Général,Obtenir ID |@2| en |@1
10035,Déterminer si une valeur existe dans un groupe,Général,@2| existent dans |@1
10036,Déterminer si un ID spécifique existe dans un groupe,Général,Vérifiez si ID |@2| position |@1| exister.
10037,Extraire,Général,Extract |@1| of |@2| - |@3| position string
10038,Convertir la chaîne en entier,Général,@1| convertir en entier
10039,Obtenir le réglage du temps de périphérique principal,Général,Obtain device |@1| time
10040,Obtenir le réglage complet du périphérique principal,Général,Obtenir le réglage complet du périphérique principal
10041,Type de bloc aléatoire,Général,Type de bloc aléatoire
10042,Chaîne fendue,général,"Split |@1|, le séparateur est |@2|, intercepter le segment |@3| après fractionnement"
10043,Obtient la chaîne de caractères de la balise spécifiée,général,"Obtenez |@1|, le contenu du nom de la clé |@2|"
10044,Obtenir l'heure du serveur de jeu,général,Obtenez |@1| heure du serveur de jeu
10045,Convertir l'horodatage en unité de temps,général,Convertir l'horodatage |@1| en |@2
10046,Obtenez du temps de serveur complet,général,Obtenez du temps de serveur complet
10047,Convertir l'horodatage en temps plein,général,Convertir l'horodatage |@1| en temps plein
20001,Calcul numérique,Math,@1||@2||@3
20002,Reste,Math,@1| Mod |@2
20003,Nombre aléatoire,Math,Generate random number between |@1| and |@2
20004,Valeur maximum,Math,@1| and |@2|'s |@3
20005,Division exacte,Math,|@1| Divide |@2
20006,Valeur coordonnée du lieu,Math,@1|'s |@2| coordinate value
20007,Angle horizontal entre l'emplacement,Math,Horizontal Angle Between |@1| and |@2
20008,Angle vertical entre l'emplacement,Math,Vertical Angle Between |@1| and |@2
20009,Exponentiation,Math,"@1|, to the power of |@2"
20010,Enracinement,Math,The |@2|-th root of |@1
20011,Valeur absolue,Math,@1|'s absolute value
20012,Fonction trigonométrique,Math,@1||@2||@3
20013,Fonction de journal de base fixe,Math,@1||@2
20014,Toute fonction de journal de base,Math,Log|@1||@2
20015,Nombre rond,Math,"The round number of |@1|, in form of |@2"
20016,Convertir Angle en Radian,Math,Convert |@1| to |@2
20017,.et.,Math,@1| and |@2
20018,.ou.,Math,@1| or |@2
20019,exclusif ou,Math,@1| exclusive or |@2
20020,.ne pas.,Math,Not |@1
20021,Comparaison de la valeur aléatoire,Math,@1||@2||@3
30001,Temps de jeu actuel,Jeu,Current game time
30002,Sélectionner une équipe classée,Jeu,The team ranked |@1
30003,multiples de gravité en cours,Jeu,multiples de gravité en cours
40001,Team Attritube,Équipe,@1|'s |@2
40002,Comparaison d'équipe,Équipe,@1||@2||@3
50001,Emplacement du joueur,Joueur,@1|'s location
50002,Obtenir la vue du joueur,Joueur,@1|'s Sight
50003,Joueur Attritube,Joueur,@1|'s |@2
50004,Nombre d'objets possédés,Joueur,"@1| ownd, la numerber de |@2"
