ID,名字,描述
ID,Name,Desc
1,Grüßen,Welle und sag hallo
2,Zweifel,"Kleines Gehirn, große Zweifel"
3,Schreien,Bedecke dein Gesicht und weinen
4,Verärgert,Wütend und stampfen.
5,Strecken,"Ein bisschen schläfrig, eine faule Stretch"
6,Glücklich,Sieht Glücklich aus
7,Dankbar,Schleife aufrichtig
8,Freizeit,Schauen Sie sich um und entspannen Sie sich
9,Ist hingefallen,Plötzlich auf den Boden fallen
10,Pose,Einen charmanten Unterschriften bewegen
11,Exklusive Aktion,Flattershy exklusive Aktion.
12,Exklusive Aktion,Princess Luna Exklusive Action
13,Exklusive Aktion,Pinkie Pie exklusive Aktion
14,Exklusive Aktion,Starlight Glimmer Exklusive Action
15,Exklusive Aktion,Rainbow Dash exklusive Aktionen
16,Exklusive Aktion,Princess Cadence Exklusive Action
17,Exklusive Aktion,Blume Dewie exklusive Aktion
18,Exklusive Aktion,Prinzessin Frost Exklusive Action
19,Exklusive Aktion,Rory exklusive Aktion.
20,Test Interaktion 1.,Die interaktive Wirkung von Sakura und Blitz
21,Test Interaktion 2.,Die interaktive Wirkung von Sakura und Sakura
22,Test Interaktion 3.,Gemeinsame interaktive Aktionen für Sakura
23,Rohing Warbler-Air Marsall,Harfe spielen
24,Rohing Warbler - Newbie,Wirbel und Tanz
25,Kampfgeist zeigen,Tang San exklusive Aktion
26,Kampfgeist zeigen,Kleiner Tanz exklusive Aktion
27,Kampfgeist zeigen,Bi Bidong exklusive Aktion
28,Entfesseln Sie Seelenkenntnisse,Oscar exklusive Aktion
29,Kampfgeist zeigen,Ma Hongjun exklusive Aktion
30,Geistige Fähigkeiten freisetzen,Dai Mubai exklusive Aktion
31,Kampfgeist zeigen,Zhu Zhuqing exklusive Aktion
32,Kampfsport zeigen,Ning Rongrongs exklusive Aktion
33,Kampfsport zeigen,Zhu Zhuqing exklusive Aktion
34,Kampfsport zeigen,Ning Rongrongs exklusive Aktion
