id,地形名称
id,Name
-1,Versuche
1000,Flaches Meer
1001,Grasland
1002,Wüste
1003,Wald
1004,Klippe
1005,Sumpf
1006,Nadelwald
1007,Dschungel
1008,Eisfeld
1009,Gefrorenes Meer
1010,Gefrorener Fluss
1011,Roter Boden
1012,Rote Erde Küste
1013,Wüstendüne
1014,Waldhügel
1015,Nadelwaldhügel
1016,Eisberg
1017,Dschungelhügel
1018,Fluss
1019,Strand
1020,Klippenrand
1021,Lavaland
1022,Himmelsinsel
1023,Becken
1024,Beckenrand
1025,Bambushain Becken
1026,Pfirsichbaum-Becken
1027,Ebene
1028,Hügel
1029,Altar-Ebene
1030,Hoher Berg
1031,Hügel
1032,Planet Himmelsinsel
1033,Planet Himmelsinsel
1034,Planet Himmelsinsel
1035,Planet Himmelsinsel
1036,Planet Himmelsinsel
1037,Planet Himmelsinsel
1038,Himmelsinselrand
1039,Regenwald
1040,Himmelsinsel-Ebene
1041,Grasland-Himmelsinsel
1042,Vulkanische Hauptspitze
1043,Vulkanische Ebene
1044,Vulkanisches Gebirge
1045,Vulkanischer Lavafluss
1046,Vulkanischer Krater
1047,Wüstenoase
1048,Wüstensee
1049,Tiefsee
1050,Verlassene Inselküste
1051,Zentrum der Verlassenen Insel
1052,Küste der Roten Erde Insel
1053,Zentrum der Roten-Erde-Insel
1054,Koralleninselküste
1055,Koralleninselzentrum
1056,Schnee Nadelbaumwald
1057,Schneeberg-Gipfel
1058,Schneeberg-Sekundärgipfel
1059,Schneebergkamm
1060,Schneeberg Mittelgebirge
1061,Schneeberg Basis
1062,Schneeberg-Nebengipfel Mittelgebirge
1063,Gefrorener See
1064,Schlucht
1065,Abgrundkante
