ID,名称
ID,Name
10001,Symbol 2
10002,Symbol 1
10003,
10004,
10005,Symbol 169
10006,Symbol 170
10007,Symbol 171
10008,Symbol 26
10009,Symbol 172
10010,Symbol 27
10011,Tag 2
10012,Tag 1
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,Taste 3
10022,Grundplatte 49
10023,Grundplatte 78
10024,Taste 46
10025,Taste 47
10026,Taste 48
10027,Etikett 61
10028,Taste 4
10029,Taste 5
10030,Taste 6
10031,Grundplatte 30
10032,Grundplatte 40
10033,Grundplatte 41
10034,Grundplatte 42
10035,Grundplatte 43
10036,Grundplatte 44
10037,Grundplatte 45
10038,Grundplatte 46
10039,Grundplatte 47
10040,Grundplatte 48
10041,Etikett 11
10042,Hintergrundabdeckung 1
10043,Grundplatte 59
10044,Hintergrundabdeckung 2
10045,Hintergrundabdeckung 3
10046,Hintergrundabdeckung 4
10047,Grundplatte 97
10048,Hintergrundabdeckung 5
10049,Hintergrundabdeckung 6
10050,Grundplatte 60
10051,
10052,
10053,
10054,
10055,
10056,
10057,
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,Symbol 173
10067,Symbol 174
10068,Symbol 28
10069,Symbol 175
10070,Symbol 176
10071,Symbol 29
10072,Symbol 177
10073,Symbol 178
10074,Symbol 30
10075,Symbol 179
10076,Symbol 31
10077,Symbol 32
10078,Symbol 33
10079,Symbol 34
10080,Symbol 35
10081,Symbol 36
10082,Symbol 37
10083,Symbol 38
10084,Symbol 39
10085,Symbol 180
10086,Symbol 181
10087,Symbol 182
10088,Symbol 183
10089,Symbol 40
10090,Symbol 156
10091,Symbol 157
10092,Symbol 41
10093,Symbol 42
10094,Symbol 184
10095,Symbol 43
10096,Symbol 44
10097,Symbol 45
10098,Symbol 46
10099,Symbol 47
10100,Symbol 48
10101,Symbol 49
10102,Symbol 50
10103,Symbol 51
10104,Symbol 52
10105,Symbol 53
10106,Symbol 54
10107,Symbol 55
10108,Symbol 56
10109,Symbol 57
10110,Symbol 58
10111,Symbol 59
10112,Symbol 60
10113,Symbol 61
10114,Symbol 104
10115,Symbol 105
10116,Symbol 15
10117,Etikett 12
10118,Etikett 13
10119,Etikett 14
10120,Tag 15
10121,Tag 16
10122,Etikett 17
10123,Etikett 18
10124,Etikett 19
10125,Tag 20
10126,Etikett 21
10127,Tag 22
10128,Etikett 23
10129,Etikett 24
10130,Tag 25
10131,Etikett 26
10132,Etikett 27
10133,Etikett 28
10134,Etikett 29
10135,Etikett 30
10136,Etikett 31
10137,Etikett 32
10138,Tag 33
10139,Etikett 34
10140,Taste 7
10141,Taste 8
10142,Taste 9
10143,Taste 10
10144,Taste 11
10145,Taste 12
10146,Taste 13
10147,Taste 49
10148,Etikett 62
10149,Etikett 63
10150,Taste 50
10151,Taste 51
10152,Taste 52
10153,Taste 53
10154,Grundplatte 61
10155,Taste 67
10156,Taste 68
10157,Taste 69
10158,Taste 70
10159,Taste 71
10160,Taste 72
10161,Taste 14
10162,Grundplatte 50
10163,Taste 15
10164,Taste 16
10165,Taste 17
10166,Taste 73
10167,Taste 74
10168,Taste 75
10169,Taste 18
10170,Taste 76
10171,Taste 77
10172,Taste 78
10173,Taste 39
10174,Grundplatte 80
10175,Grundplatte 81
10176,Grundplatte 82
10177,Grundplatte 83
10178,Grundplatte 84
10179,Etikett 36
10180,Etikett 37
10181,Grundplatte 62
10182,Grundplatte 63
10183,Grundplatte 64
10184,Grundplatte 8
10185,Grundplatte 65
10186,Grundplatte 9
10187,Grundplatte 66
10188,Grundplatte 67
10189,Grundplatte 10
10190,Grundplatte 11
10191,Grundplatte 68
10192,Grundplatte 85
10193,Grundplatte 86
10194,Grundplatte 12
10195,Grundplatte 13
10196,Grundplatte 14
10197,Grundplatte 15
10198,Grundplatte 16
10199,Grundplatte 17
10200,Grundplatte 18
10201,Hintergrundabdeckung 7
10202,Hintergrundabdeckung 8
10203,Hintergrundabdeckung 9
10204,Hintergrundabdeckung 10
10205,Hintergrundabdeckung 11
10206,Hintergrundabdeckung 12
10207,Hintergrundabdeckung 13
10208,Hintergrundabdeckung 14
10209,Hintergrundabdeckung 15
10210,Hintergrundabdeckung 16
10211,Hintergrundabdeckung 17
10212,Hintergrundabdeckung 18
10213,Hintergrundabdeckung 19
10214,Hintergrundabdeckung 20
10215,Hintergrundabdeckung 21
10216,Hintergrundabdeckung 22
10217,Hintergrundabdeckung 23
10218,Hintergrundabdeckung 24
10219,Hintergrundabdeckung 25
10220,Hintergrundabdeckung 26
10221,Hintergrundabdeckung 27
10222,Hintergrundabdeckung 28
10223,Hintergrundabdeckung 29
10224,Hintergrundabdeckung 30
10225,Hintergrundabdeckung 31
10226,Hintergrundabdeckung 32
10227,Hintergrundabdeckung 33
10228,Hintergrundabdeckung 34
10229,Hintergrundabdeckung 35
10230,Hintergrundabdeckung 36
10231,Hintergrundabdeckung 37
10232,Hintergrundabdeckung 38
10233,Hintergrundabdeckung 39
10234,Hintergrundabdeckung 40
10235,Hintergrundabdeckung 41
10236,Hintergrundabdeckung 42
10237,Hintergrundabdeckung 43
10238,Hintergrundabdeckung 44
10239,Hintergrundabdeckung 45
10240,Hintergrundabdeckung 46
10241,Hintergrundabdeckung 47
10242,Hintergrundabdeckung 48
10243,Hintergrundabdeckung 49
10244,Hintergrundabdeckung 50
10245,Hintergrundabdeckung 51
10246,Hintergrundabdeckung 52
10247,Hintergrundabdeckung 53
10248,Hintergrundabdeckung 54
10249,Hintergrundabdeckung 55
10250,Hintergrundabdeckung 56
10251,Hintergrundabdeckung 57
10252,Hintergrundabdeckung 58
10253,Hintergrundabdeckung 59
10254,Hintergrundabdeckung 60
10255,Hintergrundabdeckung 61
10256,Hintergrundabdeckung 62
10257,Hintergrundabdeckung 63
10258,Hintergrundabdeckung 64
10259,Hintergrundabdeckung 65
10260,Taste 81
10261,Taste 82
10262,Taste 88
10263,Taste 89
10264,Taste 90
10265,Taste 100
10266,
10267,
10268,
10269,
10270,
10271,
10272,
10273,
10274,
10275,
10276,Grundplatte 94
10277,Grundplatte 69
10278,Grundplatte 70
10279,Grundplatte 19
10280,Grundplatte 20
10281,Grundplatte 21
10282,Grundplatte 22
10283,Grundplatte 71
10284,Grundplatte 87
10285,Grundplatte 72
10286,Grundplatte 79
10287,Symbol 62
10288,Grundplatte 88
10289,Grundplatte 89
10290,Grundplatte 90
10291,Grundplatte 91
10292,Grundplatte 23
10293,Grundplatte 24
10294,Grundplatte 25
10295,Grundplatte 26
10296,Grundplatte 27
10297,Grundplatte 28
10298,Grundplatte 29
10299,Etikett 38
10300,Tag 42
10301,Grundplatte 95
10302,Etikett 43
10303,Etikett 44
10304,Tag 45
10305,Etikett 46
10306,Tag 47
10307,Etikett 48
10308,Tag 49
10309,Etikett 50
10310,Etikett 51
10311,Tag 52
10312,Etikett 53
10313,Tag 54
10314,Tag 55
10315,Etikett 56
10316,Etikett 57
10317,Taste 101
10318,Taste 102
10319,Taste 103
10320,Taste 104
10321,Taste 105
10322,Taste 106
10323,Taste 107
10324,Taste 108
10325,
10326,
10327,
10328,Symbol 155
10329,Symbol 158
10330,Symbol 159
10331,Symbol 63
10332,Symbol 64
10333,Symbol 65
10334,Symbol 66
10335,Symbol 67
10336,Symbol 68
10337,Symbol 69
10338,Symbol 70
10339,Symbol 71
10340,Symbol 72
10341,Symbol 73
10342,Symbol 74
10343,Symbol 75
10344,Symbol 76
10345,Symbol 77
10346,Symbol 78
10347,Symbol 79
10348,Symbol 80
10349,Symbol 81
10350,Symbol 82
10351,Symbol 83
10352,Symbol 84
10353,Symbol 85
10354,
10355,
10356,
10357,
10358,
10359,Symbol 86
10360,Symbol 87
10361,Symbol 88
10362,Symbol 89
10363,Symbol 90
10364,Symbol 91
10365,Symbol 92
10366,Symbol 93
10367,Symbol 94
10368,Symbol 95
10369,Symbol 96
10370,Symbol 97
10371,Symbol 98
10372,Symbol 99
10373,Symbol 100
10374,Symbol 101
10375,Symbol 102
10376,Symbol 103
10377,Taste 109
10378,Taste 110
10379,Taste 111
10380,Taste 112
10381,Taste 113
10382,Taste 114
10383,Taste 115
10384,Taste 116
10385,Schaltfläche 117
10386,Taste 118
10387,Schaltfläche 119
10388,Taste 120
10389,Taste 121
10390,Taste 122
10391,Taste 123
10392,Taste 124
10393,Taste 125
10394,Taste 126
10395,Taste 127
10396,Taste 128
10397,Taste 129
10398,Taste 130
10399,Taste 131
10400,Grundplatte 73
10401,Grundplatte 51
10402,Taste 132
10403,Grundplatte 74
10404,Taste 91
10405,Taste 133
10406,Taste 134
10407,Taste 135
10408,Taste 80
10409,Taste 136
10410,
10411,Taste 94
10412,Taste 83
10413,Taste 84
10414,Taste 85
10415,Taste 86
10416,Taste 87
10417,Taste 139
10418,Taste 93
10419,Taste 95
10420,Taste 96
10421,Taste 97
10422,Taste 98
10423,Taste 99
10424,Taste 79
10425,Symbol 106
10426,Symbol 107
10427,Symbol 108
10428,Symbol 109
10429,Symbol 110
10430,Symbol 111
10431,Symbol 112
10432,Symbol 113
10433,Symbol 160
10434,Symbol 161
10435,Symbol 114
10436,Symbol 115
10437,Symbol 116
10438,Symbol 117
10439,Symbol 162
10440,Symbol 163
10441,Symbol 118
10442,Symbol 119
10443,Symbol 120
10444,Symbol 121
10445,Symbol 122
10446,Symbol 123
10447,Symbol 124
10448,Symbol 125
10449,Symbol 126
10450,Symbol 127
10451,Symbol 185
10452,Symbol 186
10453,Symbol 128
10454,Symbol 187
10455,Symbol 188
10456,Symbol 189
10457,Symbol 190
10458,Symbol 191
10459,Symbol 192
10460,Symbol 193
10461,Symbol 194
10462,Symbol 195
10463,Symbol 129
10464,Symbol 196
10465,Symbol 197
10466,Symbol 198
10467,Symbol 199
10468,Symbol 200
10469,Symbol 201
10470,Symbol 202
10471,Symbol 203
10472,Symbol 204
10473,Symbol 205
10474,Symbol 206
10475,Symbol 130
10476,Symbol 164
10477,Symbol 165
10478,Symbol 207
10479,Symbol 208
10480,Symbol 209
10481,Symbol 210
10482,Symbol 211
10483,Symbol 212
10484,Symbol 213
10485,Symbol 229
10486,Symbol 214
10487,Symbol 215
10488,Symbol 216
10489,Symbol 230
10490,Symbol 131
10491,Symbol 166
10492,Symbol 167
10493,Symbol 217
10494,Symbol 132
10495,Symbol 133
10496,Symbol 134
10497,Symbol 135
10498,Symbol 231
10499,Symbol 232
10500,Symbol 233
10501,Symbol 234
10502,Symbol 235
10503,Symbol 236
10504,Symbol 237
10505,Symbol 218
10506,Symbol 219
10507,Symbol 220
10508,Symbol 221
10509,Symbol 238
10510,Symbol 239
10511,Symbol 168
10512,Symbol 240
10513,Symbol 136
10514,Symbol 137
10515,Symbol 138
10516,Grundplatte 92
10517,Grundplatte 93
10518,Taste 19
10519,Taste 20
10520,Grundplatte 52
10521,Taste 21
10522,Taste 22
10523,Taste 23
10524,Taste 25
10525,Grundplatte 53
10526,Schaltfläche 137
10527,Taste 138
10528,
10529,
10530,
10531,
10532,
10533,
10534,
10535,
10536,
10537,
10538,
10539,
10540,
10541,
10542,
10543,
10544,
10545,
10546,
10547,
10548,
10549,
10550,
10551,
10552,Bildschirmaufkleber _ cold 1
10553,Bildschirmaufkleber _ Cold 2
10554,Bildschirmaufkleber _ eingefroren
10555,Bildschirmaufkleber _ Hot 1
10556,Bildschirmaufkleber _ Hot 2
10557,Bildschirmaufkleber _ brennen
10558,
10559,
10560,
10561,
10562,
10563,
10564,
10565,
10566,
10567,
10568,
10569,
10570,
20001,Hintergrundabdeckung 66
20002,Hintergrundabdeckung 67
20003,Taste 54
20004,Hintergrundabdeckung 68
20005,Taste 26
20006,Taste 27
20007,Taste 28
20008,Grundplatte 54
20009,Grundplatte 55
20010,Hintergrundabdeckung 69
20011,Hintergrundabdeckung 70
20012,Hintergrundabdeckung 71
20013,Taste 29
20014,Taste 30
20015,Taste 31
20016,Taste 32
20017,Taste 33
20018,Taste 34
20019,Taste 35
20020,Taste 36
20021,Taste 37
20022,Taste 38
20023,Taste 40
20024,Taste 55
20025,Etikett 35
20026,Symbol 222
20027,Symbol 223
20028,Taste 56
20029,Taste 57
20030,Taste 58
20031,Taste 59
20032,Taste 60
20033,Symbol 139
20034,Symbol 224
20035,Symbol 140
20036,Taste 61
20037,Taste 62
20038,Taste 63
20039,Symbol 141
20040,Symbol 142
20041,Symbol 143
20042,Symbol 225
20043,Symbol 144
20044,Symbol 145
20045,Symbol 226
20046,Symbol 227
20047,Symbol 146
20048,Symbol 147
20049,Symbol 5
20050,Taste 64
20051,Taste 65
20052,Grundplatte 96
20053,Grundplatte 31
20054,Grundplatte 32
20055,Grundplatte 33
20056,Grundplatte 34
20057,Grundplatte 35
20058,Grundplatte 36
20059,Grundplatte 37
20060,Grundplatte 38
20061,Grundplatte 56
20062,Grundplatte 57
20063,Symbol 148
20064,Symbol 149
20065,Tag 58
20066,Etikett 59
20067,Hintergrundabdeckung 72
20068,Etikett 60
20069,Symbol 6
20070,Taste 66
21001,Grundplatte 39
21002,Tag 64
21003,Symbol 7
21004,Symbol 8
21005,Symbol 150
21006,Tag 65
21007,Symbol 9
21008,Symbol 10
21009,Symbol 151
21010,Symbol 11
21011,Symbol 152
21012,Symbol 12
21013,Symbol 153
21014,Symbol 13
21015,Symbol 228
21016,Tag 66
21017,Symbol 154
21018,Grundplatte 75
21019,Etikett 67
21020,Grenze 19
21021,Symbol 14
21022,Symbol 16
21023,Symbol 17
21024,Symbol 18
21025,Symbol 19
21026,Symbol 20
21027,Symbol 21
21028,Symbol 22
21029,Symbol 23
22001,Grundplatte 76
22002,Hintergrundabdeckung 73
22003,Etikett 68
22004,Taste 24
22005,Tag 69
22006,Etikett 70
22007,Etikett 71
22008,Etikett 72
22009,Etikett 73
22010,Etikett 74
22011,Grenze 20
22012,Symbol 24
22013,Symbol 25
22014,Grundplatte 1
22015,Grundplatte 2
22016,Grundplatte 3
22017,Grundplatte 4
22018,Grundplatte 5
22019,Grundplatte 6
22020,Grundplatte 7
22021,Tag 75
22022,Etikett 76
22023,Etikett 77
22024,Etikett 78
22025,Etikett 79
22026,Tag 80
22027,Etikett 81
22028,Text 16
22029,Etikett 39
23001,Taste 1
23002,Taste 2
23003,Etikett 40
23004,Etikett 41
23005,Hintergrundabdeckung 74
23006,Hintergrundabdeckung 75
23007,Hintergrundabdeckung 76
23008,Grundplatte 58
23009,Grundplatte 77
23010,Taste 41
23011,Taste 42
23012,Taste 43
23013,Taste 44
23014,Taste 45
24001,
24002,
24003,
24004,
24005,
24006,
30001,Himmel 1
30002,Himmel 2
30003,Himmel 3
30004,Himmel 4
30005,Himmel 5
30006,Himmel 6
30007,Himmel 7
30008,Himmel 8
30009,Himmel 9
30010,Himmel 10
30011,Himmel 11
30012,Himmel 12
30101,Sonne 1
30102,Sonne 2
30103,Sonne 3
30104,Sonne 4
30105,Sonne 5
30201,Mond 1
30202,Mond 2
30203,Mond 3
30204,Mond 4
30205,Mond 5
