iD,德语,德语
ID,Name,AttrDesc
5,Schlag zum Fliegen,Dieser Nahkampfangriff wirft das Ziel 4 Einheiten in die Luft.
5,Schlag zum Fliegen,Dieser Nahkampfangriff wirft das Ziel 6 Einheiten in die Luft.
5,Schlag zum Fliegen,Dieser Nahkampfangriff wirft das Ziel 8 Einheiten in die Luft.
5,Schlag zum Fliegen,Dieser Nahkampfangriff wirft das Ziel 10 Einheiten in die Luft.
5,Schlag zum Fliegen,Dieser Nahkampfangriff wirft das Ziel 12 Einheiten in die Luft.
6,Scharf,+5 auf Nahkampfschaden
6,Scharf,+40 auf Nahkampfschaden
6,Scharf,+16 auf Nahkampfschaden
6,Scharf,+24 auf Nahkampfschaden
6,Scharf,+35 auf Nahkampfschaden
7,Menschenjäger,+8 auf Nahkampfschaden gegen Menschen
7,Menschenjäger,+16 auf Nahkampfschaden gegen Menschen
7,Menschenjäger,+25 auf Nahkampfschaden gegen Menschen
7,Menschenjäger,+40 auf Nahkampfschaden gegen Menschen
7,Menschenjäger,+60 auf Nahkampfschaden gegen Menschen
8,Tierjäger,+8 auf Nahkampfschaden gegen Tiere
8,Tierjäger,+16 auf Nahkampfschaden gegen Tiere
8,Tierjäger,+25 auf Nahkampfschaden gegen Tiere
8,Tierjäger,+40 auf Nahkampfschaden gegen Tiere
8,Tierjäger,+60 auf Nahkampfschaden gegen Tiere
9,Dämonenjäger,+8 auf Nahkampfschaden gegen Schwefelschützen und Magma Monster
9,Dämonenjäger,+16 auf Nahkampfschaden gegen Schwefelschützen und Magma Monster
9,Dämonenjäger,+25 auf Nahkampfschaden gegen Schwefelschützen und Magma Monster
9,Dämonenjäger,+40 auf Nahkampfschaden gegen Schwefelschützen und Magma Monster
9,Dämonenjäger,+60 auf Nahkampfschaden gegen Schwefelschützen und Magma Monster
29,Wildjäger,+8 auf Nahkampfschaden gegen Wilde
29,Wildjäger,+16 auf Nahkampfschaden gegen Wilde
29,Wildjäger,+25 auf Nahkampfschaden gegen Wilde
29,Wildjäger,+40 auf Nahkampfschaden gegen Wilde
29,Wildjäger,+60 auf Nahkampfschaden gegen Wilde
10,Entzünden,Der Angriff enzündet das Ziel und verursachen 3 Sekunden 5 Schaden pro Sekunde.
10,Entzünden,Der Angriff enzündet das Ziel und verursachen 3 Sekunden 10 Schaden pro Sekunde.
10,Entzünden,Der Angriff enzündet das Ziel und verursachen 3 Sekunden 15 Schaden pro Sekunde.
10,Entzünden,Der Angriff enzündet das Ziel und verursachen 3 Sekunden 20 Schaden pro Sekunde.
10,Entzünden,Der Angriff enzündet das Ziel und verursachen 3 Sekunden 25 Schaden pro Sekunde.
11,Rückstoß,Dieser Angriff stößt das Ziel 2 zusätzliche Einheiten zurück.
11,Rückstoß,Dieser Angriff stößt das Ziel 4 zusätzliche Einheiten zurück.
11,Rückstoß,Dieser Angriff stößt das Ziel 6 zusätzliche Einheiten zurück.
11,Rückstoß,Dieser Angriff stößt das Ziel 8 zusätzliche Einheiten zurück.
11,Rückstoß,Dieser Angriff stößt das Ziel 10 zusätzliche Einheiten zurück.
12,Glücksjagt,20% Chance auf doppelte Drops von besiegten Kreaturen.
12,Glücksjagt,20%/15% Chance auf doppelte/dreifache Drops von besiegten Kreaturen.
12,Glücksjagt,20%/15%/15% Chance auf doppelte/dreifache/viefache Drops von besiegten Kreaturen.
13,Starker Schuß,Erhöht den Angriffsschaden des Bogens um 25%.
13,Starker Schuß,Erhöht den Angriffsschaden des Bogens um 50%.
13,Starker Schuß,Erhöht den Angriffsschaden des Bogens um 75%.
13,Starker Schuß,Erhöht den Angriffsschaden des Bogens um 100%.
13,Starker Schuß,Erhöht den Angriffsschaden des Bogens um 125%.
14,Unendlicher Schuß,Ermöglicht es dir den Bogen ohne Pfeile zu schießen. Jeder Schuss verbraucht 1 Haltbarkeit.
14,Unendlicher Schuß,Ermöglicht es dir den Bogen ohne Pfeile zu schießen. Jeder Schuss verbraucht 2 Haltbarkeit.
14,Unendlicher Schuß,Ermöglicht es dir den Bogen ohne Pfeile zu schießen. Jeder Schuss verbraucht 3 Haltbarkeit.
14,Unendlicher Schuß,Ermöglicht es dir den Bogen ohne Pfeile zu schießen. Jeder Schuss verbraucht 4 Haltbarkeit.
14,Unendlicher Schuß,Ermöglicht es dir den Bogen ohne Pfeile zu schießen. Jeder Schuss verbraucht 5 Haltbarkeit.
15,Haltbarkeit,Erhöht die Haltbarkeit von Gegenständen um 40%.
15,Haltbarkeit,Erhöht die Haltbarkeit von Gegenständen um 80%.
15,Haltbarkeit,Erhöht die Haltbarkeit von Gegenständen um 160%.
15,Haltbarkeit,Erhöht die Haltbarkeit von Gegenständen um 240%.
15,Haltbarkeit,Erhöht die Haltbarkeit von Gegenständen um 320%.
16,Nahkampfresistenz,+1 auf Nahkampfresistenz
16,Nahkampfresistenz,+3 auf Nahkampfresistenz
16,Nahkampfresistenz,+5 auf Nahkampfresistenz
16,Nahkampfresistenz,+9 auf Nahkampfresistenz
16,Nahkampfresistenz,+15 auf Nahkampfresistenz
17,Fernkampfresistenz,+1 auf Fernkampfresistenz
17,Fernkampfresistenz,+3 auf Fernkampfresistenz
17,Fernkampfresistenz,+5 auf Fernkampfresistenz
17,Fernkampfresistenz,+9 auf Fernkampfresistenz
17,Fernkampfresistenz,+15 auf Fernkampfresistenz
18,Explosionsresistenz,+1 auf Explosionsresistenz
18,Explosionsresistenz,+3 auf Explosionsresistenz
18,Explosionsresistenz,+5 auf Explosionsresistenz
18,Explosionsresistenz,+9 auf Explosionsresistenz
18,Explosionsresistenz,+15 auf Explosionsresistenz
19,Feuerresistenz,+1 auf Feuerresistenz
19,Feuerresistenz,+3 auf Feuerresistenz
19,Feuerresistenz,+5 auf Feuerresistenz
19,Feuerresistenz,+9 auf Feuerresistenz
19,Feuerresistenz,+15 auf Feuerresistenz
20,Giftresistenz,+1 auf Giftresistenz
20,Giftresistenz,+3 auf Giftresistenz
20,Giftresistenz,+5 auf Giftresistenz
20,Giftresistenz,+9 auf Giftresistenz
20,Giftresistenz,+15 auf Giftresistenz
21,Chaosresistenz,+1 auf Chaosresistenz
21,Chaosresistenz,+3 auf Chaosresistenz
21,Chaosresistenz,+5 auf Chaosresistenz
21,Chaosresistenz,+9 auf Chaosresistenz
21,Chaosresistenz,+15 auf Chaosresistenz
22,Gegenschlag,Verleiht eine 50% Chance 1 schaden an angreifenden Nahkämpfern zu verursachen.
22,Gegenschlag,Verleiht eine 50% Chance 2 schaden an angreifenden Nahkämpfern zu verursachen.
22,Gegenschlag,Verleiht eine 50% Chance 3 schaden an angreifenden Nahkämpfern zu verursachen.
22,Gegenschlag,Verleiht eine 50% Chance 4 schaden an angreifenden Nahkämpfern zu verursachen.
22,Gegenschlag,Verleiht eine 50% Chance 5 schaden an angreifenden Nahkämpfern zu verursachen.
23,Rückstoßresistenz,Verringert bei einem Angriff den Rückstoß um 1m.
