ID,任务名
ID,Name
1001,Besiege die Leere!
1002,Hart arbeiten für die Morgendämmerung
1003,Neuer Entdecker
1004,Endloses Lernen
1005,Erfahrener Entdecker
1006,Starlink-Ingenieur
1007,Verloren im Regenwald
1008,Ewige Prüfung
1009,"Super ""Stein"" leere Rettung"
2001,Werkzeug Handwerker
2002,Waldwächter
2003,Blumensprecher
2004,Ackerland-Beobachter
2005,Geschichte der Tierhaltung
2006,Meister-Trainer
2007,Einführung in das Kochen
2008,Senior Chef
2009,Großkoch
2010,Großer Künstler
2011,Legende der Fischerei
2012,Bergbau-Experte
3001,Waffenhandwerker
3002,Panzertechniker
3003,Rune Power Desirer
3004,Berserker
3005,Jäger in der Wildnis
4001,Ein zuverlässiger Partner
4002,Spuren meiner Existenz
4003,Shayuan-Reisender
4004,30.000 Meilen unter dem Meer
4005,Polar-Expedition
4006,Stellar Circuit (reserviert)
4007,Mechanisches Fahrzeug (reserviert)
