ID,名字
ID,EnumName
10001,Soleggiato o piovoso
10002,soleggiato
10003,delle piogge
10004,Gewitter
10005,schlechtes Wetter
10006,Schnee
10007,Sandsturm
10008,Sturm
10009,Schneesturm
20001,Oriente
20002,a sud
20003,Occidente
20004,nord
20005,su
20006,giù
30001,Visuale in prima persona
30002,Vista in terza persona
30003,Vista frontale
30004,Quarter View
30005,Vista personalizzata
30006,
40001,X
40002,Y
40003,Z
50001,Sistema di angolo
50002,Misura radiante
60001,Login
60002,ln
70001,verso il basso
70002,Numeri arrotondati
70003,verso l'alto
80001,Corpo a corpo
80002,Danno a distanza
80003,Danno da esplosione
80004,Danni da fuoco
80005,Danni da veleno
80006,Danni del caos
80007,Caduta di danni
80008,soffocamento
80009,Frostschaden
90001,sì
90002,no
100001,su
100002,via
110001,Max.
110002,Min.
120001,Uguale a
120002,Non uguale a
120003,Maggiore di
120004,Meno di
120005,Maggiore o uguale a
120006,Meno o uguale a
130001,aggiungere
130002,sottrarre
130003,moltiplicare
130004,dividere
140001,Max. HP
140002,HP corrente
140003,HP Recovery
140006,Sazietà attuale
140008,Ossigeno attuale
140010,Velocità di movimento
140011,Velocità di marcia
140012,Velocità furtiva
140013,Velocità di nuoto
140014,Vai
140015,Dodge Rate
140016,Attacco corpo a corpo
140017,Arrestato a distanza
140018,Difesa corpo a corpo
140019,Difesa a distanza
140020,Dimensione del modello
140022,Stelle
140023,EXP Corrente
140024,Livello attuale
140025,la resistenza massima
140026,resistenza corrente
140027,tasso di recupero Stamina
150001,Stai fermo
150002,mossa
150004,corsa
150005,Vai
150006,Doppio salto
150007,azione furtiva
150011,terreno
160001,Moveable
160002,Blocco posizionabile
160003,Block Interact
160004,Block Destructible
160005,Articolo utilizzabile
160006,attaccabili
160007,Può essere danneggiato
160008,disinseribile
160009,Articolo da collezione
160010,Sconfiggi Drop
160011,Articolo Scarta
170001,Team1Red
170002,Team2Blue
170003,Team3Green
170004,Team4Yellow
170005,Team5Orange
170006,Team6Purple
170007,Nessuna squadra
180001,Numero del giocatore
180002,punteggio
190001,distruttibile
190002,interactable
190003,Può essere spinto
190004,Abilita Drop
200001,vuoto
200002,AFK
200003,passeggiando
200004,Attacco corpo a corpo
200005,Arrestato a distanza
200006,seguire
200007,nuotata
200008,Scappare
200009,Autodistruzione
200010,attratto
200011,compagno
210001,Max. HP
210002,Min. HP
210003,HP Recovery
210005,Sazietà attuale
210007,Ossigeno attuale
210009,Velocità di movimento
210011,Velocità di nuoto
210012,Potenza di salto
210014,Dodge Rate
210015,Attacco corpo a corpo
210016,Arrestato a distanza
210017,Difesa corpo a corpo
210018,Difesa a distanza
210019,Dimensione del modello
220001,Moveable
220002,attaccabili
220003,disinseribile
220004,Articolo da collezione
220005,Sconfiggi Drop
230001,Scegli la regione
