ID,名字,描述
ID,Name,Desc
1,Menyapa,Melambai dan menyapa
2,Ragu,"Otak kecil, keraguan besar"
3,Menangis,Tutupi wajahmu dan menangis
4,Marah,Marah dan menghentak
5,Meregang,"Sedikit mengantuk, malas melakukan peregangan"
6,Senang,Terlihat bahagia
7,Bersyukur,Membungkuk dengan tulus
8,Santai,Lihat sekeliling dan rileks
9,Menjatuhkan,Jatuh ke tanah tiba-tiba
10,Pose,Kenakan gerakan tanda tangan yang menawan
11,Tindakan eksklusif,Tindakan eksklusif Fluttershy
12,Tindakan eksklusif,Aksi eksklusif Putri Luna
13,Tindakan eksklusif,Aksi eksklusif Pinkie Pie
14,Tindakan eksklusif,Aksi Eksklusif Starlight Glimmer
15,Tindakan eksklusif,Tindakan Eksklusif Rainbow Dash
16,Tindakan eksklusif,Aksi Eksklusif Princess Cance
17,Tindakan eksklusif,Aksi Eksklusif Flower Dewie
18,Tindakan eksklusif,Aksi eksklusif Putri Frost
19,Tindakan eksklusif,Aksi eksklusif Rory
20,Uji Interaksi 1,Aksi interaktif Sakura dan Lightning
21,Uji Interaksi 2,Aksi interaktif Sakura dan Sakura
22,Uji Interaksi 3,Tindakan interaktif umum untuk Sakura
23,Soaring Warbler-Air Marsall,Main Harpa
24,Soaring Warbler - Pemula,Berputar dan Menari
25,Menunjukkan senjata,Tindakan eksklusif Tang San
26,menunjukkan senjata,Tindakan eksklusif Xiao Wu
27,menunjukkan senjata,Tindakan eksklusif Bi Bidong
28,Gunakan skill roh,Tindakan eksklusif Oscar
29,Menunjukkan roh bela,Tindakan eksklusif Ma Hongjun
30,Gunakan skill roh,Tindakan eksklusif Dai Mubai
31,Menunjukkan roh bela,Tindakan eksklusif Zhu Zhuqing
32,pertunjukan seni bela diri,Aksi eksklusif Ning Rongrong
33,pertunjukan seni bela diri,Aksi eksklusif Zhu Zhuqing
34,pertunjukan seni bela diri,Aksi eksklusif Ning Rongrong
