ID,内容
ID,Content
1000000,"Jangan tidur! Bangun, bangunlah!"
1000001,Akhirnya kamu bangun! Benar-benar menakuti aku!
1000002,"Semuanya berjalan lancar pada awalnya, tetapi sejumlah besar kekuatan Void tiba-tiba terkondensasi di rantai bintang sebelum tiba di Planet Miras!"
1000003,"Dalam sekejap, semua orang bubar, dan sepertinya hanya kita yang mencapai Planet Miras. Entah apa yang terjadi pada yang lain..."
1000004,Bagaimana status kamu sekarang? Lebih baik kita periksa dahulu.
1000011,"Lihat, bagian ini menunjukkan HP dan stamina kamu."
1000012,"Bilah merah menunjukkan tahap kesehatan kamu saat ini. Memang berbahaya jika ia terlalu rendah, mohon perhatikan!"
1000013,Bilah kuning adalah stamina kamu tersisa.
1000014,"Kamu akan merasa lelah jika ia terlalu rendah, dan efisiensimu akan berkurang. Saat dalam bahaya, kamu cenderung kewalahan. Jadi harap perhatikan juga!"
1000021,"Bagian di bawah ini adalah area yang disebut ""bilah pintas"". Klik pada kisi-kisi ini untuk mengganti alat yang dipegang dengan cepat."
1000022,"Status kamu saat ini kurang baik, ayo makan untuk pulih!"
1000023,Klik ini dan pegang di tangan.
1000031,"Bagian di bawah ini adalah area yang disebut ""bilah pintas"". Dengan menekan ""tombol angka"" yang sesuai, kamu dapat dengan cepat mengganti alat yang dipegang."
1000032,"Status kamu saat ini kurang baik, ayo makan untuk pulih!"
1000033,Beralih ke kisi ini dan memegangnya di tanganmu.
1000041,"Lihatlah! Makanan sudah dipegang. Sekarang tekan lama ""tombol gunakan"" ini untuk makan."
1000051,"Lihatlah! Makanan sudah dipegang. Sekarang tekan lama ""tombol kanan mouse"" untuk makan."
1000061,"Statusmu sekarang jauh lebih baik, terusnya ayo periksa kondisi badan."
1000062,Ikuti aku dan berjalan ke depan. Dorong joystick ke depan untuk bergerak maju.
1000063,"Maju boleh saja, sekarang mari kita mundur sedikit. Dorong joystick ke belakang untuk mundur."
1000064,"Sangat bagus, sekarang ayo pergi ke kiri. Coba dorong joystick ke kiri."
1000065,"Sudah benar, akhirnya pergi ke kanan. Dorong joystick ke kanan."
1000071,"Statusmu sekarang jauh lebih baik, terusnya ayo periksa kondisi tubuh."
1000072,"Ikuti aku dan berjalan ke depan. Klik tombol ""W"" pada keyboard untuk bergerak maju."
1000073,"Maju boleh saja, sekarang mari kita mundur sedikit. Klik tombol ""S"" pada keyboard untuk mundur."
1000074,"Sangat bagus, sekarang ayo pergi ke kiri. Coba klik tombol ""A"" pada keyboard."
1000075,"Sudah benar, akhirnya pergi ke kanan. Klik tombol ""D"" pada keyboard."
1000081,"Sepertinya tubuh tidak ada masalah, mari coba lompat selanjutnya."
1000082,"Klik tombol ini untuk melompat, cobalah melompat ke atas blok terdekat."
1000083,Terlihat normal saja. Selanjutnya... cobalah menyelinap. Kita dapat memasuki status menyelinap dengan mengklik tombol ini.
1000091,"Sepertinya tubuh tidak ada masalah, mari coba lompat selanjutnya."
1000092,"Klik tombol ""spasi"" untuk melompat, cobalah melompat ke atas blok terdekat."
1000093,"Terlihat normal saja. Selanjutnya... cobalah menyelinap. Kita dapat memasuki status menyelinap dengan mengklik tombol ""shift""."
1000101,"Bagus, melompat dan menyelinap sangat normal. Ketika kita tetap menyelinap, kita tidak akan jatuh dari tepi blok, ingatlah."
1000102,"Pemeriksaan terakhir yang tersisa, coba putar kepalamu untuk melihat posisiku."
1000103,Perhatikan instruksi dan putar layar ke arah aku. Mulailah saat kamu siap.
1000104,"Yang pertama, aku di sini, geser layar ke kiri."
1000105,Lalu di sebelah kanan. Geser layar ke kanan.
1000106,"Sekarang silakan lihat bagian atas. Geser layar untuk menemukan di mana aku berada, wkwk."
1000107,Seterusnya di bagian bawah. Bisakah kamu menemukanku?
1000108,Akhirnya bagian belakang. Jarak untuk menggesel layar akan menjadi lebih panjang.
1000111,"Bagus, melompat dan menyelinap sangat normal. Ketika kita tetap menyelinap, kita tidak akan jatuh dari tepi blok, ingatlah."
1000112,"Pemeriksaan terakhir yang tersisa, coba putar kepalamu untuk melihat posisiku."
1000113,Perhatikan instruksi dan gerakkan mouse ke arah aku. Mulailah saat kamu siap.
1000114,"Yang pertama, aku di sini, gerakkan mouse ke kiri."
1000115,Lalu di sebelah kanan. Gerakkan mouse ke kanan.
1000116,"Sekarang silakan lihat bagian atas. Gerakkan mouse untuk menemukan di mana aku berada, wkwk."
1000117,Seterusnya di bagian bawah. Bisakah kamu menemukanku?
1000118,Akhirnya bagian belakang. Jarak untuk menggerakkan mouse akan menjadi lebih panjang.
1000121,"Pemeriksaan tubuh selesai! Bagus, semuanya normal. Hei, apa itu?"
1000122,"Tampaknya seubah rumah bobrok. Jika diperbaiki, itu harus bisa menjadi pangkalan sementara kita."
1000131,"Oh, diluar topik. Mari kita rekap tugas kali ini!"
1000132,Meski Void Phantom masih tersegel di gunung berapi Planet Miras.
1000133,"Tetapi para rasulnya diam-diam mengiriminya kekuatan penciptaan dalam jumlah besar, segel ini sekarang seperti lilin dalam angin..."
1000134,"Namun, justru karena Void Phantom sangat ingin membuka pintu segitiga, sehingga telah menghabiskan banyak kekutan Void. Sekarang waktu yang tepat untuk mengkalahkannya!"
1000135,"Kita perlu mengumpulkan 3 kunci segel gunung berapi, dan dengan paksa menariknya keluar dari segel, lalu mengkalahkannya."
1000136,"3 kunci ini masing-masing disimpan di Planet Miras, Planet Flamas dan Planet Horas."
1000137,Kecelakaan selama transmisi telah kehilangan peralatan yang kita bawa. Kita tidak mungkin menyelesaikan tugas dengan peralatan saat ini
1000138,"Tapi jangan berkecil hati! Aku telah menetapkan serangkaian tujuan untukmu, pasti tidak ada masalah jika mengikutinya."
1000141,"Lihat sini. Ini adalah ��Pelacak Tugas��, dan tugas yang membuka pelacakan akan ditampilkan di sini."
1000142,"Setelah tugas saat ini selesai, itu akan melacak ke tugas berikutnya secara otomatis."
1000143,"Jika kamu ingin melihat isi tugas yang lebih rinci, kliknya untuk membuka panel kontrol."
1000144,"Ini adalah misi pertama yang aku sesuaikan untuk kamu, ayo kumpulkan beberapa batu dulu, Zaman Batu akan datang..."
2000001,"Bagaimana menurutmu, haruskah kita pergi ke dermaga untuk mendapatkan @item_12541#."
2000002,"Hei, kamu terlihat sedikit lelah, apakah kamu ingin mencari tempat istirahat?"
2000003,"Pemandangan Planet Miras sungguh indah, aku berharap bisa tinggal di sini saat krisis berakhir."
2000004,Jangan lupa makan dalam petualangan. Stamina yang rendah bisa mengancam jiwa!
2000005,"Kamu linglung lagi, apa yang ada di pikiranmu? Atau kesulitan apa yang kamu temui? Kamu bisa beritahuku!"
2000006,Planet Miras saat ini tidak dapat melihat jejak pertempuran sebelumnya sama sekali.
2000007,"Apostle Void selalu bersembunyi di belakang makhluk untuk mencuri energi, sungguh menjijikkan!"
2000008,"Ada hewan gendut bernama ayam terbang di pulau langit Planet Miras, kamu bisa menungganginya dengan memberinya makan buah persik beberapa kali!"
2000009,Kamu dapat menggali titanium di permukaan tanah jika pergi ke pulau langit. Logam ini sangat keras. Ingatlah untuk mengumpulkan lebih banyak jika menemukannya!
2000010,"Beberapa blok akan berubah bentuknya ketika digabungkan menjadi bentuk tertentu, misalnya, mata air panas yang tersembunyi di laut dalam adalah kombinasi dari magma beku."
2000011,Dikatakan bahwa sumber perak terkonsentrasi pada posisi sekitar 10-30 lapisan di bawah tanah!
2000012,"Jika ingin pergi ke planet lain, pertama-tama kita harus mengaktifkan kembali stasiun bintang."
2000013,"Boarman ini telah terkikis oleh kekuatan Void, kita harus menyelamatkan mereka sesegera mungkin!"
2000014,Kita sering dapat melihat bayangan hitam di gurun. Ini sebenarnya adalah kalajengking yang tersembunyi di dalam pasir. Awas!
2000015,"Sebaiknya jangan makan makanan mentah, hati-hati diare."
2000016,"Sebagian daun pohon tinggi di hutan hujan akan bersinar di malam hari, memperhatikannya."
2000017,"Ada sejenis alat musik yang disebut Suona di Planet Miras, suaranya sangat istimewa, mari kita coba membuatnya."
2000018,"Meskipun kekuatan energi bintang dan rune berasal dari kekuatan penciptaan, penggunaan mereka sangat berbeda."
2000019,"Mari kita tinjau tujuan dari perjalanan ini. Sekarang adalah waktu tepat untuk mengkalahkan Void Phantom, tetapi perlu mendapatkan buah suci, pedang api patah dan mata orang batu, untuk memaksa Void Phantom keluar dari altar gunung berapi!"
2000020,"Jangan berdiri di atas awan, itu tidak bisa menahan beban sebesar ini!"
