ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Mode cuaca global saat ini,Mode cuaca global saat ini,
100002,Jarak dari lokasi ke lokasi,Jarak antara%1 dan%2,
100006,Posisinya ada di penilaian area,%1%2 di%3,
100007,Jenis blok di lokasi yang ditentukan,Tipe blok untuk%1,
100008,Orientasi posisi ke posisi,Arah dari%1 ke%2,
100009,Arah koordinat triaksial mutlak,"Orientasi X%1, Y%2, Z%3",
10001,Konversikan lokasi ke area,"Luas ukuran (%2,%3,%4) dengan%1 sebagai titik tengah",
100010,Arah koordinat bola mutlak,"Azimuth%1, arah elevasi%2",
100011,lokasi,Posisi%1,
100012,daerah,Area%1,
100013,pengatur waktu,Timer%1,
100014,Grup lokasi,Grup lokasi%1,
100015,Kelompok regional,Kelompok regional%1,
100016,Grup pengatur waktu,Grup pengatur waktu%1,
100017,Cuaca acak,Cuaca acak,
100018,Cuaca untuk grup medan,Cuaca untuk%1,
10002,Offset area,"%1 offset sepanjang sumbu (%2,%3,%4)",
10003,Perluas area,"Perluas ukuran tiga sumbu%1 dengan X%2, Y%3, Z%4 kotak masing-masing",
10005,Tentukan posisi koordinat,Posisi nilai koordinat X%1Y%2Z%3,
10006,Pergeseran posisi (ubah posisi asli),"%1 offset sepanjang sumbu (%2,%3,%4)",
10007,Lokasi pusat area,Lokasi pusat dari%1,
10008,Lokasi acak di area tersebut,Lokasi acak dari%1,
10009,Waktu pengatur waktu,%1 kali,
10010,Tentukan panjang sinar arah,"Tuang%3 sinar dari%1 hingga%2, kembalikan panjang sinar antara blok dan posisi awal",
10011,Jahitan tali,%1 dan%2,
10012,Konversikan nilai menjadi string,Konversi%1 ke string,
10015,Jenis persegi terkena sinar,Jenis kuadrat yang dipukul dengan menembakkan%3 kuadrat dari%1 hingga%2,
10016,Arah relatif terhadap sistem koordinat triaksial,"Orientasi X%2, Y%3, Z%4 menghadap%1",
10017,Arah relatif terhadap sistem koordinat bola,"Azimuth%2 menghadap%1, arah elevasi%3",
10018,Objek pemain,%1 objek,
10019,objek biologis,%1 objek,
10020,Melempar benda,%1 objek,
10021,Jatuhkan objek,%1 objek,
10022,Konversikan nada ke nilai,Konversikan%1 ke nilai,
10024,Offset posisi (tanpa mengubah posisi asli),"%1 offset sepanjang sumbu (%2,%3,%4)",
10025,Boolean,Boolean%1,
10026,nilai numerik,Nilai%1,
10027,Tali,String%1,
10028,Jenis penampilan,Tipe penampilan%1,
10029,Grup nilai boolean,Grup boolean%1,
10030,Grup numerik,Grup numerik%1,
10031,Kelompok tali,Kelompok senar%1,
10032,Dapatkan jumlah nilai dalam grup mana pun,Dapatkan jumlah nilai median di%1,
10033,Dapatkan jumlah nilai arbitrer di grup mana pun,Dapatkan jumlah%2 di%1,
10034,Dapatkan jumlah nilai apa pun di grup mana pun,Dapatkan jumlah%2 di%1,
10035,Setiap penilaian nilai ada dalam kelompok mana pun,%2 di%1,
10036,Setiap kelompok menentukan penilaian nilai keberadaan angka,Nilai ada pada nomor posisi%2 di%1,
10037,Tali pencegat,Mencegat%%-%3 digit dari%1,
10038,Konversikan string ke nilai,Konversikan%1 ke nilai,
10039,Dapatkan waktu perangkat host,Dapatkan%1 perangkat kali,
10040,Dapatkan waktu perangkat host penuh,Dapatkan waktu perangkat penuh,
10041,Jenis blok acak,Jenis blok acak,
10042,Berpisah senar,"Split%1, split di%2, cegat segmen%3 setelah split",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Dapatkan waktu server game,Dapatkan%1 waktu waktu server game,
10045,Konversikan stempel waktu ke unit waktu,Konversikan stempel waktu%1 ke%2,
10046,Dapatkan waktu server penuh,Dapatkan waktu server penuh,
10047,Ubah stempel waktu menjadi penuh waktu,Ubah stempel waktu%1 menjadi penuh waktu,
10048,Dapatkan panjang senar,Dapatkan panjang%1,
10049,Nama tipe status,Ketik nama untuk%1,
10050,deskripsi tipe negara,Deskripsi Plugin untuk%1,
10051,Dapatkan koordinat tipe blok,"Dapatkan koordinat%2 terdekat dari%1, cari sumbu XYZ untuk radius%3 kotak",
10052,Bilah penyangga ransel,Dapatkan%1,
10053,Tombol batang pintasan,Dapatkan%1,
10054,Kolom peralatan,Dapatkan%1,
10055,Konversikan tipe blok ke tipe item,%1 dikonversi ke tipe item,
10056,Konversikan tipe item ke tipe blok,Konversikan%1 ke tipe blok,
10057,Dapatkan ID kamar saat ini,Dapatkan ID kamar saat ini,
