ID,名称
ID,Name
1000001,Saklar kabut
100001,terbuka
100002,dekat
10001,Hujan dan cerah
10002,hari yang cerah
10003,hari hujan
10004,badai petir
10005,cuaca buruk
10006,salju
10007,Badai pasir
10008,badai
10009,badai salju
1010001,Ke dalaman sakelar bidang
110001,nilai maksimal
110002,nilai minimum
120001,=
120002,≠
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,- Apa?
130003,*
130004,/
140001,Titik kesehatan maksimum
140002,Titik kesehatan saat ini
140003,Pemulihan hidup
140006,Kelaparan saat ini
140008,Tingkat oksigen saat ini
140010,Kecepatan gerakan
140011,kecepatan lari
140012,Kecepatan siluman
140013,Kecepatan renang
140014,melompat
140015,Tingkat penghindaran
140016,serangan jarak dekat
140017,serangan jarak jauh
140018,pertahanan jarak dekat
140019,pertahanan jarak jauh
140020,Ukuran model
140022,Jumlah bintang
140023,Pengalaman saat ini
140024,Level saat ini
140025,Stamina maksimum
140026,Stamina saat ini
140027,Tingkat pemulihan nilai stamina
140028,Serangan Fisik
140029,Serangan Elemen
140030,Pertahanan Fisik
140031,Pertahanan Elemental
150001,masih
150002,pindah
150004,lari
150005,melompat
150006,lompatan ganda
150007,Siluman
150011,pendaratan
160001,bisa dipindahkan
160002,Dapat di tempatkan kotak
160003,Dapat berinteraksi dengan blok
160004,Kubus yang Dapat Dihancurkan
160005,Item yang tersedia
160006,Dapat diserang
160007,Dapat dirugikan
160008,Bisa dibunuh
160009,Barang penjemputan
160010,Jatuh mematikan
160011,Barang sekali pakai
170001,Tim 1 Merah
170002,Tim 2 Biru
170003,Tim 3 Hijau
170004,Tim 4 Kuning
170005,Tim 5 Oranye
170006,Tim 6 Ungu
170007,Tidak ada tim
180001,Jumlah pemain
180002,nilai
190001,Bisa dihancurkan
190002,Dapat berinteraksi dengan
190003,Bisa didorong
190004,Barang dropable
200001,hampa
200002,Siaga
200003,nongkrong
200004,serangan jarak dekat
200005,serangan jarak jauh
200006,ikuti
200007,renang
200008,Lari
200009,menghancurkan diri sendiri
20001,timur
200010,Tertarik
200011,kawin
20002,Selatan
20003,Barat
20004,Utara
20005,naik
20006,turun
2030001,Tanpa
2030002,Disrupt Self
2030003,Mengganggu prioritas rendah.
2030004,Semua
2040001,Setiap sub-node berhasil
2040002,Semua sub-node berhasil
2050001,Tanpa
2050002,Setiap sub-node gagal
2050003,Semua sub-node gagal
2060001,Sembarang
2060002,Friendly
2060003,Musuh
2060004,Netral
2070001,Apapun
2070002,Netral Musuh
2070003,Netral Pasif
2070010,Tidak ada tim.
2070011,Tim 1 Merah.
2070012,Tim 2 Biru
2070013,Tim 3 Hijau.
2070014,Tim 4 Kuning
2070015,Tim 5 Oranye
2070016,Tim 6 Ungu
2090001,Terdekat
2090002,End
2090003,Kembali
2100001,Ikuti Penulis.
2100002,Tambahkan Peta ke Favorit
2100003,Peta Penilaian
210001,Titik kesehatan maksimum
210002,Titik kesehatan saat ini
210003,Pemulihan hidup
210005,Kelaparan saat ini
210007,Tingkat oksigen saat ini
210009,Kecepatan gerakan
210011,Kecepatan renang
210012,kekuatan melompat
210014,Tingkat penghindaran
210015,serangan jarak dekat
210016,serangan jarak jauh
210017,pertahanan jarak dekat
210018,pertahanan jarak jauh
210019,Ukuran model
210020,Visi
210021,Laju Pergantian
210022,Serangan Fisik
210023,Serangan Elemen
210024,Pertahanan Fisik
210025,Elemental Defense
220001,bisa dipindahkan
220002,Bisa diserang
220003,Bisa dibunuh
220004,Barang penjemputan
220005,Jatuh mematikan
230001,Pilih wilayah di dunia
240001,Lokasi dalam acara
240002,Titik kelahiran
240003,Pilih lokasi di dunia
250001,Pemain yang memicu acara
250002,Target pemain dalam acara
260001,Kubus Udara
260002,Jenis blok dalam acara
260003,Jenis blok terakhir dibuat
270001,Jenis barang dalam acara
270002,Jenis item terakhir dibuat
280001,Pelempar yang memicu acara
290001,Jatuh di acara
300001,Makhluk yang memicu peristiwa itu
300002,Target makhluk di acara
300003,Pilih makhluk di dunia
300004,Makhluk yang terakhir diciptakan
30001,sudut pandang utama
30002,Pemandangan punggung
30003,sudut pandang positif
