iD,印尼语,印尼语
ID,Name,AttrDesc
5,SeranganTerbang,Serangan jarak dekat akan menerbangkan target ke ketinggian 4 di udara
5,SeranganTerbang,Serangan jarak dekat akan menerbangkan target ke ketinggian 6 di udara
5,SeranganTerbang,Serangan jarak dekat akan menerbangkan target ke ketinggian 8 di udara
5,SeranganTerbang,Serangan jarak dekat akan menerbangkan target ke ketinggian 10 di udara
5,SeranganTerbang,Serangan jarak dekat akan menerbangkan target ke ketinggian 12 di udara
6,Tajam,Cedera serangan jarak dekat +5
6,Tajam,Cedera serangan jarak dekat +10
6,Tajam,Cedera serangan jarak dekat +16
6,Tajam,Cedera serangan jarak dekat +24
6,Tajam,Cedera serangan jarak dekat +35
7,PemburuManusia,Cedera serangan jarak utk pada manusia +8
7,PemburuManusia,Cedera serangan jarak dekat utk manusia +16
7,PemburuManusia,Cedera serangan jarak dekat utk manusia +25
7,PemburuManusia,Cedera serangan jarak dekat utk manusia +40
7,PemburuManusia,Cedera serangan jarak dekat utk manusia +60
8,PemburuHewan,Cedera serangan jarak dekat utk binatang +8
8,PemburuHewan,Cedera serangan jarak dekat utk binatang +16
8,PemburuHewan,Cedera serangan jarak dekat utk binatang +25
8,PemburuHewan,Cedera serangan jarak dekat utk binatang +40
8,PemburuHewan,Cedera serangan jarak dekat utk binatang +60
9,PemburuDemon,Serangan dekat ke Sulfur Shooter and Monster Magma +8
9,PemburuDemon,Serangan dekat ke Sulfur Shooter and Monster Magma +16
9,PemburuDemon,Serangan dekat ke Sulfur Shooter and Monster Magma +25
9,PemburuDemon,Serangan dekat ke Sulfur Shooter and Monster Magma +40
9,PemburuDemon,Serangan dekat ke Sulfur Shooter and Monster Magma +60
29,PemburuOrgLiar,Serangan dekat ke orang liar +8
29,PemburuOrgLiar,Serangan dekat ke orang liar +16
29,PemburuOrgLiar,Serangan dekat ke orang liar +25
29,PemburuOrgLiar,Serangan dekat ke orang liar +40
29,PemburuOrgLiar,Serangan dekat ke orang liar +60
10,Bakar,Serangan ini akan membakar target selama 3s dengan 5 cedera perdetik nya
10,Bakar,Serangan ini akan membakar target selama 3s dengan 10 cedera perdetik nya
10,Bakar,Serangan ini akan membakar target selama 3s dengan 15 cedera perdetik nya
10,Bakar,Serangan ini akan membakar target selama 3sdengan 20 cedera perdetik nya
10,Bakar,Serangan ini akan membakar target selama 3sdengan 25 cedera perdetik nya
11,SeranganMundur,Serangan ini akan membuat target mundur 2 langkah
11,SeranganMundur,Serangan ini akan membuat target mundur 4 langkah
11,SeranganMundur,Serangan ini akan membuat target mundur 6 langkah
11,SeranganMundur,Serangan ini akan membuat target mundur 8 langkah
11,SeranganMundur,Serangan ini akan membuat target mundur 10 langkah
12,PemburuHoki,Ada 20% kesempatan utk mendapatkan drops double saat mengalahkan lawan
12,PemburuHoki,Ada 20%/15% kesempatan utk mendapatkan drops double/triple saat mengalahkan lawan
12,PemburuHoki,Ada 20%/15%/15% kesempatan utk mendapatkan drops double/triple/quadruple saat mengalahkan lawan
13,TembakanKuat,Cedera yg didapat jika terpanah bertambah 25%
13,TembakanKuat,Cedera yg didapat jika terpanah bertambah 50%
13,TembakanKuat,Cedera yg didapat jika terpanah bertambah 75%
13,TembakanKuat,Cedera yg didapat jika terpanah bertambah 100%
13,TembakanKuat,Cedera yg didapat jika terpanah bertambah 125%
14,Tembakan unlimited,Ganti anak panah dengan 5 titik ketahanan utk memanah
14,Tembakan unlimited,Ganti anak panah dengan 4 titik ketahanan utk memanah
14,Tembakan unlimited,Ganti anak panah dengan 3 titik ketahanan utk memanah
14,Tembakan unlimited,Ganti anak panah dengan 2 titik ketahanan utk memanah
14,Tembakan unlimited,Ganti anak panah dengan 1 titik ketahanan utk memanah
15,Ketahanan,Tambah ketahanan item 40%
15,Ketahanan,Tambah ketahanan item 80%
15,Ketahanan,Tambah ketahanan item 160%
15,Ketahanan,Tambah ketahanan item 240%
15,Ketahanan,Tambah ketahanan item 320%
16,Serangan Dekat,SeranganDekat+1
16,Serangan Dekat,SeranganDekat+3
16,Serangan Dekat,SeranganDekat+5
16,Serangan Dekat,SeranganDekat+9
16,Serangan Dekat,SeranganDekat+15
17,Serangan Jauh,SeranganJauh+1
17,Serangan Jauh,SeranganJauh+3
17,Serangan Jauh,SeranganJauh+5
17,Serangan Jauh,SeranganJauh+9
17,Serangan Jauh,SeranganJauh+15
18,PertahananBom,PertahananBom +1
18,PertahananBom,PertahananBom+3
18,PertahananBom,PertahananBom+5
18,PertahananBom,PertahananBom+9
18,PertahananBom,PertahananBom+15
19,PertahananApi,PertahananApi+1
19,PertahananApi,PertahananApi+3
19,PertahananApi,PertahananApi+5
19,PertahananApi,PertahananApi+9
19,PertahananApi,PertahananApi+15
20,PertahananRacun,PertahananRacun+1
20,PertahananRacun,PertahananRacun+3
20,PertahananRacun,PertahananRacun+5
20,PertahananRacun,PertahananRacun+9
20,PertahananRacun,PertahananRacun+15
21,Pertahananchaos,Pertahananchaos+1
21,Pertahananchaos,Pertahananchaos+3
21,Pertahananchaos,Pertahananchaos+5
