ID,名称
ID,Name
79000000,Blok rumput
79000001,Kondensat hitam
79000002,Kondensat hitam
79000003,Kondensat hitam
79000004,Kondensat hitam
79000005,Kondensat hitam
79000006,Kondensat hitam
79000007,Tanah garapan
79000008,Tanah garapan
79000009,Kubus Polusi
79000010,Bola hitam
79000011,Blok rumput blueberry
79000012,Gumpalan blueberry
79000013,blok koagulasi
79000014,Blok rumput bintang bermata lucu
79000015,pasir kristal sulfur
79000016,Bijih besi
79000017,Mogu
79000018,batu biru
79000019,Tanam abu kubus
79000020,Tanah budidaya tanah merah
79000021,Tanah budidaya tanah merah
79000022,terakhir
79000023,Pasir merah
79000024,Hidangan
79000025,Hidangan
79000026,Batu yang terkikis angin
79000027,Batu yang terkikis angin
79000028,gumpalan
79000029,Batu Mantra
79000030,tanah kering
79000031,Es padat
79000032,Pasir terbakar
79000033,Pasir terbakar
79000034,tanah beku
79000035,blok kondensasi
79000036,Makrobrucus
79000037,Megamarine
79000038,Gumpalan rumput
79000039,tumpukan kerikil
79000040,Es renyah
79000041,Es renyah
79000042,tepi es yang rapuh
79000043,Tepi es padat
79000044,Kayu berharga tanpa daun
79000045,Zhenmu
79000056,log pelabuhan
79000057,Cabang poplar kasar
79000058,Cabang larch kasar
79000059,batang kelapa
79000060,Cabang ceri tebal
79000061,Inti dari Hutan Hujan
79000062,Inti dari Hutan Hujan
79000063,Cabang bunga persik tebal
79000064,Log Phoebe
79000065,Catatan populus euphratica
79000066,Catatan populus euphratica
79000067,Cabang kayu merah kasar
79000068,Batang suci
79000069,Cabang kenari tebal
79000070,Setengah bata modern
79000071,Daun pori mutan
79000072,Batang tanaman bermutasi
79000073,pasir kuning
79000074,minyak blok
79000075,pasir kuning
79000076,pasir
79000077,blok energi bintang
79000078,Batu karang
79000079,piroksen
79000080,batu penjuru geosentris
79000081,Cornerstone - Beton
79000082,Cornerstone - tanah retak
79000083,Cornerstone putih
79000084,Cornerstone - Es Keras
79000085,adobe
79000086,lantai
79000087,Lantai oranye daun musim gugur
79000088,Lantai merah Begonia
79000089,Lembaran vertikal kuningan
79000090,Lembaran vertikal semen bata
79000091,batu bata kasar
79000092,Potongan karamel
79000093,Kubus Tubuh
79000094,setengah bata Cina
79000095,setengah bata Cina
79000096,Batu bata sederhana
79000097,Setengah bata sederhana
79000098,Ubin dinding sederhana
79000099,Ubin dinding sederhana
79000100,Blok kaca
79000101,ubin mengkilap
79000102,Ubin berlapis horizontal
79000103,Ubin berlapis vertikal
79000104,Empat ubin berlapis kisi
79000105,Ubin kaca tidak teratur
79000106,kaca hijau
79000107,Blok kaca keras
79000108,tumpukan jerami
79000109,Madu bakar
79000110,Batu pupil bintang
79000111,batu bata es
79000112,Sensor inframerah persegi
79000113,Pelat vertikal blok mangan
79000114,Lembar vertikal Mithril
79000115,Lemon Kuning Pelat Vertikal
79000116,Lembaran vertikal papan bambu
79000117,Lembaran vertikal putih gading
79000118,Lembaran vertikal oranye daun musim gugur
79000119,Lembaran vertikal abu-abu muda
79000120,lembar vertikal
79000121,Lembar vertikal abu
79000122,Papan abu
79000123,Lembaran vertikal Carmine
79000124,Piring Vertikal Oranye Matahari Terbenam
79000125,Populus euphratica
79000126,Pelat vertikal merah Begonia
79000127,Lembaran vertikal merah kastanye dalam
79000128,Papan mengambang
79000129,Tanam abu kubus
79000130,dinding batu bata
79000131,karang
79000132,Lembaran vertikal batu
79000133,Tangga bata kuning
79000134,Papan bata kuning halus
79000135,Papan bata kuning kasar
79000136,Piring mithril berkarat
79000137,Pelat mithril karat bergaris
79000138,Blok Mithril Karat Bintang
79000139,Piring Mithril tebal
79000140,Papan Mithril ganda
79000141,Blok mika bermotif
79000142,Blok mika vertikal
79000143,Tangga mika
79000144,Lembaran vertikal batu bata halus
79000145,Batu bata retak
79000146,batu bata bluestone
79000147,lembaran bluestone
79000148,Coklat bata
79000149,Lembaran vertikal bata belerang
79000150,Cornerstone - pelat baja
79000151,kotak salinan wilayah
79000152,kotak salinan wilayah
79000153,kotak salinan wilayah
79000154,Batu bata hitam putih
79000155,blok replikator
79000156,blok replikator
79000157,blok replikator
79000158,Ubin dinding Cina
79000159,Kubus Sentuh
79000160,Kubus BioTouch
79000161,Kubus Sentuh Bola
79000162,Kubus Sentuhan Fisik
79000163,Sentuh persegi 5
79000164,Sentuh persegi 5
79000165,Batu bata bermotif coklat
79000166,Awan Bintang Mata Lucu
79000167,Blok kapas
79000168,Blok kapas
79000169,Blok kapas
79000170,Lembaran vertikal berkobar
79000171,Bayangan
79000172,Bayangan
79000173,Ubin bergaris biru
79000174,Ubin bergaris biru
79000175,Ubin berlapis putih murni
79000176,Ubin geometris ringan
79000177,Ubin istana aprikot
79000178,blok neon
79000179,Blok kekerasan
79000180,Racun statis
79000181,Sarang kosong
79000182,Sarang penuh
79000183,Madu kristal
79000184,Blok madu
79000185,es dan batu api
79000186,Blok batu akik sutra
79000187,Blok kuning
79000188,JingBing
79000189,Mithril tua
79000190,Pelat Mithril vertikal
79000191,Garis Ungu Mithril Nugget
79000192,blok busa
79000193,blok energi bintang
79000194,Blok spora cahaya bintang putih
79000195,apnea
79000196,Lembaran vertikal paduan titanium
79000197,Nugget tungsten
79000198,Daerah Barat bata
79000199,Kondensat hitam
79000200,Bata semen
79000201,Briket logam
79000202,Blok Halus
