ID,名称
ID,Name
11000005,mangkok
11000006,bintang
11000007,semi silinder
11000008,meja
11000009,bangku
11000010,papan kayu
11000011,belahan bumi
11000012,cincin
11000013,Kue bulat
11000014,pohon
11000015,katup
11000016,bangku
11000017,Kubus
11000018,bunga
11000019,Pohon roti
11000020,pagar
11000021,payung
11000022,tongkat panjang
11000023,palu
11000024,Bunga berputar-putar
11000025,Ayunan palu godam
11000026,pohon roti bouncing
11000027,Katup putar
11000028,bantalan udara
11000029,Pagar tiup
11000030,Merokok 1
11000031,Merokok 8
11000032,Merokok 23
11000033,Ledakan 2
11000034,Ledakan 15
11000035,Ledakan 37
11000036,Api 3
11000037,Api 11
11000038,Api 31
11000039,Lingkungan 2
11000040,Lingkungan 12
11000041,Lingkungan 8
11000042,Efek Cahaya 52
11000043,Efek Cahaya 9
11000044,Efek Cahaya 7
11000045,Partikel 2
11000046,Pasal 6
11000047,Pasal 24
11000048,Kiat 1
11000049,Tip 7
11000050,Kiat 44
11000051,Efek Cahaya 35
11000052,Efek Cahaya 47
11000053,Efek Cahaya 72
11000054,Efek Cahaya 77
11000055,Efek Cahaya 86
11000056,Asap 2
11000057,Merokok 4
11000058,Merokok 5
11000059,Merokok 26
11000060,Merokok 30
11000061,Merokok 32
11000062,Asap 42
11000063,Pasal 5
11000064,Pasal 12
11000065,Pasal 21
11000066,Pasal 25
11000067,Pasal 29
11000068,Pasal 31
11000069,Pasal 33
11000070,Pasal 35
11000071,Pasal 40
11000072,Pasal 43
11000073,Lingkungan 11
11000074,Lingkungan 16
11000075,Api 4
11000076,Api 15
11000077,Donat
11000078,Wafer
11000079,Daun semanggi
11000080,Pipa Merah
11000081,apel merah
11000082,Korsel Biru
11000083,Rintangan
11000084,Daun
11000085,Jamur Kuning
11000086,Pelangi
11000088,X Penanda
11000089,Hati Merah Muda
11000090,Menggeser
11000091,Truk
11000092,Cuplikan
11000093,Truk
11000094,Mobil biru
11000095,mobil van
11000096,Kanopi
11000097,Tanda Restoran Pizza
11000098,Eskalator
11000099,Kait
11000100,Saluran Ventilasi
11000101,Lengkungan
11000102,Kotak hadiah
11000103,Kuda Troya
11000104,Balon udara
11000105,televisi
11000107,Bulan
11000108,Mandi Kosong
11000109,Sendok
11000110,Buku
11000111,Pisau
11000112,Obeng
11000113,Botol
11000114,berlian
11000115,Jantung
11000116,Gigi
11000117,Panah Melengkung
11000118,Panah Lurus
11000119,Silinder
11000120,Kerucut Terpotong
11000121,Cincin
11000122,Busur Melingkar
11000123,Lengkungan
11000124,Cincin Persegi
11000125,Kolom Segitiga
11000126,Silinder Heksagonal
11000127,Silinder Sektor
11000128,Silinder Cembung
11000129,Kekosongan Silinder
11000130,Kerucut Tetragonal
11000131,Kerucut Heksagonal
11000132,jalur geser
16000000,kubus
16000001,bola
16000002,silinder
16000003,kerucut
16000004,Irisan
