签到类型/1七天 2每周 3国庆活动,天数/周几,印尼语,印尼语
SignInType,WhatDay,RewardName,RewardTips
1,1,KembangApi Sun&Rain,Silakan periksa digudang
1,2,Brankas,Silakan periksa digudang
1,3,Box bintang,Silakan periksa digudang
1,4,Kembang api bintang,Silakan periksa digudang
1,5,Kembang api awan,Silakan periksa digudang
1,6,Box bintang,Silakan periksa digudang
1,7,Box Mini,Silakan periksa digudang
2,1,Egg lucky bag,Silakan periksa digudang
2,2,Paket skin,Silakan periksa digudang
2,3,Box bintang,Silakan periksa digudang
2,4,Paket skin,Silakan periksa digudang
2,5,Box bintang,Silakan periksa digudang
2,6,Mini beans,Silakan periksa digudang
2,7,Mini beans,Silakan periksa digudang
3,1,Box bintang,Silakan periksa digudang
3,2,1 tas mini beans,Silakan periksa digudang
3,3,Kertas transfer,Silakan periksa digudang
3,4,1 tas mini beans,Silakan periksa digudang
3,5,KembangApiBintang,Silakan periksa digudang
3,6,1 tas mini beans,Silakan periksa digudang
3,7,Jubah Mini,Silakan periksa digudang
3,8,1 tas mini beans,Silakan periksa digudang
3,9,1 tas mini beans,Silakan periksa digudang
3,10,1 tas mini beans,Silakan periksa digudang
3,11,1 tas mini beans,Silakan periksa digudang
3,12,Kartu skin,Silakan periksa digudang
3,13,1 tas mini beans,Silakan periksa digudang
3,14,1 tas mini beans,Silakan periksa digudang
3,15,1 tas mini beans,Silakan periksa digudang
3,16,1 tas mini beans,Silakan periksa digudang
3,17,1 tas mini beans,Silakan periksa digudang
3,18,1 tas mini beans,Silakan periksa digudang
3,19,1 tas mini beans,Silakan periksa digudang
3,20,Topi beret,Silakan periksa digudang
