ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Pilih lokasi atau wijayah,Umum,"Atur|@1|sebagai pusat, area dengan dimensi (|@2|,|@3|,|@4|)"
10002,Offset wilayah,Umum,@1|bergeser di sepanjang sumbu koordinat（|@2|， |@3|，|@4|）
10003,Perbesar wilayah,Umum,"Perbesar|@1| koordinat sumbu denganX|@2|,Y|@3|,Z|@4|blok lebar"
10005,Beri tanda spesifik wilayah,Umum,PosisiX|@1|Y|@2| Z|@3
10006,Lokasi offset (perubahan lokasi asli),Umum,@1|bergeser di sepanjang sumbu koordinat（|@2| ，|@3|，|@4|）
10007,Pusat lokasi atau wilayah,Umum,Lokasi pusat =|@1
10008,Lokasi atau wilayah acak,Umum,Lokasi acak|@1
10009,Timer,Umum,Waktu|@1
10010,Buat garis pembatas utk arah,Umum,"Mulai dengan|@1|, proyek|@3| kisi ray ke|@2|,kembalikan panjang ray antara awal hingga blok"
10011,Penggabungan String,Umum,@1| dan |@2
10012,Konfersi nilai,Umum,Konversi|@1|ke gabungan huruf
10013,Perbandingan Boolean,Umum,@1||@2||@3
10014,Perbandingan Nilai,Umum,@1||@2||@3
10015,Jenis blok terkena hantaman ray,Umum,"Mulai dengan|@1|, proyek|@3| kisi ray ke|@2|, tampilkan tipe blok yang menghentikan ray"
10016,Menghadapi tiga koordinat sumbu,Umum,"@1| is facing X|@2|, Y|@3|, Z|@4"
10017,Menghadapi koordinat bola,Umum,"@1| is facing azimuth angle|@2|, elevation|@3"
10018,Pilih pemain,Umum,Pilih |@1
10019,Pilih makhluk,Umum,Pilih |@1
10020,Pilih proyektil,Umum,Pilih |@1
10021,Pilih tetes,Umum,Pilih |@1
10022,Nada berubah menjadi nomor,Umum,@1| turns to number
10023,Karakter perbandingan string,Umum,@1||@2||@3
10024,Lokasi mengimbangi (Original lokasi tidak ada perubahan),Umum,@1|bergeser di sepanjang sumbu koordinat（|@2| ，|@3|，|@4|）
10025,Nilai Boolean,Umum,|@1
10026,Nilai,Umum,|@1
10027,String Karakter,Umum,|@1
10028,Jenis Tampilan,Umum,|@1
10029,Grup Boolean,Umum,|@1
10030,Grup nomor,Umum,|@1
10031,Grup string,Umum,|@1
10032,Dapatkan jumlah nilai grup,Umum,Dapatkan nilai nilainya |@1
10033,Dapatkan jumlah nilai dari suatu nilai dalam grup,Umum,Dapatkan nilai hitungan |@2| di |@1
10034,Dapatkan ID nilai dalam grup,Umum,Dapatkan ID dari |@2| di |@1
10035,Tentukan apakah ada nilai dalam grup a,Umum,@2| ada di |@1
10036,Tentukan apakah ID tertentu ada dalam grup,Umum,Periksa apakah ID |@2| Posisi di |@1| ada.
10037,Ekstrak string,Umum,Ekstrak |@1| dari |@2| - |@3| posisi string
10038,Ubah string menjadi bilangan bulat,Umum,@1| ubah ke bilangan bulat
10039,Dapatkan pengaturan waktu perangkat utama,Umum,Dapatkan perangkat |@1| waktu
10040,Dapatkan pengaturan waktu perangkat utama penuh,Umum,Dapatkan pengaturan waktu perangkat utama penuh
10041,Jenis blok acak,Umum,Jenis blok acak
10042,Berpisah senar,umum,"Split|@1|, splitter adalah |@2|, cegat segmen |@3| setelah membelah"
10043,Mendapatkan string dari tag yang ditentukan,umum,"Dapatkan |@1|, isi dari nama kunci |@2|"
10044,Dapatkan waktu server game,umum,Dapatkan |@1| waktu waktu server game
10045,Konversikan stempel waktu ke unit waktu,umum,Mengkonversi stempel waktu |@1| ke |@2
10046,Dapatkan waktu server penuh,umum,Dapatkan waktu server penuh
