ID,描述
ID,Desc
1000,Cuaca
1001,Wilayah
1002,Lokasi
1003,Arah
1004,View
1005,Nilai
1006,Komponen Koordinat
1007,Pengukur Sudut
1008,Logaritma Basis
1009,Cara ambil
1010,Deretan karakter
1011,Jenis Cedera
1012,Ya/Tidak
1013,Tombol
1014,Nilai Boolean
1015,Max. dan Min.
1016,Perbandingan operator
1017,Operator Matematika
1018,Pemain
1019,Tim pemain
1020,Properti Pemain
1021,Status
1022,Setting
1023,Tim
1024,Properti Pemain
1025,Jenis Blok
1026,Blok setting
1027,Tipe item
1028,Item setting
1029,Tipe projektil
1030,Drop
1031,Makhluk Hidup
1032,Tipe makhluk
1033,Makhluk Set
1034,Status gerakan
1035,Properti Makhluk
1036,Setting
1037,Status
1038,Trigger
1039,Trigger Set
1040,Waktu
1041,Emoji
1042,Variabel Pribadi
1043,Trigonometric
1044,Projektil
1045,Jenis efek khusus
1046,Efek suara
1047,Arah
1048,Obyek
1049,Nada
1050,Naskah
1051,Kunci
1052,Bar shortcut
1053,Nilah Acak
1054,Bar Peralatan
1055,Jenis Peralatan
1056,Warna
1057,Tampilan Informasi
1058,Jenis Tampilan Informasi
1059,Produk
1060,Jenis Tampilan
1061,Grup apa saja
1062,Grup lokasi
1063,Grup regional
1064,Grup numerik
1065,Grup numerik
1066,Grup Boolean
1067,Grup Tipe Blok
1068,Grup Tipe Barang
1069,Kelompok Jenis Makhluk
1070,Grup pengatur waktu
1071,Grup Jenis Efek Khusus
1072,Menyortir
1073,Tautan video
1074,Interface
1075,Komponen
1076,Template gambar
1077,Mode gerakan
1078,Satuan waktu
1079,Status halaman
1080,Musik
1081,Jeda Lanjutkan
1082,Display Window
1083,Objek Global
1084,Papan Peringkat
1085,Jadwal
1086,Modus bermain
1101,Tentukan halaman
1137,Kelompok medan
