ID,名字,描述
ID,Name,Desc
1,Salutare,Onda e dì ciao
2,Dubbio,"Piccoli cervelli, grandi dubbi"
3,Gridare,Coprire il tuo viso e piangere
4,Arrabbiato,Arrabbiato e calpestato
5,Stirata,"Un po 'assonnato, un tratto pigro"
6,Contento,Sembra felice
7,Grato,Fiocco sinceramente
8,Tempo libero,Guardarsi intorno e rilassati
9,Caduto,Cadere a terra all'improvviso
10,Posa,Metti su un affascinante mossa della firma
11,Azione esclusiva,Fluttershy Action Exclusive.
12,Azione esclusiva,Princess Luna Azione esclusiva
13,Azione esclusiva,Pinkie Pie Azione esclusiva
14,Azione esclusiva,Azione esclusiva a scintillio Starlight
15,Azione esclusiva,Azioni esclusive Rainbow Dash
16,Azione esclusiva,Azione esclusiva della principessa Cadenza
17,Azione esclusiva,Flower Dewie Action Exclusive
18,Azione esclusiva,Princess Frost Azione esclusiva
19,Azione esclusiva,Azione esclusiva di Rory.
20,Interazione del test 1.,L'azione interattiva di Sakura e Lightning
21,Interazione del test 2.,L'azione interattiva di Sakura e Sakura
22,Interazione del test 3.,Azioni interattive comuni per Sakura
23,Airing Warbler-Air Marsall,Gioca a arpa
24,Warbler in aumento - Newbie,Giro e ballo
25,Mostra spirito marziale,Tang San azione esclusiva
26,Mostra spirito marziale,Piccola danza azione esclusiva
27,Mostra spirito marziale,Bi Bidong azione esclusiva
28,Scatena le abilità dell'anima,Oscar azione esclusiva
29,Mostra spirito marziale,Ma Hongjun azione esclusiva
30,Libera le abilità dello spirito,Dai Mubai azione esclusiva
31,Mostra spirito marziale,Zhu Zhuqing azione esclusiva
32,Mostra arti marziali,L'azione esclusiva di Ning Rongrong
33,Mostra arti marziali,Zhu Zhuqing azione esclusiva
34,Mostra arti marziali,L'azione esclusiva di Ning Rongrong
