ID,名字,描述
ID,Name,Desc
1001,Esempio di velocità di spostamento,@Null@
1002,Esempio di velocità di spostamento,@Null@
1003,Esempio di velocità di spostamento,@Null@
2001,Esempio di velocità di scavo,@Null@
3001,Recupero lento della vita (LV.1),Recupera 5 PF ogni 4 secondi.
3002,Recupero lento della vita (LV.2),Recupera 5 PF ogni 2 secondi.
3003,Recupero lento della vita (LV.1),Recupera 5 PF al secondo.
4001,Sprint (livello 1),Aumentare la velocità di sprint del 25%
4002,Sprint (livello 2),Aumentare la velocità di sprint del 50%
4003,Sprint (livello 3),Aumentare la velocità di sprint del 75%
4004,Sprint (livello 4),Aumentare la velocità di sprint del 75%
5001,Nuotata veloce (LV.1),Velocità di nuotata aumenta del 20%.
5002,Nuotata veloce (LV.2),Velocità di nuotata aumenta del 50%.
5003,Nuotata veloce (LV.3),Velocità di nuotata aumenta del 75%.
6001,Salta in alto (LV.1),Salta più alto.
6002,Salta in alto (LV.2),Salta più alto.
6003,Salta in alto (LV.3),Salta più alto. Ma fa' attenzione alle gambe!
6004,Salta in alto (LV.4),Salta più alto. Ma fa' attenzione alle gambe!
6005,Parkour migliorato,"Velocità base aumentata di 90%, salto aumentato di 25."
7001,Scavo pazzesco (LV.1),Velocità di scavamento aumenta del 20%.
7002,Scavo pazzesco (LV.2),Velocità di scavamento aumenta del 40%.
7003,Scavo pazzesco (LV.3),Velocità di scavamento aumenta del 60%.
8001,Lento (livello 1),La velocità sprinting riduce del 25%.
8002,Lento (livello 2),La velocità sprint riduce del 50%.
8003,Lento (livello 3),La velocità sprinting riduce del 75%.
9001,Affaticamento da scavare (LV.1),Velocità di scavamento ridotta del 20%.
9002,Affaticamento da scavo (LV.2),Velocità di scavamento ridotta del 50%.
9003,Affaticamento da scavo (LV.3),Velocità di scavamento ridotta del 75%.
10001,Assorbimento di danni (LV.1),Dai 2 punti di vita per assorbire il danno.
10002,Assorbimento di danni (LV.2),Dai 4 punti di vita per assorbire i danni.
10003,Assorbimento di danni (LV.3),Dai 6 punti di vita per assorbire i danni.
11001,Colpo critico (LV.1),Danni causati da grave attacco aumentano del 25%.
11002,Colpo critico (LV.2),Danni causati da grave attacco aumentano del 50%.
11003,Colpo critico (LV.3),Danni causati da grave attacco aumentano del 75%.
12001,Potente knockback (LV.1),Distanza respinta aumenta di 2 metri.
12002,Potente knockback (LV.2),Distanza respinta aumenta di 4 metri.
12003,Potente knockback (LV.3),Distanza respinta aumenta di 6 metri.
13001,Resistenza al contrattacco (LV.1),Distanza respinta diminuisce di 1 metro.
13002,Resistenza al contrattacco (LV.2),Distanza respinta diminuisce di 2 metri.
13003,Resistenza al contrattacco (LV.3),Distanza respinta diminuisce di 3 metri.
14001,Scavo fortunato (LV.1),Possibilità di ottenere una caduta speciale aumentano del 1%.
14002,Scavo fortunato (LV.2),Possibilità di ottenere una caduta speciale aumentano del 2%.
14003,Scavo fortunato (LV.3),Possibilità di ottenere una caduta speciale aumentano del 3%.
15001,Caccia fortunata (LV.1),Possibilità di ottenere una caduta speciale aumentano del 1%.
15002,Caccia fortunata (LV.2),Possibilità di ottenere una caduta speciale aumentano del 2%.
15003,Caccia fortunata (LV.3),Possibilità di ottenere una caduta speciale aumentano del 3%.
16001,Visione notturna (LV.1),Aumento della visibilità notturna di 20
16002,Visione notturna (LV.2),Aumento della visibilità notturna di 40
16003,Visione notturna (LV.3),Aumento della visibilità notturna di 50
16004,Visione notturna (LV.4),Aumento della visibilità notturna di 60
16005,Visione notturna 5,La luminosità del campo visivo è aumentata 50.
17001,Attacco potente (LV.1),Danni del corpo a corpo aumentano del 25%.
17002,Attacco potente (LV.2),Danni del corpo a corpo aumentano del 50%.
17003,Attacco potente (LV.3),Danni del corpo a corpo aumentano del 75%.
18001,Scatto potente (LV.1),Danni della lunga distanza aumentano del 25%.
18002,Scatto potente (LV.2),Danni della lunga distanza aumentano del 50%.
18003,Scatto potente (LV.3),Danni della lunga distanza aumentano del 75%.
19001,Esplosione potente (LV.1),Danni esplosione aumentano del 25%.
19002,Potente esplosione (LV.2),Danni esplosione aumentano del 50%.
19003,Esplosione potente (LV.3),Danni esplosione aumentano del 75%.
20001,Colpo di fiamma (LV.1),Danni fiamme aumentano del 100%.
21001,Attacco velenoso (LV.1),Danni veleno aumentano del 100%.
22001,Attacco al caos (LV.1),Il danno da caos aumenta del 100%.
23001,Cacciatore d'elite di livello 1.,Un aumento del 25% dei danni alle élite.
23002,Cacciatore d'élite di livello 2.,Il danno alle élite aumenta del 50%.
23003,Cacciatore d'Elite di Livello 3,Aumento del 75% dei danni contro gli elite.
24001,Cacciatore di bestie di livello 1.,Aumenta del 25% il danno inflitto alle bestie.
24002,Cacciatore di Bestie di Livello 2,Aumento del 50% del danno alle bestie. Livello 2 Cacciatore di Bestie.
24003,Cacciatore di bestie di livello 3.,Aumento del 75% nel danno contro le bestie.
25001,Cacciatore umano (LV.1),Danni agli umani aumentano del 25%.
25002,Cacciatore umano (LV.2),Danni agli umani aumentano del 50%.
25003,Cacciatore umano (LV.3),Danni agli umani aumentano del 75%.
26001,Difesa corpo a corpo (LV.1),Riduce danni corpo a corpo del 25%.
26002,Difesa corpo a corpo (LV.2),Riduce danni corpo a corpo del 50%.
26003,Difesa corpo a corpo (LV.3),Riduce danni corpo a corpo del 75%.
27001,Difesa a lungo raggio (LV.1),Riduce danni lunga distanza del 25%.
27002,Difesa a lungo raggio (LV.2),Riduce danni lunga distanza del 50%.
27003,Difesa a lungo raggio (LV.3),Riduce danni lunga distanza del 75%.
28001,Blast Defense (LV.1),Riduce danni esplosione del 25%.
28002,Blast Defense (LV.2),Riduce danni esplosione del 50%.
28003,Blast Defense (LV.3),Riduce danni esplosione del 75%.
29001,Resistenza alla combustione (LV.1),Riduce danni fiamme del 25%.
29002,Resistenza alla combustione (LV.2),Riduce danni fiamme del 50%.
29003,Resistenza alla combustione (LV.3),Riduce danni fiamme del 75%.
30001,Resistenza al veleno (LV.1),Riduce danni veleno del 25%.
30002,Resistenza al veleno (LV.2),Riduce danni veleno del 50%.
30003,Resistenza al veleno (LV.3),Riduce danni veleno del 75%.
31001,Resistenza al caos (LV.1),Ridurre il danno oscuro del 25%
31002,Resistenza al caos (LV.2),Ridurre il danno oscuro del 50%
31003,Resistenza al caos (LV.3),Ridurre il danno oscuro del 75%
32001,Resistenza alla caduta (LV.1),Riduce danni caduta del 25%.
32002,Resistenza alla caduta (LV.2),Riduce danni caduta del 50%.
32003,Resistenza alla caduta (LV.3),Riduce danni caduta del 75%.
33000,Livello 0,Causa 3 punti di danno ogni 1 secondo.
33001,Catturato nel fuoco (LV.1),Causa 5 punti di danno al secondo.
33002,Catturato nel fuoco (LV.2),Causa 10 punti di danno al secondo.
33003,Catturato nel fuoco (LV.3),Causa 15 punti di danno al secondo.
33004,Catturato nel fuoco (LV.4),Causa 20 punti di danno al secondo.
33005,Catturato nel fuoco (LV.5),Causa 25 punti di danno al secondo.
34001,Avvelenato (livello 1),Causa 5 punti di danno al secondo.
34002,Avvelenato (livello 2),Causa 10 punti di danno al secondo.
34003,Avvelenato (livello 3),Causa 15 punti di danno al secondo.
35001,Darkness (livello 1),Causa 10 punti di danno ogni 2 secondi.
35002,Darkness (livello 2),Causa 10 punti di danno ogni 2 secondi.
35003,Darkness (livello 3),Causa 10 punti di danno ogni 2 secondi.
36001,Intossicazione alimentare (LV.1),Ti senti più affamato e la tua velocità della fame aumenta del 25%.
