ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Attuale modalità meteo globale,Attuale modalità meteo globale,
100002,Distanza dalla posizione alla posizione,Distanza tra%1 e%2,
100006,La posizione è nel giudizio di area,%1%2 in%3,
100007,Tipo di blocco nella posizione specificata,Tipo di blocco per%1,
100008,Orientamento da posizione a posizione,Direzione da%1 a%2,
100009,Direzione delle coordinate triassiali assolute,"Orientamento di X%1, Y%2, Z%3",
10001,Converti posizione in area,"Area di dimensione (%2,%3,%4) con%1 come punto centrale",
100010,Direzione delle coordinate sferiche assolute,"Azimut%1, direzione di elevazione%2",
100011,posizione,Posizione%1,
100012,area,Area%1,
100013,timer,Timer%1,
100014,Gruppo di località,Posizione gruppo%1,
100015,Gruppo regionale,Gruppo regionale%1,
100016,Gruppo timer,Gruppo timer%1,
100017,Meteo casuale,Meteo casuale,
100018,Meteo per gruppi di terreno,Meteo per%1,
10002,Disassamento di area,"Spostamento di%1 lungo l'asse (%2,%3,%4)",
10003,Espandi l'area,"Espandi la dimensione dei tre assi di%1 rispettivamente di X%2, Y%3, Z%4 quadrati",
10005,Specificare la posizione delle coordinate,Posizione del valore delle coordinate X%1Y%2Z%3,
10006,Spostamento di posizione (cambio posizione originale),"Spostamento di%1 lungo l'asse (%2,%3,%4)",
10007,Posizione centrale della zona,Posizione centrale di%1,
10008,Posizione casuale nella zona,Posizione casuale di%1,
10009,Tempo del timer,%1 volta,
10010,Specificare la lunghezza del raggio direzionale,"Lancia%3 raggi da%1 a%2, restituendo la lunghezza del raggio tra il blocco e la posizione iniziale",
10011,Cuciture a corda,%1 e%2,
10012,Converti valore in stringa,Converti%1 in stringa,
10015,Tipo di quadrato colpito dal raggio,Tipo di quadrato colpito sparando%3 quadrati da%1 a%2,
10016,Direzione rispetto al sistema di coordinate triassiale,"Orientamento di X%2, Y%3, Z%4 di fronte a%1",
10017,Direzione rispetto al sistema di coordinate sferico,"Azimut%2 rivolto verso%1, direzione di elevazione%3",
10018,Oggetto giocatore,%1 oggetto,
10019,oggetto biologico,%1 oggetto,
10020,Lancio di oggetti,%1 oggetto,
10021,Lascia cadere l'oggetto,%1 oggetto,
