ID,名称
ID,Name
1000001,Fendinebbia
100001,aperto
100002,chiudi
10001,Pioggia e sole
10002,giornata di sole
10003,giornata di pioggia
10004,temporale
10005,maltempo
10006,neve
10007,Tempesta di sabbia
10008,tempesta
10009,bufera di neve
1010001,Interruttore profondità di campo
110001,valore massimo
110002,valore minimo
120001,=
120002,❗
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,- Che cosa?
130003,*
130004,/
140001,Punto salute massimo
140002,Punto di salute attuale
140003,Recupero della vita
140006,La fame attuale
140008,Livello di ossigeno attuale
140010,Velocità di movimento
140011,velocità di corsa
140012,Velocità stealth
140013,Velocità di nuoto
140014,saltare
140015,Tasso di evasione
140016,attacco corpo a corpo
140017,attacco remoto
140018,difesa in mischia
140019,difesa a lungo raggio
140020,Dimensioni del modello
140022,Numero di stelle
140023,Esperienza attuale
140024,Livello attuale
140025,Massima resistenza
140026,Stamina attuale
140027,Tasso di recupero del valore di resistenza
140028,Attacco fisico.
140029,Elementale Attacco.
140030,Difesa fisica.
140031,Elemental Defense
150001,ancora
150002,muoversi
150004,corri
150005,saltare
150006,doppio salto
150007,Stealth
150011,atterraggio
160001,mobile
160002,Possono essere posizionati quadrati
160003,Può interagire con i blocchi
160004,Cubo distruttibile
160005,Articoli disponibili
160006,Attaccabile
160007,Può essere danneggiato
160008,Può essere ucciso
160009,Pickup articoli
160010,Caduta mortale
160011,Articoli usa e getta
170001,Squadra 1 Rosso
170002,Squadra 2 Blu
170003,Squadra 3 Verde
170004,Squadra 4 Giallo
170005,Squadra 5 Arancione
170006,Squadra 6 Viola
170007,Nessuna squadra
180001,Numero di giocatori
180002,punteggio
190001,Può essere distrutto
190002,Può essere interagito con
190003,Può essere spinto
190004,Articoli droppabili
200001,vuoto
200002,Standby
200003,uscire
200004,attacco corpo a corpo
200005,attacco remoto
200006,segui
200007,nuoto
200008,Scappa via
200009,autodistruzione
20001,Oriente
200010,Essere attratti
200011,accoppiamento
20002,Sud
20003,Ovest
20004,Nord
20005,su
20006,giù
2030001,Nessuno
2030002,Interrompere se stessi
2030003,Interrompere le attività a bassa priorità.
2030004,Tutti.
2040001,Qualsiasi sotto-nodo ha successo.
2040002,Tutti i sottonodi sono riusciti.
2050001,Nessuno
2050002,Qualsiasi sotto-nodo fallisca.
2050003,Tutti i sott nodi sono falliti.
2060001,qualsiasi
2060002,Amichevole
2060003,Sfida
2060004,Neutro
2070001,qualsiasi
2070002,Neutrale Ostile
2070003,Neutrale Passivo.
2070010,Nessun Team.
2070011,Team 1 Rosso
2070012,Squadra 2 Blu
2070013,Team 3 Verde
2070014,Team 4 Giallo
2070015,Team 5 Arancione
2070016,Team 6 Purple
2090001,Vicino
2090002,End
2090003,Indietro
2100001,Segui Autore.
2100002,Aggiungi mappa ai preferiti.
2100003,Mappa delle tariffe
210001,Punto salute massimo
210002,Punto di salute attuale
210003,Recupero della vita
210005,La fame attuale
210007,Livello di ossigeno attuale
210009,Velocità di movimento
210011,Velocità di nuoto
210012,forza di salto
210014,Tasso di evasione
210015,attacco corpo a corpo
210016,attacco remoto
210017,difesa in mischia
210018,difesa a lungo raggio
210019,Dimensioni del modello
210020,Vision
210021,Velocità di virata
210022,Attacco fisico
210023,Elemento di attacco.
210024,Difesa fisica
210025,Elementale di difesa
220001,mobile
220002,Può essere attaccato
220003,Può essere ucciso
220004,Pickup articoli
220005,Caduta mortale
230001,Seleziona una regione nel mondo
240001,Posizione nell'evento
240002,Punto di nascita
240003,Scegli una posizione nel mondo
250001,Il giocatore che ha attivato l'evento
