ID,名称
ID,Name
1000,meteo
1001,area
1002,posizione
1003,verso
1004,Prospettiva
1005,valore numerico
1006,componente coordinata
1007,Unità angolare
1008,Logaritmo a base fissa
1009,Metodo di arrotondamento
1010,
1011,Tipo di danno
1012,Sì No
1013,interruttore
1014,Booleano
1015,valore minimo massimo
1016,Calcolatrice di confronto
1017,Operatori matematici
1018,Giocatore
1019,Gruppo di giocatori
1020,Attributi del giocatore
1021,stato di movimento
1022,Impostazioni del giocatore
1023,squadra
1024,Attributi della squadra
1025,Tipo di blocco
1026,Impostazioni blocco
1027,oggetti di scena
1028,Tipo di oggetto
1029,Tipo di proiettile
1030,Lascia cadere
1031,biologia
1032,Tipo biologico
1033,bioma
1034,Stato di azione biologica
1035,proprietà biologiche
1036,Ambienti biologici
1037,stato
1038,trigger
1039,Gruppo trigger
1040,timer
1041,Espressione animata
1042,Variabile privata
1043,funzione trigonometrica
1044,proiettile
1045,Tipo di effetto
1046,Effetti sonori
1047,direzione
1048,oggetto
1049,tono
1050,script
1051,chiave
1052,Pulsante barra di scelta rapida
1053,valore arbitrario
1054,Colonna dell'attrezzatura
1055,Tipo di attrezzatura
1056,colore
1057,Informazioni grafiche
1058,Tipo di informazione grafica
1059,merce
1060,Tipo di aspetto
1061,gruppo arbitrario
1062,Gruppo di località
1063,Gruppo regionale
1064,Gruppo numerico
1065,Gruppo di stringhe
1066,Gruppo di valori booleani
1067,Tipo di blocco Gruppo
1068,Tipo di oggetto gruppo
1069,Gruppo di tipo biologico
1070,Gruppo timer
1071,Tipo di effetto Gruppo
1072,ordinamento
1073,Link video
1074,interfaccia
1075,componente
1076,modello modello
1077,Modalità mobile
1078,unità di tempo
1079,Stato della pagina
1080,musica
1081,pausa riprendi
1082,Pannello di visualizzazione
1083,oggetto globale
1084,classifica
1085,tavolo
1086,Modalità di gioco
1087,condizione
1088,Fermare la logica
1089,Blocco di costruzione dell'azione
1090,messaggio
1091,intero
1092,Stato della vittoria
1093,Stato dell'esposizione
1094,modalità di rilevamento della somiglianza
1095,Modalità di rilevamento dei blocchi di costruzione
1096,Modalità di rilevamento dei parametri
1097,oggetto di programmazione
1098,Blocchi da costruzione risposta
1099,Proprietà dell'oggetto
1100,Metodo di caduta
1101,Specificare pagina
1102,Modalità di riproduzione delle azioni
1103,Libreria di oggetti
1104,Barra di puntello
1105,Zaino prop bar
1106,tipo di oggetto
1107,progetto
1108,angolo
1109,immagine speculare
1110,Sovrascrivere la regola
1111,classifica di gioco
1112,Curva di allentamento
1113,larghezza e altezza
1114,0
1115,Mostra grafica in movimento
1116,Nascondi grafica in movimento
1117,Grafica in movimento
1118,Selezione grafica in movimento del testo
1119,Componente coordinata 2D
1120,aumentare o diminuire
1121,Componente grafica in movimento
1122,Grafica di movimento del testo
1123,Movimento fluido dei componenti
1124,Tempo della scatola del cielo
1125,Mappa Skybox
1126,Colore scatola cielo
1127,Parametri Sky box
1128,Parametri delle particelle ambientali
1129,Parametri del filtro
1130,Impostazioni della fotocamera
1131,Modalità di rotazione
1132,Proprietà della fotocamera
1133,Assiale
1134,Modello di scatola del cielo
1135,Correzione colore
1136,Modello di filtro
1137,Gruppo terreno
1138,Prodotti per la pelle
1139,Interruttore scatola cielo
1140,Interruttore filtro
1201,Gruppo degli oggetti
1203,Regola di interruzione - attivata da un cambiamento di condizione
1204,Regole per il successo del parallelismo
1205,Regole di fallimento parallelo
1206,Relazioni di squadra.
1207,Squadra reale
1208,Squadra
1209,Posizione.
1210,Valutazione della mappa
