ID,名称
ID,Name
10001,emergono gradualmente
10002,Zoom in
10003,zoom indietro
20001,svanire
20002,Zoom in nascondi
20003,Zoom out nascondi
30001,tremante
30002,battere
30003,battito cardiaco
30004,altalena
30005,rotazione
30006,capovolgere
30007,Scansione in senso orario
30008,Scansione in senso antiorario
30009,sfarfallio
40001,Macchina da scrivere
50001,Movimento fluido
50002,Posizione di aumento regolare
50003,Scala liscia
50004,Aumento graduale della larghezza e dell'altezza
50005,Rotazione regolare
50006,Angolo di aumento regolare
