ID,名称
ID,Name
10001,Icona 2
10002,Icona 1
10003,
10004,
10005,Icona 169
10006,Icona 170
10007,Icona 171
10008,Icona 26
10009,Icona 172
10010,Icona 27
10011,Tag 2
10012,Tag 1
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,Pulsante 3
10022,Piastra di base 49
10023,Piastra di base 78
10024,Pulsante 46
10025,Pulsante 47
10026,Pulsante 48
10027,Etichetta 61
10028,Pulsante 4
10029,Pulsante 5
10030,Pulsante 6
10031,Piastra di base 30
10032,Piastra di base 40
10033,Piastra di base 41
10034,Piastra di base 42
10035,Piastra di base 43
10036,Piastra di base 44
10037,Piastra di base 45
10038,Piastra di base 46
10039,Piastra di base 47
10040,Piastra di base 48
10041,Etichetta 11
10042,Copertina di sfondo 1
10043,Piastra di base 59
10044,Copertina di sfondo 2
10045,Copertina di sfondo 3
10046,Copertina di sfondo 4
10047,Piastra di base 97
10048,Copertina di sfondo 5
10049,Copertina di sfondo 6
10050,Piastra di base 60
10051,
10052,
10053,
10054,
10055,
10056,
10057,
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,Icona 173
10067,Icona 174
10068,Icona 28
10069,Icona 175
10070,Icona 176
10071,Icona 29
10072,Icona 177
10073,Icona 178
10074,Icona 30
10075,Icona 179
10076,Icona 31
10077,Icona 32
10078,Icona 33
10079,Icona 34
10080,Icona 35
10081,Icona 36
10082,Icona 37
10083,Icona 38
10084,Icona 39
10085,Icona 180
10086,Icona 181
10087,Icona 182
10088,Icona 183
10089,Icona 40
10090,Icona 156
10091,Icona 157
10092,Icona 41
10093,Icona 42
10094,Icona 184
10095,Icona 43
10096,Icona 44
10097,Icona 45
10098,Icona 46
10099,Icona 47
10100,Icona 48
10101,Icona 49
10102,Icona 50
10103,Icona 51
10104,Icona 52
10105,Icona 53
10106,Icona 54
10107,Icona 55
10108,Icona 56
10109,Icona 57
10110,Icona 58
10111,Icona 59
10112,Icona 60
10113,Icona 61
10114,Icona 104
10115,Icona 105
10116,Icona 15
10117,Etichetta 12
10118,Etichetta 13
10119,Etichetta 14
10120,Tag 15
10121,Tag 16
10122,Etichetta 17
10123,Etichetta 18
10124,Etichetta 19
10125,Tag 20
10126,Etichetta 21
10127,Tag 22
10128,Etichetta 23
10129,Etichetta 24
10130,Tag 25
10131,Etichetta 26
10132,Etichetta 27
10133,Etichetta 28
10134,Etichetta 29
10135,Etichetta 30
10136,Etichetta 31
10137,Etichetta 32
10138,Etichetta 33
10139,Etichetta 34
10140,Pulsante 7
10141,Pulsante 8
10142,Pulsante 9
10143,Pulsante 10
10144,Pulsante 11
10145,Pulsante 12
10146,Pulsante 13
10147,Pulsante 49
10148,Etichetta 62
10149,Etichetta 63
10150,Pulsante 50
10151,Pulsante 51
10152,Pulsante 52
10153,Pulsante 53
10154,Piastra di base 61
10155,Pulsante 67
10156,Pulsante 68
10157,Pulsante 69
10158,Pulsante 70
10159,Pulsante 71
10160,Pulsante 72
10161,Pulsante 14
10162,Piastra di base 50
10163,Pulsante 15
10164,Pulsante 16
10165,Pulsante 17
10166,Pulsante 73
10167,Pulsante 74
10168,Pulsante 75
10169,Pulsante 18
10170,Pulsante 76
10171,Pulsante 77
10172,Pulsante 78
10173,Pulsante 39
10174,Piastra di base 80
10175,Piastra di base 81
10176,Piastra di base 82
10177,Piastra di base 83
10178,Piastra di base 84
10179,Etichetta 36
10180,Etichetta 37
10181,Piastra di base 62
10182,Piastra di base 63
10183,Piastra di base 64
10184,Piastra di base 8
10185,Piastra di base 65
10186,Piastra di base 9
10187,Piastra di base 66
10188,Piastra di base 67
10189,Piastra di base 10
10190,Piastra di base 11
10191,Piastra di base 68
10192,Piastra di base 85
10193,Piastra di base 86
10194,Piastra di base 12
10195,Piastra di base 13
10196,Piastra di base 14
10197,Piastra di base 15
10198,Piastra di base 16
10199,Piastra di base 17
10200,Piastra di base 18
10201,Copertina di sfondo 7
10202,Copertina di sfondo 8
10203,Copertina di sfondo 9
10204,Copertina di sfondo 10
10205,Copertina di sfondo 11
10206,Copertina di sfondo 12
10207,Copertina di sfondo 13
10208,Copertina di sfondo 14
10209,Copertina di sfondo 15
10210,Copertina di sfondo 16
10211,Copertina di sfondo 17
10212,Copertina di sfondo 18
10213,Copertina di sfondo 19
10214,Copertina di sfondo 20
10215,Copertina di sfondo 21
10216,Copertina di sfondo 22
10217,Copertina di sfondo 23
10218,Copertina di sfondo 24
10219,Copertina di sfondo 25
10220,Copertina di sfondo 26
10221,Copertina di sfondo 27
10222,Copertina di sfondo 28
10223,Copertina di sfondo 29
10224,Copertina di sfondo 30
10225,Copertina di sfondo 31
10226,Copertina di sfondo 32
10227,Copertina di sfondo 33
10228,Copertina di sfondo 34
10229,Copertina di sfondo 35
10230,Copertina di sfondo 36
