ID,名字
ID,EnumName
100203,Temperatura
100307,Danni agli elite
100308,Danni alle bestie.
100313,Danni da congelamento
100407,Danni dagli elitè.
100408,Danni dalle bestie.
100413,Danni da congelamento
100504,Resistenza al fuoco.
100505,Resistenza alle tossine.
100506,Resistenza alla confusione
100508,Resistenza al gelo.
100908,Attacco di congelamento
101007,True damage.
101008,Danni da congelamento
101501,Bassa temperatura
101502,Alta temperatura
101601,Tutto
101602,Blocco dell'acqua
101603,Blocco delle sabbie mobili
101604,Blocco di miele
101605,Blocco di lava
101701,Tutti
101702,Crudo
101703,Grigliato
101704,Bollito
101705,Medicina
101801,Tutti.
101802,Health points
101803,Punti di resistenza
101804,Scudi.
101805,Resolve
101806,Ossigeno
