ID,名称
ID,name
11311,scatola fecale
11423,Foglia di cocco gigante alienata
11603,Rune d'attacco inferiore
11604,Rune di attacco intermedie
11605,Runa avanzata di attacco.
11606,Rune di difesa di basso livello
11607,Rune di difesa intermedia
11608,Rune di difesa avanzata.
11609,Rune di Efficienza Minore
11610,Runa di efficienza intermedia.
11611,Rune di Efficienza Avanzata
11657,Bastone incandescente
12615,kelp grezzo
12616,Bottiglia di vetro con mappa del tesoro
13600,Pesce lanterna
13602,raggio
13604,Pesce muto blu pallido
13605,Pesce muto blu scuro
13606,Pesce muto nero
13607,Blu pallido pesce strano
13608,Rosa brutto pesce
13609,Pesce muto dorato
13610,Golden Cheetfish
13611,Pesce brutto dorato
13612,Pesce muto rosa
13613,Pesce Kiki Giallo
13614,Viola brutto pesce
13615,Cheetfish verde
13616,A Righe Brutto Pesce
13617,Cheetfish rosso
13618,Pesce tonto rosso
13619,Arancione pesce brutto
13621,granchio
13623,ippocampo
13624,Piccolo cavalluccio marino
13626,meduse
13627,Pesce volante
13628,squalo
13629,razza
13630,pesce alghe glow stick
245,piante acquatiche
247,Petali galleggianti
248,Tavola galleggiante
250,Loto
27,Bottiglia alla deriva in lontananza
295,Cocco grande
314,Alga rossa
486,Capo corallo
487,Capo Sbiancante Corallo
488,Bubble Coral
489,Corallo a bolle sbiancato
490,disco di corallo
491,Dischi di corallo sbiancati
492,albero di corallo
493,Albero di corallo
