ID,名字,描述
ID,Name,Desc
3001,@Null@,@Null@
3002,@Null@,@Null@
3003,@Null@,@Null@
3004,@Null@,@Null@
3005,@Null@,@Null@
3006,@Null@,@Null@
3007,@Null@,@Null@
3008,@Null@,@Null@
3009,@Null@,@Null@
3010,Traveling merchant,@Null@
3011,Desert merchant,@Null@
3012,IceFieldMerchant,@Null@
3013,Christmasmerchant,@Null@
3014,NewYearmerchant,@Null@
3015,SpringFestivalmerchant,@Null@
3016,AnniversaryMerchant,@Null@
3017,June1Merchant,@Null@
3018,Horas Merchant,@Null@
3019,Floating Island Trader,@Null@
3020,Wish Trader,@Null@
3021,Ambasciatore dell'Amore,
3022,Commerciante di viaggi,
3023,@Null@,@Null@
3024,@Null@,@Null@
3025,@Null@,@Null@
3026,@Null@,@Null@
3027,@Null@,@Null@
3028,@Null@,@Null@
3029,@Null@,@Null@
3030,@Null@,@Null@
3031,@Null@,@Null@
3032,@Null@,@Null@
3033,@Null@,@Null@
3034,@Null@,@Null@
3035,@Null@,@Null@
3036,@Null@,@Null@
3037,@Null@,@Null@
3038,@Null@,@Null@
3039,@Null@,@Null@
3040,@Null@,@Null@
3095,Kaka,
3096,Nini,
3097,Dashan,
3098,Scott Lee,
3099,Darwin Lee,
3100,@Null@,@Null@
3101,Guerriero Boarman,
3102,Jockey,@Null@
3103,Graviti,@Null@
3104,Mysterious Planeteer,@Null@
3105,Boarman Spearman,
3106,Festive Boarman,@Null@
3107,pipistrello,
3108,@Null@,@Null@
3109,BoomEgg,@Null@
3110,Rocki,@Null@
3111,Frosti,@Null@
3112,Bulli,@Null@
3113,Rooki,@Null@
3114,Froosti,@Null@
3115,Buulli,@Null@
3116,Frocki,@Null@
3117,Roclli,@Null@
3118,Froslli,@Null@
3119,@Null@,@Null@
3120,Grumpy Butcher,@Null@
3121,Scarecrow,@Null@
3122,Grumpy Butcher(tamed),@Null@
3123,Alien Scarecrow,@Null@
3124,Tamed Rocki,@Null@
3125,Tamed Frosti,@Null@
3126,Tamed Bulli,@Null@
3127,@Null@,@Null@
3128,@Null@,@Null@
3129,@Null@,@Null@
3130,Molten Giant,@Null@
3131,Sulfur Archer,@Null@
3132,Chaos Archer,@Null@
3133,@Null@,@Null@
3134,@Null@,@Null@
3135,Sciamano del gelo Boarman,
3136,@Null@,@Null@
3137,@Null@,@Null@
3138,@Null@,@Null@
3139,@Null@,@Null@
3140,@Null@,@Null@
3141,@Null@,@Null@
3142,@Null@,@Null@
3143,@Null@,@Null@
3144,@Null@,@Null@
3145,@Null@,@Null@
3146,@Null@,@Null@
3147,@Null@,@Null@
3148,@Null@,@Null@
3149,@Null@,@Null@
3150,@Null@,@Null@
3151,@Null@,@Null@
