ID,名称
ID,Name
11000005,ciotola
11000006,stella
11000007,semicilindrico
11000008,tavolo
11000009,panca
11000010,tavola di legno
11000011,emisfero
11000012,anello
11000013,Torta rotonda
11000014,albero
11000015,valvola
11000016,panca
11000017,Cubo
11000018,fiore
11000019,Albero del pane
11000020,recinzione
11000021,ombrello
11000022,bastone lungo
11000023,martello
11000024,Fiore vorticoso
11000025,Swing mazza
11000026,albero del pane rimbalzante
11000027,Valvola rotante
11000028,cuscino d'aria
11000029,Recinto gonfiabile
11000030,Fumare 1
11000031,Fumare 8
11000032,Fumo 23
11000033,Esplosione 2
11000034,Esplosione 15
11000035,Esplosione 37
11000036,Fiamma 3
11000037,Fiamma 11
11000038,Fiamma 31
11000039,Ambiente 2
11000040,Ambiente 12
11000041,Ambiente 8
11000042,Effetti di luce 52
11000043,Effetti di luce 9
11000044,Effetti di luce 7
11000045,Particella 2
11000046,Particella 6
11000047,Particella 24
11000048,Suggerimento 1
11000049,Suggerimento 7
11000050,Suggerimento 44
11000051,Effetti di luce 35
11000052,Effetti di luce 47
11000053,Effetti di luce 72
11000054,Effetti di luce 77
11000055,Effetti di luce 86
11000056,Fumare 2
11000057,Fumo 4
11000058,Fumare 5
11000059,Fumo 26
11000060,Fumo 30
11000061,Fumo 32
11000062,Fumo 42
11000063,Particella 5
11000064,Particella 12
11000065,Particella 21
11000066,Particella 25
11000067,Particella 29
11000068,Particella 31
11000069,Particella 33
11000070,Particella 35
11000071,Particella 40
11000072,Particella 43
11000073,Ambiente 11
11000074,Ambiente 16
11000075,Fiamma 4
11000076,Fiamma 15
11000077,Ciambelle
11000078,Wafer
11000079,Quadrifoglio
11000080,Tubo Rosso
11000081,Mela rossa
11000082,Carosello Blu
11000083,Ostacolo
11000084,Foglia
11000085,Fungo Giallo
11000086,Arcobaleno
11000088,Indicatore X
11000089,Cuore rosa
11000090,Diapositiva
11000091,Camion
11000092,trailer
11000093,Camion
11000094,Auto blu
11000095,Furgone
11000096,Baldacchino
11000097,Insegna Pizzeria
11000098,Scala mobile
11000099,Gancio
11000100,Condotti di ventilazione
11000101,Arco
11000102,Pacco regalo
11000103,Cavallo di Troia
11000104,Mongolfiera
11000105,tv
11000107,Luna
11000108,Doccia vuota
11000109,Cucchiaio
11000110,Libro
11000111,Coltello
11000112,Cacciavite
11000113,Bottiglia
11000114,Diamante
11000115,Cuore
11000116,Ingranaggio
11000117,Freccia curva
11000118,Freccia dritta
11000119,Cilindro
11000120,Tronco di cono
11000121,Squillo
11000122,Arco Circolare
11000123,Arco
11000124,Anello quadrato
11000125,Colonna triangolare
11000126,Cilindro esagonale
11000127,Cilindro di settore
11000128,Cilindro convesso
11000129,Vuoto cilindrico
11000130,Cono tetragonale
11000131,Cono esagonale
11000132,Scivolo
16000000,cubo
16000001,sfera
16000002,cilindro
16000003,cono
16000004,Cuneo
