接口ID,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Gioco,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Termina il gioco,local result = Game:doGameEnd()
10002,Gioco,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Impostare l'attributo dello script per la personalizzazione,"local result = Game:setScriptVar(index, val)"
10003,Gioco,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Ricevi attributo di script per la personalizzazione,local result = Game:getScriptVar(index)
10004,Gioco,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Caricate l'attributo dello script,local result = Game:sendScriptVars2Client()
10005,Gioco,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Nuovo effetto globale,local result = Game:addRenderGlobalEffect(path)
10006,Gioco,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,effetto globale chiaro,local result = Game:removeRenderGlobalEffect(effectid)
10007,Gioco,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Impostare la posizione dell'effetto globale,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Gioco,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Impostare effetto zoom globale,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Gioco,msgBox,Game:msgBox(msg),,,casella dei messaggi,local result = Game:msgBox(msg)
20001,Mondo,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Sia che si tratti di giorno,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Mondo,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Che si tratti di personalizzare gioco,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Mondo,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Che si tratti di modalità di creazione,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Mondo,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",la modalità di creazione multiplayer o modalità di modifica su misura,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Mondo,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Mondo,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Modalità Survival - Modalità Libera,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Mondo,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",modalità singola o la modalità Survival - Modalità Libera,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Mondo,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",modalità di sopravvivenza trasformato dalla modalità di creazione,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Mondo,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",modalità di modifica personalizzata,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Mondo,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",modalità personalizzata operare,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Mondo,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Ora corrente (h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Mondo,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Ottenere lo stato di visualizzazione di modifica,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Mondo,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Impostare lo stato di visualizzazione di modifica,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Mondo,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Ottenere configurazione della telecamera personalizzata,local result = World:getCustomCameraConfig()
20015,Mondo,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Ottenere la gamma di blocco (blocco),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
