签到类型/1七天 2每周 3国庆活动,天数/周几,意大利语,意大利语
SignInType,WhatDay,RewardName,RewardTips
1,1,Fuochi d'artificio sole&pioggia,Controlla il tuo magazzino
1,2,Cassetta di sicurezza,Controlla il tuo magazzino
1,3,Scatola regalo a stella,Controlla il tuo magazzino
1,4,Fuochi d'artificio a stelline,Controlla il tuo magazzino
1,5,Fuochi d'artificio sole&pioggia,Controlla il tuo magazzino
1,6,Scatola regalo a stella,Controlla il tuo magazzino
1,7,Mini pacchetto regalo,Controlla il tuo magazzino
2,1,Busta uovo fortunata ,Controlla il tuo magazzino
2,2,Pacco travestimento,Controlla il tuo magazzino
2,3,Scatola regalo a stella,Controlla il tuo magazzino
2,4,Pacco travestimento,Controlla il tuo magazzino
2,5,Scatola regalo a stella,Controlla il tuo magazzino
2,6,Mini fagioli,Aggiunto al conto
2,7,Mini fagioli,Aggiunto al conto
3,1,Scatola regalo a stella,Controlla il tuo magazzino
3,2,Una busta di mini fagioli,Controlla il tuo magazzino
3,3,Pergamena trasferimento,Controlla il tuo magazzino
3,4,Una busta di mini fagioli,Controlla il tuo magazzino
3,5,Fuochi d'artificio a stelle,Controlla il tuo magazzino
3,6,Una busta di mini fagioli,Controlla il tuo magazzino
3,7,Mini mantello,Controlla il tuo magazzino
3,8,Una busta di mini fagioli,Controlla il tuo magazzino
3,9,Una busta di mini fagioli,Controlla il tuo magazzino
3,10,Una busta di mini fagioli,Controlla il tuo magazzino
3,11,Una busta di mini fagioli,Controlla il tuo magazzino
3,12,Carta travestimento,Controlla il tuo magazzino
3,13,Una busta di mini fagioli,Controlla il tuo magazzino
3,14,Una busta di mini fagioli,Controlla il tuo magazzino
3,15,Una busta di mini fagioli,Controlla il tuo magazzino
3,16,Una busta di mini fagioli,Controlla il tuo magazzino
3,17,Una busta di mini fagioli,Controlla il tuo magazzino
3,18,Una busta di mini fagioli,Controlla il tuo magazzino
3,19,Una busta di mini fagioli,Controlla il tuo magazzino
3,20,Berretto,Controlla il tuo magazzino
