ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,Quando il tempo cambia,Mondo,Any change in the weather,Il tempo si voltò da soleggiato a pioggia，e la pioggia si è rivolta alla giornata di sole.
1010002,Quando il tempo nel gruppo di terreno cambia,Mondo,Quando si specifica |@1| il tempo cambia,Gruppo comune: pianura / foresta / scogliera / giungla / bacino / isola vuota / fiume; gruppo oceanico: spiaggia / mare profondo / mare poco profondo / isola; gruppo desertico: deserto / oasi; zona fredda ordinaria: foresta di conifere / campo di ghiaccio; zona fredda di picco: iceberg; gruppo vulcanico: vulcano; gruppo di zone umide: foresta pluviale / palude; isola piatta e vuota
1020001,Quando viene creato il gioco,Logica di gioco,Triggered when the game is created,Quando si entra nel gioco Countdown 3，2，1，avviando il gioco
1020002,Tempo di gioco,Logica di gioco,Game time at |@1|,Quando il gioco è nel punto temporale specificato
1020003,Tempo di gioco,Logica di gioco,Game running time |@1| seconds later,Dopo aver inserito il gioco，eseguire il tempo specificato
1020004,Vittoria di gioco,Logica di gioco,Triggered by Any player's victory,@Null@
1020005,Gioco fallito,Logica di gioco,Triggered by Any player's fail,@Null@
1020007,Il giocatore entra nel gioco,Logica di gioco,When any player enters the game,@Null@
1020008,Il giocatore lascia il gioco,Logica di gioco,When any player leaves the game,@Null@
1020009,Cambiamento del timer,Logica di gioco,When any timer changes,Qualsiasi variabile del timer nelle variabili della libreria variabile
1020010,Designare modifiche timer,Logica di gioco,Quando |@1| i cambiamenti,Quando la variabile del timer specificata cambia nella variazione della libreria variabile
1020011,Durante ogni gioco Runtime (Loop),Logica di gioco,Il gioco per runtime è |@1| secondi,"1. Il valore minimo è 0，05 secondi，0.01-0.09 richiederà 0，05
2. Il gioco innegerrà (loop) ogni volta che viene specificato il gioco."
1020012,Quando la mappa riceve informazioni,Logica di gioco,Quando la mappa riceve alcuna informazione di stringa,@Null@
1030001,Morire,Giocatore,Triggered when any player dies,@Null@
1030002,respawn,Giocatore,Triggered when any player respawns,@Null@
1030003,Modifica degli attributi,Giocatore,Any player's change of |@1|,Quando il giocatore è attributo，se il volume del sangue cambia
1030004,Sconfiggi bersaglio,Giocatore,Any player defeats any other player or creature,Quando il giocatore sconfigge gli altri giocatori，è Bio. Beat giocatori，creature per i giocatori di destinazione，creature
1030005,attacco,Giocatore,When any player attacks,@Null@
1030006,Hit Target,Giocatore,Qualsiasi giocatore colpisce qualsiasi altro giocatore o una creatura,Quando il giocatore ha attaccato altri giocatori，creature. Il giocatore，la creatura，il giocatore di destinazione，biologico
1030007,Causa danni,Giocatore,Any player cause damage to any other player，creature or blocks,Quando il giocatore fa male agli altri giocatori，le creature ferite. I giocatori feriti，i giocatori dell'organismo，le creature nell'evento
1030008,Essere attaccato,Giocatore,Any player takes damage,@Null@
1030009,In movimento,Giocatore,Any player moves one block away,@Null@
1030010,Usando l'espressione dei cartoni animati,Giocatore,Any player uses Emoticon,@Null@
1030011,Usa puntelli,Giocatore,Any player uses any items,@Null@
1030012,Ottieni oggetti di scena,Giocatore,Any player obtains any items,@Null@
1030013,Consuma puntelli,Giocatore,Any player consumes any items,@Null@
1030014,Clicca su Creatura,Giocatore,Any player clicks on any creature,@Null@
1030015,Clicca su Blocca,Giocatore,Any player uses any blocks,@Null@
1030016,Montare a cavallo,Giocatore,Any player rides any mount or vehicle,@Null@
1030017,Annulla giro,Giocatore,Any player cancel rides any mount or vehicle,@Null@
1030018,Cambiamento dello stato del movimento,Giocatore,Any player enters status |@1|,@Null@
1030019,Collisione,Giocatore,Triggered when any player collides,@Null@
1030020,Pick Up Item,Giocatore,Any player picks up any drop,@Null@
1030021,Inserisci la regione,Giocatore,When any player enters |@1|,@Null@
1030022,Lascia la regione,Giocatore,When any player leaves |@1|,@Null@
1030023,Cambio Armatura,Giocatore,Any player's armor bar changes,@Null@
1030024,Cambio dell'oggetto zaino,Giocatore,Any player's backpack bar changes,@Null@
1030025,Cambio barra di scelta rapida,Giocatore,Any player's shortcut bar changes,@Null@
1030026,Seleziona Barra dei collegamenti,Giocatore,Ogni giocatore sceglie qualsiasi slot sulla barra di collegamento,@Null@
1030027,Eliminare la voce,Giocatore,Ogni giocatore scarta la voce,@Null@
1030028,Indossare l'armatura,Giocatore,Ogni giocatore mette l'armatura,@Null@
1030029,Scendere l'armatura,Giocatore,Ogni giocatore viene fuori l'armatura,@Null@
1030030,stringa di spettacolo carattere nella cornice Chat,Giocatore,Mostra |@1| nel telaio di chat,@Null@
1030031,Inserire la stringa di caratteri,Giocatore,Ogni giocatore entra |@1,@Null@
1030032,Inserire la stringa di caratteri,Giocatore,Qualsiasi giocatore preme |@1|,@Null@
1030033,Inserire la stringa di caratteri,Giocatore,Qualsiasi giocatore preme lunghi |@1|,@Null@
1030034,Inserire la stringa di caratteri,Giocatore,Qualsiasi giocatore rilasci |@1|,@Null@
1030035,Ottenere effetto di stato,Giocatore,A caso il giocatore ottiene l'effetto di stato,@Null@
1030036,Effetto stato Lose,Giocatore,giocatore a caso perde l'effetto di stato,@Null@
1030037,effetto di stato Lose specifica,Giocatore,giocatore a caso perde |@1,@Null@
1030038,Variazioni di livello,Giocatore,Variazioni di livello del giocatore a caso,@Null@
1030039,I giocatori entrano nelle informazioni di chat (incluse le stringhe),Giocatore,Qualsiasi giocatore input dalle caselle di chat con |@1|,Quando il giocatore entra nella casella di chat e quando viene emesso
1040001,Essere attaccato,Creatura,When any creature is harmed,@Null@
1040002,attacco,Creatura,When any creature is attacking,@Null@
1040003,Hit Target,Creatura,When any creature hits any other player or creature,@Null@
1040004,Causa danni,Creatura,When any creature cause harm on any other player or creature,@Null@
1040005,Morire,Creatura,When any creature dies,@Null@
1040006,Sconfiggi bersaglio,Creatura,When any creature defeats any other player or creature,@Null@
1040007,Inserisci la regione,Creatura,When any creature enters |@1|,@Null@
1040008,Lascia la regione,Creatura,When any creature leaves |@1|,@Null@
1040009,Cambiamento dello stato del movimento della creatura,Creatura,When any creature enters status |@1|,@Null@
1040010,Collisione,Creatura,When any creature collides with players or other creatures,@Null@
1040011,Modifica degli attributi,Creatura,When any creature's |@1| changes,@Null@
1040012,Durante la creazione,Creatura,When any creature is created,@Null@
1040013,Ottenere effetto di stato,Creatura,creatura a caso ottiene l'effetto di stato,@Null@
1040014,Effetto stato Lose,Creatura,creatura a caso perde l'effetto di stato,@Null@
1040015,effetto di stato Lose specifica,Creatura,creatura a caso perde |@1,@Null@
1040016,Quando viene attaccato,Creatura,Quando questa creatura viene attaccato,@Null@
1040017,Quando si inizia ad attaccare,Creatura,Quando questa creatura inizia ad attaccare,@Null@
1040018,Quando colpisce obiettivo,Creatura,Quando questa creatura inizia ad attaccare e colpisce bersaglio,@Null@
1040019,Quando causando danni,Creatura,Quando questa creatura provoca danni al bersaglio,@Null@
1040020,Quando essere stato sconfitto,Creatura,Quando questa creatura viene sconfitta,@Null@
1040021,Quando sconfiggere il bersaglio,Creatura,Quando questa creatura sconfigge bersaglio,@Null@
1040022,Quando lo stato azione cambia,Creatura,Quando questa creatura entra|@1|,@Null@
1040023,Collisione,Creatura,Quando questa creatura si scontra con altri giocatori o creature,@Null@
1040024,Quando i cambiamenti attributi,Creatura,Quando questa creatura |@1| i cambiamenti,@Null@
1040025,Quando in fase di creazione,Creatura,Quando si crea questa creatura,@Null@
