ID,名字,描述
ID,Name,Desc
1,挨拶,手を振って挨拶する
2,疑問,小さな頭、大きな疑問
3,泣く,顔を覆って泣く
4,怒る,目に火を灯し、怒りで足を踏み鳴らす
5,のびのび,少し眠い、伸びをする
6,ハッピー,幸せな顔を見せる
7,ありがたい,心からのお辞儀をする
8,余暇,周りを見渡してリラックス
9,倒す,突然地面に落ちる
10,ポーズ,自分の得意なポーズをする
11,限定アクション,Fluttershy限定アクション
12,限定アクション,プリンセスルナ限定アクション
13,限定アクション,Pinkie Pie限定アクション
14,限定アクション,Starlight Glimmer限定アクション
15,限定アクション,Rainbow Dash限定アクション
16,限定アクション,Princess Cadence限定アクション
17,限定アクション,朝露繁花限定アクション
18,限定アクション,氷姫限定アクション
19,限定アクション,羅麗限定アクション
20,テストインタラクション1,ブロッサムとライトニングのインタラクティブアクション
21,テストインタラクション2,ブロッサムとブロッサムの連動技
22,テストインタラクション3,ブロッサムの一般的なインタラクティブアクション
23,空飛ぶウグイス-コンゴウ,コンゴウを奏でる
24,空飛ぶウグイス-インチュー,旋回して踊る
25,武魂を見せる,唐三限定アクション
26,武魂を見せる,唐三限定アクション
27,武魂を見せる,比比東限定アクション
28,魂技をつける,欧思客限定アクション
29,武魂を見せる,馬紅俊限定アクション
30,魂技をつける,戴武白限定アクション
31,武魂を見せる,朱竹清限定アクション
32,武魂を見せる,寧栄栄限定アクション
33,武魂を見せる,朱竹清限定アクション
34,武魂を見せる,寧栄栄限定アクション
