id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,晴れ,今日は目が痛くなるくらいにいい天気だな。,さくら,
2,雨,雨音を聞いていると心が落ち着いてくる……,じゅん,
3,爆弾,この推理小説、すっごくおもしろいんだ。君も読む？,かな,
4,夜が好き,夜になったら本気出すから、いまは休ませてくれ……,やよい,
5,春,寝ちまうのがもったいないくらい、最高のひとときだな。,▼???▼,
6,聞いてみたいこと,どちらが好き？　Aきなこ（揚げパン）　Bシュガー（揚げパン）,玉置（卵サンドイッチ）,
7,大好きなフレンド,絆,?ばぶる??,
8,レストランに行ったらどちらに座るか聞きたいだけです。,みなさんは，レストランに行ったらどちらに座りますか。A:イス　B：ソファー,×さえ/Sae×,
9,皆さんに質問です！,皆さんが好きな曲を教えてください！,雷玄@アオナ,
10,布団から出たくない(),朝一番思うこと 布団から出たくない(寒いし布団天国),もっちぃ???,
11,大好きな人との幸せな時間,ーあまりに夢中で、忘れていたのね。時間のことさえもー (シンデレラ),がろん,1
12,幸せ,フレンドが優しすぎて幸せ,紅葉組⑨霊夢,
13,すきなもの,グラタン,平山 しょうき,
14,楽しい漢字（ルビ）クイズ,クックック…私はTOOBOEすきすき仮面…作曲者であるTOOBOEさんの楽曲をこよなく愛するただのファンさ…！タイトル通りこれを読んでいるキミたちにはTOOBOEさんの曲に出てくる歌詞の「ルビ」…つまり、読み方を答えてもらう…！ １美人 ２制服 ３傀儡 ４赤い糸 ５喝采 ククク…以上がクイズだ… 答えを知りたくばTOOBOEさんの「心臓」を聴くんだな…！,TOOBOEすきすき仮面,1
15,海アップデートは嬉しい！,海アップデートはとても嬉しいし！運営さんは頑張っているので！この伝言にしました！,@raru＊tosu★@,1
16,釣竿が追加されてほしい！,魚が釣って焼き魚にして食べたい,未来＝将来★,1
17,マジって言葉は江戸時代からあったんだよ,「マジ」と言う言葉は”江戸時代“の時代からある。 マジの意味→驚いた時に、女子高生などの人間がよく使う。例:猫飼ってるってマジ？ 江戸時代の意味→現在から800年前ぐらい前からある時代,キャンぬ,
18,自分の気持ちです,布団から出られない…,魔神/睡眠ちゃ,1
19,海だからうきわのあいてむなどがほしいです！,浮き輪があったら建築にも使えて浮き輪がないと再現するのに大変だから浮き輪を追加してほしいです！,愛敬らしいCarolena,
20,海系のアイテムが欲しい,生物にいるかを追加する。そのいるかに乗れる。アイテムで浮き輪を追加してほしい。浮き輪で海を渡れるようにしたい。,頑張るかんな,1
21,釣り大好き。,釣りをするだけで大体のアイテムが揃ってしまうというとんでもないゲームがあったから。そこから取りました。,酸 - メロチャ,1
22,ユーモラスなこと,海バージョンで海楽(快楽)に遊ぼう！,@@ふう_。?r?zy?,1
23,みんなは、どっちが好きかを聞きたい,ハムスターとウサギではどっちを飼いたいですか？,零? ?>??< ??,1
24,君好きな人いるの？,恋人は違う国にいるんだ！どこにいるかって？？Imagination,運命の人どこ？,1
25,リアルの方で,リアルの方でスマホをめっちゃ落としました,暇組総長〆くま,1
26,ミニワールド海アプデおめでとう！,ミニワールド海アプデおめでとうございます これからも頑張って下さい！,ずんだもち@,1
27,暇人,ミニワールドやってる時フレが来てくれなくて(′?ω?`)だから暇人,莉駆/リク,
28,ミニワは最高！！,フレンドを作れるところや、マップを作れるところが最高,@無ノ神〆/kin/,
29,ミニワールドの良さ,ミニワールドの良さをわかってもらう,天音さん.@田中,1
30,音楽,AerosmithとAC/DCとRolling Stonesを聴こう！,もっさん！,1
31,海は広いぞ！,海は広いって言うことを伝えたい,RYOU0909,1
32,なんだここは…海？,ワールド内を回っている主人公、ある日海を見つけ船を用意した主人公だが、…あれ？なんか海底に埋まっている？船が埋まっている！そこには沈没船があり…主人公は混乱するばかりだった。,主人公1,1
33,楽しいミニワールドを遊んでみてくださいね,みなさんにもっと知ってほしいから。,山内英航,1
34,ドレッドヘアーの女の子はかわいい,ドレッドヘアーの髪型の女の子は可愛いということです,ひぃ巻き,1
35,ダイヤを4個集めたこと(宇宙),宇宙でチタンのつるはしを持ちながら探索したところダイヤが4個見つかった,飛びつマン,1
36,鬼滅の刃,綺麗だねぇ,るなスカーレッ,
37,親愛なるミニワールド,ミニワールドの人気が年々高まっているのはとても良いことだと思います。私は 15 歳で、Miniworld を 4 年間プレイしています。とても楽しいゲームいつも私を楽しませてくれるそして、私は将来のアップデートが素晴らしいものになると確信しています時々グリッチがあり、ゲームは非常にうるさいですが、それでも素晴らしいゲームです,ローズ,1
38,前進！海の時代！,海をもっと楽しんでもらう。,うっ?ちー?,1
39,海アプデ楽しみ,海アプデ?海アプデっ！,暇組総長〆くま,1
40,様々な面白いマップ,いろんな人が作る個性豊かなマップ達。そのマップにはトリガーが欠かせないはず。 皆と協力して作るもよし、1人で作るもよし。マップ作りって良いよね。 そして、皆に楽しんで貰おうよ！,雪教@けんと(名もなきマップクリエイター),1
41,海への広大な大航海時代,海へ広大な冒険を！,やる気がない人,1
42,1番好きな名言,「あなたが出会う最悪の敵は、常にあなた自身だ。」 フリードリヒ?ヴィルヘルム?ニーチェ：ドイツの哲学者 「ツァラトゥスラはこう語った」より,ＳＩＲＥＮ,1
43,暇人集まれ！,暇な人ミニワールドで遊んで,そばONE,1
44,バトル強くなっておるぅの意思継ぎたい,昔の大親友でもありました励ましてくれたりバトルが強い人でした、そんな人になりたいです。,?どらパン?,1
45,来たれ夏のイベント,これからも、よろしくねー,しか重ねて,1
46,特に何もない時の幸せな日,何気ない日常を作る。 それはある人には何も感じず、 ある人には悲しみ喜び、怒り、 たくさんの感情がある。 そんな特にもない日の日常,ユーラシア,1
47,2択,可愛いとかっこいいならどっちが好き？,しらたま,1
48,ミニ生活,ミニワールドを初めてやや何年か、初めてのお友達が出来たんだ！そこには、、可愛らしい女の子！！しかしその子から出た言葉は無礼……その言葉を連発！私のハートはマイナス0,しにー,1
49,クリスマス,クリスマス（英語: Christmas）はイエス?キリストの降誕[注 1]を記念する祭で、[1]キリスト降誕祭（キリストこうたんさい、単に降誕祭とも）、降誕日[2]（こうたんび）、聖誕祭（せいたんさい）、ノエル（仏: No?l）などとも呼ばれる[3]。「クリスマス」という英語は「キリスト（Christ）のミサ（mass）」という意味に由来する,トロフィー,1
50,毎日が誰かのバースデー,全世界の誰かさーん！お誕生日おめでとうございます！,クリームソーダ,1
51,どっちが好き？,甘いものor酸っぱいもの！どっちが好き？,melon soda,1
52,海と言ったらハワイ！,ハワイを体験できるところを作って欲しいです！,ちっちゃい子猫^_^,1
53,朝はパン派?ご飯派？,どうみても和風な人がパン派だと面白いです?,雛野,1
54,目玉焼きに何をかける？,醤油やソース、マヨネーズ？,泉海,1
55,幽霊はいると思う？,私はいると思う,五月雨,1
56,ジョン?ヤング（宇宙飛行士）の名言,変えるにはリスクが伴う。変えなければもっと大きなリスクが伴う,月桂冠,1
57,デール?カーネギーの名言,人生とは今日一日のことである,ゼド,1
58,岡本太郎の名言,人生はキミ自身が決意し、貫くしかないんだよ,ジョーカー,1
59,ミケランジェロの名言,千の歓びも一つの苦しみに値しない,マックス,1
60,宿題を　徹夜で書いた　夏休み,"中学生のあるあるを俳句にしたものですね。
学生の頃には、一度くらい経験したことがあるのではないでしょうか？
冷静に考えると毎日コツコツすれば、徹夜でやる必要はありませんが、そうさせないのが夏休みですよね?",エイク,1
61,夏休み　ボーとしてたら　もう終わり,"夏休みは一般的に30日以上あります。
一見すると長いように見えますが、何もすることがなければあっという間に過ぎますよね？
せっかくの夏休みなので何か目標を立てると有意義に過ごせますよ！",加蓮,1
62,金魚すくい　紙破れたり　敗れたり,"こちらの俳句は祭りの出来事を詠ったものですね。
「紙が破れる」と「勝負に敗れる」を上手に組み合わせています。
こんな俳句をすぐに思いつけると、その人のセンスがうかがえますね?",陽菜,1
63,目覚ましがほこりをかぶった夏休み,"夏休みは早く起きる必要がないので、目覚まし時計の役割がなくなったという意味の俳句ですね。
夏休みは起きるのが自由ですが、あまりにも起きるのが遅いと親から怒られるので気を付けたいです(>_<)",巳已己,1
64,朝起きて　足跡がない　雪の国,"朝になると雪が降って足跡もない光景を詠った俳句です。
雪国だと日常的に起こっている状態かもしれません。",shin9,1
65,さくらんぼ　二人で食べて　仲直り,"さくらんぼで仲直りしたというほほえましい俳句です。
さくらんぼはひと房に2個しか付いてないけど、それを半分こしたというのがほっこりします。",ナボンナ,1
66,夏服が　今年の出番　まっている,"夏が来るのを待ちきれないことを表現した俳句です。
シンプルに夏と表現するのではなく、夏服というのはおしゃれですね?",???,1
67,夏のせみ　かなしい声が　まじってる,"セミの鳴き声には悲しい声が混ざっているという俳句です。
セミはわずか1週間で息絶えるので、その悲しさを表現しています。",おばけ1号,1
68,【エブリデイ】,"友人宅でマンガを読んでいると、お母さんがやってきて、
母　「いつもマンガばかり読んで、毎日エブリデイだねぇ～」
とぼやいていた。
何が言いたいのか、よくわからなかった。",渚澤,1
69,【右折左折】,"教習所での、教官の面白いセリフ。
オレが通っている、教習所の教官はとにかく活舌が悪い。
教官　「ウホッ、ウホッ」
オレ　「何いってんだ、ゴリラのマネか？」と思って無視していた。
教官　「サホッ、サホッ」
オレ　「意味が分かんねーよ」と思っていたら、
「右方（うほう）、左方（さほう）」と言っていたことが分かって、少し申し訳なく思った。",小花衣,1
70,【コンビニ】,"コンビニでお弁当を買った時のこと。
店員　「あたためるますな？」と言ってきたので、かなり戸惑ったが、
オレ　「さようでござる」と答えてやった。",天和,1
71,【勘違い】,"幻聴が聞こえるという友人から、こんな相談を受けた。
友人　「おれさ、毎日幻聴が聞こえるんだ」
オレ　「えぅ、どんな？」
友人　「まわりで、オレの悪口を言っているのが聞こえてくるんだ」
オレ　「???、転校したほうがいいよ」",花ノ木,1
72,【ラーメン】,"替え玉が無料で有名なラーメン店でのこと。
オレ　「ここ、スープもうまいんだな」
と思った俺は、替え玉を頼むのも忘れて、スープを飲み干してしまった。。。",姫沢,1
73,【ポラギノール】,"オレ　「今日のばんめし何？」
母　「ポラギノールよ」
カルボナーラとポラギノールを間違えた母であった。",あすみ,1
74,【たこ焼き】,"オレ　「このたこ焼き、タコがないってないよ」
たこ焼き屋　「タイヤキに鯛は入ってないだろ？それと同じだよ！」
と言われて、少し納得してしまった。",あいがみ,1
75,【美容室】,"カットし終えた、友人が言った一言。
友人　「俺かっこよくなりましたか？」
美容師　「手は尽くしたんですが」",小豆沢,1
76,【英語】,"「オールマイティ」を日本語に訳せ、という問題にオレの友人が答えた回答。
友人　「すべてわたしのお茶です」",ほしのみや,1
77,【ホームステイ】,"わたしのむすこは、とても勉強がよくできる。
大学生になって、息子がイギリスに留学する時に、親戚に自慢気に、
母　「うちの息子が、イギリスでホームレスやるんですよ～」と言いふらしていた。",雪平,1
78,【歯医者】,"初めて行った歯医者さんでの出来事。
歯科医が「口紅をふいてください」と言っているのを、「口笛を吹いてください」と勘違いして、おかしいと思いながらも、ヒューヒューと口笛を吹いてしまった私。",ゲソのきわみスルメ,1
79,【副作用】,昨日、かゆみ止めの塗り薬を買ってきた時のこと、副作用を読むと「かゆみ」と書かれてあった。一瞬、使うかどうか迷ってしまった。,日々軌,1
80,【グーグル】,"母　「ゴーグルって便利だね～、なんでも教えてくれるね～」
オレ　「グーグルや！」",飲み太郎,1
81,【ツイッター】,"母　「わたしも、ツィッターしたいんだけど、どこに売ってるか教えて？」
オレ　「コンビニに売ってるよ」",ぴいな,1
82,【ほしいモノ】,"わたしの誕生日に、父からのプレゼント。
父　「何か欲しいものはあるか？なんでも買ってやるぞ！」
わたし　「じゃあ、GLAYのセーターが欲しい」
といって、父が買ってきたのは灰色のセーターだった。。",めろ,1
83,【理科のテスト】,"理科のテストで、10点おまけしてくれた話。
両生類の動物を一つ答えなさい　→　イモリ　
爬虫類の動物を一つ一つ答えなさい　→　ヤモリ　
哺乳類の動物を一つ一つ答えなさい　→　タモリ",めろり,1
84,【サンゴ礁】,"沖縄良好にいく時飛行機の中で、父が言った恥ずかしい一言。
父　「あのな、沖縄は島がサンショウウオでできてるんだぞ！ガハハ」
オレ　「魚の上じゃないだろ、サンゴ礁の間違いだろ」",あーちゃん,1
85,【ポケモン】,"ある中学校の理科での先生と生徒の会話。
先生　「ポケモンの名前は憶えられて、なんで元素記号は覚えられないんだ！」
生徒　「捕まえたことないからです」",のるん,1
86,【ポケモンの食べ物】,"オレ　「あのさ、ポケモンって何食べて生きてるんだろうね？」
母　「あんたの時間だよ」",ぺんたぶ,
87,中二病同士の共演,"駅のホームにて
酔っぱらって妙なテンションになってた俺はおもむろにその場で構えをとって
「波動拳！！」
そしたら向かいのホームにいた見知らぬ男が「う～わ～！」と吹っ飛んだ
すると、その隣にいた男が高らかに「ＫＯ！！」
そしてこちらを指さして「ＹＯＵ　ＷＩＮ！！」
更には「ラウンド２　ファイッ！！」
その声に吹っ飛んだ男が跳ね起きる
こちらも第２射を放とうとした瞬間、電車が来た
乗り込んだ時に、騒音に混じって微かに
「ドロー！」の声が聞こえた
そしたら向かいのホームにいた見知らぬ男が
酔っぱらうとつい勢いで行動してしまいますよね？
この人のように、勢いあまって恥ずかしいことをしてしまった経験もあるでしょう。
しかし、その後の展開が面白くて、恥ずかしい言動を見た人もノッてきます。
まさかの展開が巻き起こっていて、現場にいたら確実に笑いますよね?
大人になっても少年心を忘れていないのは素敵ですね。",柚葉,
88,【チキンあるある】,"客「どうしてLチキ売ってないんですか！」
店員「うちはファミマです」",ぐりぐら,1
89,【そういうおもちゃです】,"「先日買った商品がバラバラだったので返品させてください。」
「大変申し訳ございません。すぐに交換いたします。」
「これです」
とってジグソーパズルを取り出すお客さま。",こゆき,1
90,【つけ麵専門店にて】,"麺と汁を一緒に盛り付けてほしいと頼まれた。

たぶんだけど、ラーメン屋にいった方がいいと思う。",??.?.??,
91,日本で「猫=魚」というイメージが定着した理由,"江戸時代まで日本は「魚食文化」で、牛肉や鶏肉を食べることはほとんどありませんでした。
そんな中、当時の将軍徳川綱吉が発令した『生類憐みの令』により国内で猫が急増。餌を求める猫に対して溢れていた魚を与えていたことから、「猫は魚が好き」というイメージが定着しました。
ちなみに海外では異なり、例えばチーズが有名なスイスでは「猫はチーズが好き」、パスタが主食のイタリアでは「猫はパスタが好き」というイメージが定着しています。",ねいねい,
92,赤身魚と白身魚の違い,"赤身魚と白身魚の違いは、筋肉100gの中に含む色素たんぱく質の量によって生じます。
具体的には、筋肉100gの中に色素タンパク質を10g以上含む魚を「赤身魚」、筋肉100gの中に色素タンパク質が10g以下の魚を「白身魚」といいます。
この色素たんぱく質はミオグロビンとヘモグロビンのことを指し、身を赤くする働きを持っています。そのため含有量が多い赤身魚の身は、赤い色をしているのです。",F=GMmr2,
93,海に住む魚が塩辛くならない理由,"塩分濃度の高い海に住んでいる海水魚ですが、その刺身って塩辛くならないですよね。
その仕組みとしては、①エラと腎臓を使って塩分を対外に排出している、②細胞膜が海水を体内に入れないように守っている、の2点が挙げられます。
魚でも塩分を摂りすぎると死んでしまうので、このような仕組みを活用して自身を守っているのです。",ししくら,
94,マグロやカツオが寝る時も泳ぎ続ける理由,"マグロやカツオは寝る時も泳ぐことを止めない魚です。
泳ぎ続ける理由の1つ目は、酸素を体内に取り込むためです。マグロやカツオはエラ呼吸ができないため、泳ぎながら口から水と酸素をエラへ送り込む「ラムジュート換水法」で呼吸します。したがって、もし泳ぐことを止めてしまうと、呼吸ができなくなるため死んでしまうのです。
泳ぎ続ける理由の2つ目は、沈んでしまわないためです。魚は浮き袋の空気を調整して沈まないようにしますが、マグロやカツオの浮き袋は発達していません。そのため泳ぎを止めることができないのです。",KOTSUKI,1
95,ウナギを刺身で食べない理由,"ウナギといえば「かば焼き」や「ひつまぶし」ですが、刺身など生で食べることはほとんどありません。
これはウナギの血液には毒（イクシオトキシン）が含まれており、加熱処理をしない限り完全に取り除くことが困難だからです。
職人さんが毒を除去すれば刺身で食べることも可能ですが、嘔吐?下痢?口内の痺れなどのリスクがあるためほとんどの飲食店は提供していません。",kayano,
96,チョウチンアンコウの提灯が光る仕組み,"チョウチンアンコウは釣竿のような長い背びれ（これを誘引突起といいます）を持ち、その先端に発光バクテリアを集めることで光を発しています。
この先端部分をエスカといい、バクテリアを培養させることができます。そしてここにかくまってもらう形で発光バクテリアは住み、集まったバクテリアが大きな光になります。
一方、チョウチンアンコウはエスカを発光させることで、光に寄ってくる小魚を捕食することができるメリットを持ちます。自家発電ではないということをおさえておきましょう。",肉好き,
97,ふぐが丸く膨らむ理由,"丸く膨らむ姿がかわいいと人気の高いふぐですが、決してかわいいアピールしているわけではありません。
ふぐが膨らむのは外敵から身を守るための自己防衛で、「通常よりも大きく膨らむことで威嚇できる」「外敵が呑み込めない大きさになることで捕食対象から逃れる」といった目的があります。",ぽむ?,
98,ふぐの刺身「ふぐ刺し」が薄い理由,"マグロやカツオの刺身と比較すると、ふぐの刺身は皿の模様が透けて見えるほど薄いですよね。この理由はふぐの身質が大きく影響しています。
ふぐは丸く膨らむために、内臓を守る役割を果たす「あばら骨」を有していません。その代わり、硬い身で自信を覆うことで内臓を守っています。
そのため通常サイズの大きさで刺身にすると噛み切ることができないので、ふぐの刺身は薄く盛り付けがされているのです。決してケチという理由で薄いわけではありませんよ。",鯉くん,
99,水族館のサメが他の魚を食べない理由,"水族館のサメが他の魚を食べない理由は、与えられたエサでお腹が満たされているからです。
つまり水族館にサメを入れると性格が変わっておとなしくなったのではなく、他の魚を狙う必要性がない環境にいるからなんです。
そのため仮にエサを与えなくなれば、お腹がすいたサメは生きていくために他の魚を捕食します。一緒に入れられている魚はたまったもんじゃないですね。",りちゃこ,
