ID,名字,描述
ID,Name,Desc
1001,移動速度例,@Null@
1002,移動速度例,@Null@
1003,移動速度例,@Null@
2001,掘削速度例,@Null@
3001,ゆっくり回復Lv.1,4秒ごとにHPが5pt回復する。
3002,ゆっくり回復Lv.2,2秒ごとにHPが5pt回復する。
3003,ゆっくり回復Lv.3,1秒ごとにHPが5pt回復する。
4001,ダッシュLv.1,基礎スピード+25％。
4002,ダッシュLv.2,基礎スピード+50％。
4003,ダッシュLv.3,基礎スピード+75％。
4004,ダッシュLv.4,基礎スピード+75％。
5001,スイムLv.1,泳ぐ速度+25%。
5002,スイムLv.2,泳ぐ速度+50%。
5003,スイムLv.3,泳ぐ速度+75%。
6001,ジャンプLv.1,ジャンプの高さが上がる
6002,ジャンプLv.2,ジャンプの高さが上がる
6003,ジャンプLv.3,ジャンプの高さが上がる。着地に注意！
6004,ジャンプLv.4,ジャンプの高さが上がる。着地に注意！
6005,パルクール強化,基本速度が90%UP、ジャンプが25UP。
7001,クレイジーマイニングLv.1,掘削速度+25%。
7002,クレイジーマイニングLv.2,掘削速度+50%。
7003,クレイジーマイニングLv.3,掘削速度+75%。
8001,スロウLv.1,基礎スピード-25%。
8002,スロウLv.2,基礎スピード-50%。
8003,スロウLv.3,基礎ススピード-75%。
9001,掘削疲れLv.1,掘削速度-25%。
9002,掘削疲れLv.2,掘削速度-50%。
9003,掘削疲れLv.3,掘削速度-75%。
10001,ダメージ吸収Lv.1,ダメージを2pt吸収してHPを回復する。
10002,ダメージ吸収Lv.2,ダメージを4pt吸収してHPを回復する。
10003,ダメージ吸収Lv.3,ダメージを6pt吸収してHPを回復する。
11001,クリティカルLv.1,クリティカルダメージ+25%。
11002,クリティカルLv.2,クリティカルダメージ+50%。
11003,クリティカルLv.3,クリティカルダメージ+75%。
12001,ノックバックLv.1,ノックバック距離+2m。
12002,ノックバックLv.2,ノックバック距離+4m。
12003,ノックバックLv.3,ノックバック距離+6m。
13001,ノックバック抵抗Lv.1,ノックバック距離-1m。
13002,ノックバック抵抗Lv.2,ノックバック距離-2m。
13003,ノックバック抵抗Lv.3,ノックバック距離-3m。
14001,幸運-掘削Lv.1,ユニークドロップの確率+1%。
14002,幸運-掘削Lv.2,ユニークドロップの確率+2%。
14003,幸運-掘削Lv.3,ユニークドロップの確率+3%。
15001,幸運-狩りLv.1,ユニークドロップの確率+1%。
15002,幸運-狩りLv.2,ユニークドロップの確率+2%。
15003,幸運-狩りLv.3,ユニークドロップの確率+3%。
16001,夜目Lv.1,視野の明るさ+20
16002,夜目Lv.2,視野の明るさ+40
16003,夜目Lv.3,視野の明るさ+50
16004,夜目Lv.4,視野の明るさ+60
16005,夜目Lv.5,視野の明るさ+50
17001,ヘヴィーアタックLv.1,近接ダメージ+25%。
17002,ヘヴィーアタックLv.2,近接ダメージ+50%。
17003,ヘヴィーアタックLv.3,近接ダメージ+75%。
18001,ヘヴィーショットLv.1,遠距離ダメージ+25%。
18002,ヘヴィーショットLv.2,遠距離ダメージ+50%。
18003,ヘヴィーショットLv.3,遠距離ダメージ+75%。
19001,ビッグボムLv.1,爆発ダメージ+25%。
19002,ビッグボムLv.2,爆発ダメージ+50%。
19003,ビッグボムLv.3,爆発ダメージ+75%。
20001,火焔攻撃Lv.1,炎攻撃ダメージ+100%。
21001,毒攻撃Lv.1,毒攻撃ダメージ+100%。
22001,混乱攻撃Lv.1,混乱攻撃ダメージ+100%。
23001,エリートハンターLv.1,エリートに対する与ダメージが25%上昇する。
23002,エリートハンターLv.2,エリートに対する与ダメージが50%上昇する。
23003,エリートハンターLv.3,エリートに対する与ダメージが75%上昇する。
24001,ビーストハンターLv.1,ビーストに対する与ダメージが25%上昇する。
24002,ビーストハンターLv.2,ビーストに対する与ダメージが50%上昇する。
24003,ビーストハンターLv.3,ビーストに対する与ダメージが75%上昇する。
25001,ヒューマンハンターLv.1,人間へのダメージ+25%。
25002,ヒューマンハンターLv.2,人間へのダメージ+50%。
25003,ヒューマンハンターLv.3,人間へのダメージ+75%。
26001,近接防御Lv.1,近接攻撃によるダメージ-25%。
26002,近接防御Lv.2,近接攻撃によるダメージ-50%。
26003,近接防御Lv.3,近接攻撃によるダメージ-75%。
27001,遠距離防御Lv.1,遠距離攻撃によるダメージ-25%。
27002,遠距離防御Lv.2,遠距離攻撃によるダメージ-50%。
27003,遠距離防御Lv.3,遠距離攻撃によるダメージ-75%。
28001,爆発防御Lv.1,爆発によるダメージ-25%。
28002,爆発防御Lv.2,爆発によるダメージ-50%。
28003,爆発防御Lv.3,爆発によるダメージ-75%。
29001,燃焼耐性Lv.1,炎によるダメージ-25%。
29002,燃焼耐性Lv.2,炎によるダメージ-50%。
29003,燃焼耐性Lv.3,炎によるダメージ-75%。
30001,毒耐性Lv.1,毒によるダメージ-25%。
30002,毒耐性Lv.2,毒によるダメージ-50%。
30003,毒耐性Lv.3,毒によるダメージ-75%。
31001,混乱耐性Lv.1,闇属性のダメージ-25％。
31002,混乱耐性Lv.2,闇属性のダメージ-50％。
31003,混乱耐性Lv.3,闇属性のダメージ-75％。
32001,落下耐性Lv.1,落下によるダメージ-25%。
32002,落下耐性Lv.2,落下によるダメージ-50%。
32003,落下耐性Lv.3,落下によるダメージ-75%。
33000,火災0,1秒ごとに3ポイントのダメージを与えます
33001,着火Lv.1,1秒ごとに5ptのダメージを与える。
33002,着火Lv.2,1秒ごとに10ptのダメージを与える。
33003,着火Lv.3,1秒ごとに15ptのダメージを与える。
33004,着火Lv.4,1秒ごとに20ptのダメージを与える。
33005,着火Lv.5,1秒ごとに25ptのダメージを与える。
34001,中毒Lv.1,1秒ごとに5ptのダメージを与える。
34002,中毒Lv.2,1秒ごとに10ptのダメージを与える。
34003,中毒Lv.3,1秒ごとに15ptのダメージを与える。
35001,闇Lv.1,2秒ごとに10ptのダメージを与える。
35002,闇Lv.2,2秒ごとに10ptのダメージを与える。
35003,闇Lv.3,2秒ごとに10ptのダメージを与える。
36001,食中毒Lv.1,空腹感スピードが25％強くなる。
36002,食中毒Lv.2,空腹感スピードが50％強くなる。
36003,食中毒Lv.3,空腹感スピードが75％強くなる。
37001,水中呼吸-初級,水中呼吸能力を獲得！
37002,水中呼吸-中級,水中呼吸能力を獲得！
37003,水中呼吸-上級,水中呼吸能力を獲得！
38001,くらくらLv.1,ああ、今自分が浮いているような気がする～
38002,くらくらLv.2,ああ、今自分が浮いているような気がする～
38003,くらくらLv.3,ああ、今自分が浮いているような気がする～
39001,怒涛の如く！Lv.1,年越しおじさんのポケットからのプレゼント！
39002,@Null@,@Null@
39003,@Null@,@Null@
40001,大きくなった！Lv.1,世界が小さくなっていくぅ！
40002,@Null@,@Null@
40003,@Null@,@Null@
41001,小さくなった！Lv.1,世界が大きくなっていくぅ！
41002,@Null@,@Null@
41003,@Null@,@Null@
42001,あわあわLv.1,バブルに包まれて、体が軽くなったみたい！
42002,あわあわLv.2,バブルに包まれて、体が軽くなったみたい！
42003,あわあわLv.3,バブルに包まれて、体が軽くなったみたい！
43001,跳ねるLv.1,ビョーン！
43002,@Null@,@Null@
43003,@Null@,@Null@
44001,蜂毒Lv.1,持続的な中毒状態。頭も風船みたいになっちゃった！
44002,@Null@,@Null@
44003,@Null@,@Null@
45001,凍結Lv.1,寒さで移動速度が減少する。
45002,凍結Lv.2,寒さで移動速度が減少する。
45003,凍結Lv.3,寒さで移動速度が減少する。
46001,拘束Lv.1,拘束され、持続ダメージを受ける。
46002,@Null@,@Null@
46003,@Null@,@Null@
47001,点火,火が着き、持続ダメージを受ける。
47002,点火,火が着き、持続ダメージを受ける。
47003,@Null@,@Null@
48001,@Null@,@Null@
48002,@Null@,@Null@
48003,@Null@,@Null@
49001,@Null@,@Null@
49002,@Null@,@Null@
49003,@Null@,@Null@
50001,スピード回復Lv.1,5秒以内にHPが15pt回復する。
50002,スピード回復Lv.2,5秒以内にHPが30pt回復する。
50003,スピード回復Lv.3,5秒以内にHPが40pt回復する。
50004,スピード回復Lv.4,5秒以内にHPが50pt回復する。
51001,スピード回復Lv.5,30秒以内にHPが75pt回復する。
51002,スピード回復Lv.2,12秒以内にHPが60pt回復する。
52001,変異ベニタケの不思議パワーLv.1,1秒以内にHPが5pt回復する。
52002,変異ベニタケの不思議パワーLv.2,1秒以内にHPが5pt減らします。
52003,@Null@,@Null@
53001,変異キノコの不思議パワーLv.1,掘削能力が25%アップする
53002,変異キノコの不思議パワーLv.2,掘削能力が25%ダウンする
53003,@Null@,@Null@
54001,毒素免疫,すべての毒に対して無敵
54002,@Null@,@Null@
54003,@Null@,@Null@
55001,解毒剤バッグ！,それは...まさか、殺虫剤！
55002,@Null@,@Null@
55003,@Null@,@Null@
56001,@Null@,@Null@
56002,@Null@,@Null@
56003,@Null@,@Null@
57001,@Null@,@Null@
57002,@Null@,@Null@
57003,@Null@,@Null@
58001,@Null@,@Null@
58002,@Null@,@Null@
58003,@Null@,@Null@
59001,@Null@,@Null@
59002,@Null@,@Null@
59003,@Null@,@Null@
60001,中毒Lv.1,1.2秒ごとに5ptのダメージを与える。
60002,中毒Lv.2,1秒ごとに5ptのダメージを与える。
61001,初心者攻撃,近接攻撃ダメージを大幅に上げる。
62001,近接防御,近接攻撃によるダメージ-100%。
63001,宇宙ガス,人を不快にさせる有毒ガス
63002,@Null@,@Null@
63003,@Null@,@Null@
64001,宇宙毒,有害ガスで満たされた肺、持続的な傷害を受ける
64002,@Null@,@Null@
64003,@Null@,@Null@
65001,酸素供給-不安定,酸素がある（一時的）
65002,酸素供給-機械,酸素がある居心地の良い環境。
65003,酸素供給-永久,酸素がある居心地の良い環境。
66001,酸素供給-不安定,気分が悪くなる空気を含んでいる。
66002,@Null@,@Null@
66003,@Null@,@Null@
67001,スタードロップ酸素エリア,有効化するたびに、一時的な酸素エリアを提供する。
67002,酸素供給-永久,酸素がある居心地の良い環境。
67003,@Null@,@Null@
68001,食中毒Lv.1,なんだかますますお腹が空いてきた。
68002,@Null@,@Null@
68003,@Null@,@Null@
69001,@Null@,@Null@
69002,@Null@,@Null@
