ID,名称,描述,说明
ID,Name,Desc,Notes
100001,現在のグローバル天気モード,現在のグローバル天気モード,
100002,位置間の距離,%1と%2の距離,
100006,位置がエリアにあるかの判定,%1%2が%3に所属,
100007,指定された位置のブロックタイプ,%1のブロックタイプ,
100008,位置から位置への方向,%1から%2への方向,
100009,絶対座標系における方向,X%1、Y%2、Z%3の方向,
10001,位置をエリアに変更,%1を中心点とし、サイズが（%2、%3、%4）のエリア,
100010,絶対球面座標系における方向,方位角%1、仰角%2の方向,
100011,位置,位置%1,
100012,エリア,エリア%1,
100013,タイマー,タイマー%1,
100014,位置グループ,位置グループ%1,
100015,エリアグループ,エリアグループ%1,
100016,タイマーグループ,タイマーグループ%1,
100017,ランダム天気,ランダム天気,
100018,地形グループの天気,%1の天気,
10002,エリア偏移,"%1を座標軸に沿ってずらす（%2,%3,%4）",
10003,エリア拡大,%1の範囲をX%2、Y%3、Z%4マス拡大,
10005,座標位置指定,座標値X%1Y%2Z%3の位置,
10006,位置偏移（元の位置を変更）,"%1を座標軸に沿ってずらす（%2,%3,%4）",
10007,エリアの中央位置,%1の中央位置,
10008,エリア内のランダムな位置,%1のランダムな位置,
10009,タイマー時間,%1の時間,
10010,指定された方向の射線の長さ,%1から%2に長さ%3マスの光線を発射し、止められるブロックから始めたブロックからの長さを取得,
10011,文字列結合,%1と%2,
10012,数値を文字列に変換,%1を文字列に変換する,
10015,射線に命中されたブロックタイプ,%1から%2に%3マスの射線を発射し、命中されたブロックのタイプ,
10016,三軸座標系における方向,%1がX%2、Y%3、Z%4に向いている,
10017,球面座標系における方向,%1が方位角%2、仰角%3に向いている,
10018,プレイヤー対象,%1対象,
10019,生物対象,%1対象,
10020,投擲物対象,%1対象,
10021,ドロップアイテム対象,%1対象,
10022,音調を数値に変換,%1を数値に変換する,
10024,位置偏移（元の位置を変更しない）,"%1を座標軸に沿ってずらす（%2,%3,%4）",
10025,ブール値,ブール値%1,
10026,数値,数値%1,
10027,文字列,文字列%1,
10028,外観タイプ,外観タイプ%1,
10029,ブール値グループ,ブール値グループ%1,
10030,数値グループ,数値グループ%1,
10031,文字列グループ,文字列グループ%1,
10032,任意グループにおける値の数を取得,%1における値の数を取得,
10033,任意グループにおける任意値の数を取得,%1における%2の数を取得,
10034,任意グループにおける任意値の番号を取得,%1における%2の番号を取得,
10035,任意のグループに任意の値が存在するかの判定,%1の中に%2がある,
10036,任意のグループに指定された番号が存在するかの判定,%1の中に番号%2の位置の存在値,
10037,文字列を切り取る,%1の中の%2から%3までの文字列を切り取る,
10038,文字列を数値に変換,%1を数値に変換する,
10039,ホストデバイスの時間を取得,デバイスの%1時間を取得,
10040,ホストデバイスのフルタイム設定を取得,メインデバイスのフルタイム設定を取得する,
10041,ランダムブロックタイプ,ランダムブロックタイプ,
10042,文字列分割,%1を分割し、分割符は%2、分割後の第%3段を取る,
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,ゲームサーバータイム取得,ゲームサーバータイムの%1時間を取得,
10045,タイムスタンプを時間単位に変換,タイムスタンプ%1を%2に変換,
10046,完全なサーバータイムを取得,完全なサーバータイムを取得,
10047,タイムスタンプを完全な時間に変換,タイムスタンプ%1を完全な時間に変換,
10048,文字列の長さを取得,%1の長さを取得,
10049,状態タイプ名,%1のタイプ名,
10050,状態タイプ説明,%1のプラグインの説明,
10051,ブロックタイプ座標を取得,%1に最も近い%2座標を取得、XYZ軸から半径%3個のブロック範囲内で検索,
10052,バックパックアイテムバー,%1取得,
10053,ショートカットキー,%1取得,
10054,装備バー,%1取得,
10055,ブロックタイプをアイテムタイプに変換,%1をアイテムタイプに変換,
10056,アイテムタイプをブロックタイプに変換,%1をブロックタイプに変換,
10057,現在のルームIDを取得,現在のルームIDを取得,
1010001,天気変更,天気 が変更した時,天気が晴れから雨になり、または雨から晴れになった時
1010002,地形グループの天気変更,指定された%1の天気が変更した時,通常グループ：平原/森林/絶壁/ジャングル/盆地/空島/河流。海洋グループ：ビーチ/深海/浅海/島。砂漠グループ：砂漠/オアシス。通常寒帯：針葉樹林/氷原。高海抜寒帯：氷山。火山グループ：火山。湿地グループ：雨林/沼沢。平坦、空島
1020001,ゲーム作成,ゲーム作成時に発動,ゲームスタートのカウントダウン終了後、ゲームスタートした時
