ID,名称
ID,Name
1000001,霧スイッチ
100001,オン
100002,オフ
10001,晴れのち雨
10002,晴れ
10003,雨
10004,雷
10005,悪天候
10006,雪
10007,砂嵐
10008,暴風雨
10009,暴風雪
1010001,被写界深度スイッチ
110001,最大値
110002,最小値
120001,=
120002,≠
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,-
130003,*
130004,/
140001,最大HP
140002,現在のHP
140003,HP回復
140006,現在の空腹度
140008,現在の酸素値
140010,移動速度
140011,走る速度
140012,スニーク速度
140013,水泳速度
140014,ジャンプ
140015,回避率
140016,近接攻撃
140017,遠距離攻撃
140018,近接防御
140019,遠距離防御
140020,モデルサイズ
140022,スター数
140023,現在の経験値
140024,現在のレベル
140025,最大スタミナ
140026,現在のスタミナ
140027,スタミナ回復倍率
140028,物理攻撃
140029,元素攻撃
140030,物理防御
140031,元素防御
150001,静止
150002,移動
150004,走る
150005,ジャンプ
150006,二段ジャンプ
150007,スニーク
150011,着地
160001,移動可能
160002,ブロック配置可能
160003,ブロック交信可能
160004,ブロック破壊可能
160005,アイテム使用可能
160006,攻撃可能
160007,被ダメージ可能
160008,撃破可能
160009,アイテム拾得可能
160010,死亡ドロップ可能
160011,アイテム破棄可能
170001,チーム1赤
170002,チーム2青
170003,チーム3緑
170004,チーム4黄
170005,チーム5橙
170006,チーム6紫
170007,チーム無し
180001,プレイヤー数
180002,スコア
190001,破壊可能
190002,交信可能
190003,プッシュ可能
190004,アイテムドロップ可能
200001,空
200002,待機
200003,散歩
200004,近接攻撃
200005,遠距離攻撃
200006,追従
200007,水泳
200008,逃走
200009,自爆
20001,東
200010,魅了
200011,交尾
20002,南
20003,西
20004,北
20005,上
20006,下
2030001,なし
2030002,自分を中断させる
2030003,低優先度を中断させる
2030004,すべて
2040001,任意の子ノードが成功
2040002,すべての子ノードが成功
2050001,なし
2050002,任意の子ノードが失敗
2050003,すべての子ノードが失敗
2060001,任意
2060002,味方
2060003,敵側
2060004,中立
2070001,任意
2070002,中立敵対
2070003,中立被動
2070010,チーム無し
2070011,チーム1赤
2070012,チーム2青
2070013,チーム3緑
2070014,チーム4黄
2070015,チーム5橙
2070016,チーム6紫
2090001,周囲
2090002,手前
2090003,背後
2100001,作者をフォローする
2100002,マップをお気に入りに追加する
2100003,マップにコメントを残す
210001,最大HP
210002,現在のHP
210003,HP回復
210005,現在の空腹度
210007,現在の酸素値
210009,移動速度
210011,水泳速度
210012,ジャンプ力
210014,回避率
210015,近接攻撃
210016,遠距離攻撃
210017,近接防御
210018,遠距離防御
210019,モデルサイズ
210020,視野範囲
210021,振り向き速度
210022,物理攻撃
210023,元素攻撃
210024,物理防御
210025,元素防御
220001,移動可能
220002,被攻撃可能
220003,撃破可能
220004,アイテム拾得可能
220005,死亡ドロップ可能
230001,世界でエリアを選択
240001,事件における位置
240002,リスポーン地点
240003,世界で位置を選択
250001,事件をトリガーしたプレイヤー
250002,事件における目標プレイヤー
260001,エアブロック
260002,事件におけるブロックタイプ
260003,最後に作成されたブロックタイプ
270001,事件におけるアイテムタイプ
270002,最後に作成されたアイテムタイプ
280001,事件をトリガーした投擲物
290001,事件におけるドロップアイテム
300001,事件をトリガーした生物
300002,事件における目標生物
300003,世界で生物を選択
300004,最後に作成された生物
30001,一人称視点
30002,三人称視点
30003,二人称視点
30004,俯瞰視点
30005,カスタマイズ視点
30006,アクション視点
310001,事件におけるスタンプ
320001,TRUE
320002,FALSE
330001,Sin
330002,Cos
330003,Tan
340001,事件における特殊効果タイプ
340002,最後に作成された特殊効果タイプ
350001,上
350002,下
350003,左
350004,右
350005,前
350006,後
360001,アクションを実行する対象
370001,G1
370002,G1（アップ）
370003,高音2
370004,トレブル2（リットル）
370005,高音3
370006,高音4
370007,トレブル4（リットル）
370008,高音5
370009,トレブル5（リットル）
370010,高音6
370011,トレブル6（リットル）
370012,高音7
370013,C1
370014,C1（アップ）
