ID,名称
ID,name
11311,うんこ
11423,変異巨大ココナッツリーフ
11603,初級攻撃ルーン
11604,中級攻撃ルーン
11605,高級攻撃ルーン
11606,初級防御ルーン
11607,中級防御ルーン
11608,高級防御ルーン
11609,初級効率ルーン
11610,中級効率ルーン
11611,高級効率ルーン
11657,輝くの蛍光ペンライト
12615,生マコンブ
12616,宝の地図のビン
13600,ハダカイワシ
13602,エイ
13604,ベビーブルーボケボケ魚
13605,濃いブルーボケボケ魚
13606,黒いボケボケ魚
13607,ベビーブルーキーキー魚
13608,ピンクチュチュ魚
13609,金色のボケボケ魚
13610,金色のキーキー魚
13611,金色のチュチュ魚
13612,ピンクボケボケ魚
13613,黄色いキーキー魚
13614,紫色のチュチュ魚
13615,緑色のキーキー魚
13616,しま模様のチュチュ魚
13617,赤いキーキー魚
13618,赤いボケボケ魚
13619,オレンジチュチュ魚
13621,カニ
13623,タツノオトシゴ
13624,ベビータツノオトシゴ
13626,クラゲ
13627,トビウオ
13628,サメ
13629,マンタ
13630,チョウチンアンコウ
245,水草
247,ウキクサ
248,ハスの葉
250,ロータス
27,遠方からのドリフトボトル
295,大きいココナッツ
314,紅藻
486,ツノサンゴ
487,アルビノツノハナサンゴ
488,バブルサンゴ
489,アルビノバブルサンゴ
490,ディスクサンゴ
491,アルビノディスクサンゴ
492,樹木のサンゴ
493,アルビノツリーサンゴ
