ID,名字,描述
ID,Name,Desc
3001,オルタネートID,@Null@
3002,オルタネートID,
3003,オルタネートID,@Null@
3004,オルタネートID,@Null@
3005,オルタネートID,@Null@
3006,オルタネートID,@Null@
3007,オルタネートID,@Null@
3008,オルタネートID,@Null@
3009,オルタネートID,@Null@
3010,行商人,@Null@
3011,砂漠商人,@Null@
3012,氷原商人,@Null@
3013,クリスマス商人,@Null@
3014,元日商人,@Null@
3015,春節商人,@Null@
3016,周年限定の商人,@Null@
3017,子供の日の商人,@Null@
3018,宇宙商人,@Null@
3019,空島商人,@Null@
3020,願い商人,@Null@
3021,愛心大使,
3022,行商人,
3023,オルタネートID,@Null@
3024,オルタネートID,@Null@
3025,オルタネートID,@Null@
3026,オルタネートID,@Null@
3027,オルタネートID,@Null@
3028,オルタネートID,@Null@
3029,オルタネートID,@Null@
3030,オルタネートID,@Null@
3031,オルタネートID,@Null@
3032,オルタネートID,@Null@
3033,オルタネートID,@Null@
3034,オルタネートID,@Null@
3035,オルタネートID,@Null@
3036,オルタネートID,@Null@
3037,オルタネートID,@Null@
3038,オルタネートID,@Null@
3039,オルタネートID,@Null@
3040,オルタネートID,@Null@
3095,カカ,
3096,ニィニィ,
3097,大山,
3098,スコット・リー,
3099,ダーウィン・リー,
3100,生物模型,@Null@
3101,野蛮人戦士,
3102,野良スカル,@Null@
3103,キョロシウシウ,@Null@
3104,神秘異星人,@Null@
3105,野蛮人投槍者,
3106,イベントハンター,@Null@
3107,コウモリ,@Null@
3108,オルタネートID,@Null@
3109,ボムボムエッグ,@Null@
3110,キョロチッチ,@Null@
3111,萌目フロスティ,@Null@
3112,キョロダンダン,@Null@
3113,キョロチッチ,@Null@
3114,萌目フロスティ,@Null@
3115,キョロダンダン,@Null@
3116,キョロディンドン,@Null@
3117,キョロディンダン,@Null@
3118,キョロドンダン,@Null@
3119,オルタネートID,@Null@
3120,凶悪な肉屋さん,@Null@
3121,カカシ,@Null@
3122,凶悪な肉屋さん（従順）,@Null@
3123,イライラの宇宙人,@Null@
3124,従順なキョロディンディン,@Null@
3125,従順なキョロドンドン,@Null@
3126,従順なキョロダンダン,@Null@
3127,オルタネートID,@Null@
3128,オルタネートID,@Null@
3129,オルタネートID,@Null@
3130,溶岩巨人,@Null@
3131,硫黄射手,@Null@
3132,混乱射手,@Null@
3133,@Null@,@Null@
3134,@Null@,@Null@
3135,寒霜野蛮人祭司,
3136,オルタネートID,@Null@
3137,オルタネートID,@Null@
3138,オルタネートID,@Null@
3139,オルタネートID,@Null@
3140,オルタネートID,@Null@
3141,オルタネートID,@Null@
3142,オルタネートID,@Null@
3143,オルタネートID,@Null@
3144,オルタネートID,@Null@
3145,オルタネートID,@Null@
3146,オルタネートID,@Null@
3147,オルタネートID,@Null@
3148,オルタネートID,@Null@
3149,オルタネートID,@Null@
3150,オルタネートID,@Null@
3151,オルタネートID,@Null@
3152,オルタネートID,@Null@
3153,オルタネートID,@Null@
3154,オルタネートID,@Null@
3155,オルタネートID,@Null@
3156,オルタネートID,@Null@
3157,オルタネートID,@Null@
3158,オルタネートID,@Null@
3159,オルタネートID,@Null@
3160,オルタネートID,@Null@
3165,緑の双冠竜,
3166,閻魔の二つ冠の龍,
3167,金の冠の副栉龍,
3168,紅蓮剣竜,
3169,灰鉄剣竜,
3170,トリケラトプス-灰色,
3171,トリケラトプス-茶色,
3172,トリケラトプス-青色,
3173,ソードトリケラトプスボス,
3174,ブラキオサウルス-灰色,
3175,ブラキオサウルス-黄色,
3176,ブラキオサウルス-緑色,
3177,タイタンブラキオサウルスボス,
3178,プテロダクティルス-赤色,
3179,プテロダクティルス-灰色,
3180,プテロダクティルス-紫色,
3181,風神プテロダクティルスボス,
3182,パラサウロロフス-緑色,
3183,パラサウロロフス-青色,
3184,パラサウロロフス-赤色,
3185,ヴェロキラプトル-黒色,
3186,ヴェロキラプトル-青色,
3187,ヴェロキラプトル-紫色,
3188,武装ヴェロキラプトルボス,
3189,ディロフォサウルス-茶色,
3190,ディロフォサウルス-灰色,
3191,ステゴサウルス-緑色,
3192,ステゴサウルス-青色,
3193,ティラノサウルス,
3194,狂暴なティラノサウルス,
3195,残忍なティラノサウルス,
3196,武装ティラノサウルス,
3197,メカティラノサウルスボス,
3198,ボイドソルジャー,
3199,ドクター・ボイド,
3200,仲間-野人,@Null@
3201,仲間-ハンター,@Null@
3202,仲間-スカル,@Null@
3203,野人記念パック,@Null@
3204,砂漠の若い男性村人,@Null@
3205,砂漠の中年男性村人,@Null@
3206,砂漠の若い女性村人,@Null@
3207,砂漠の中年女性村人,@Null@
3208,砂漠の少年村人,
3209,砂漠の少女村人,
3210,砂漠の普通商人1,
3211,砂漠の普通商人2,
3212,砂漠の特別商人,
3213,砂漠の警備員,
3214,漁村の男性村人A,
3215,漁村の男性村人B,
3216,漁村の女性村人A,
3217,漁村の女性村人B,
3218,漁村の子供（男）,
3219,漁村の子供（女）,
3220,海賊略奪者,
3221,海賊ハンター,
3222,海賊商人,
3223,海島商人,
3224,海の精霊ガード,
3225,海賊船（小）,
3226,海賊船（中）,
3227,海賊船（大）,
3228,爆弾船,
3229,レジェンドの漁師,
3230,ドリフトボトル（生物）,
3231,ドリフトボトル（生物）,
3232,小さいドリフトボトル（生物）,
3233,氷原村人,
3234,氷原スカル,
3235,氷原村人・護衛,
3236,氷原村人・ハンター,
3237,氷原村人・木こり,
3238,氷原村人・建築者,
3239,氷原村人・助手,
3240,雪玉,
3241,マネキン,
3242,小型ボイド渦潮,
3243,大型ボイド渦潮,
3244,ボイド・団子,
3245,ボイド・団子（従順）,
3246,ボイド・ツノジカ,
3247,ボイド・ツノジカ（従順）,
3248,ボイド・キツネ,
3249,ボイド・キツネ（従順）,
3250,ボイド・キツネ（二尾）,
3251,ボイド・キツネ（二尾従順）,
3252,ボイド・キツネ（三尾）,
3253,ボイド・キツネ（三尾従順）,
3254,ボイド・雪兎,
3255,ボイド・蝶々,
3261,ボイド・サイ,
3262,ボイド・サイ（従順）,
3263,ボイド・クラゲ,
3264,ボイド・砂漠のオオカミ,
3266,ボイド・サメ,
3267,ボイド・コウモリ,
3268,ボイド・ヒョウ,
3269,ボイド海賊船（小）,
3270,ボイド・ホタル,
3271,ボイド渦潮,
3272,ボイド海賊船（中）,
3273,ボイド海賊船（大）,
3400,ドードー鳥,@Null@
3401,サイ,@Null@
3402,アルパカ,@Null@
3403,ツノジカ,@Null@
3404,馬,ミニワールドでよく見かける生物。
3405,氷熊（おとなしい）,@Null@
3406,ヴェロキラプトル（おとなしい）,@Null@
3407,キツネ,@Null@
3408,霊キツネ（おとなしい）,@Null@
3409,ペンギン,@Null@
3410,ダチョウ（おとなしい）,@Null@
3411,ダチョウ,@Null@
3412,氷熊,@Null@
3413,ヴェロキラプトル,@Null@
3414,団子,@Null@
3415,団子（おとなしい）,@Null@
3416,パンダ,@Null@
