姓或形容词，显示在前，可以为空，男女都会随机与名匹配,名，只男角色随机，显示在后,名，只女角色随机，显示在后
Surname,Male,Female
おとなしい,大翔,陽葵
勇ましい,蓮,葵
飾り気がない,樹,陽菜
明るい,悠真,結衣
優しい,陽太,凛
いさましい,蒼,咲良
かわいい,湊,結菜
おもしろい,颯真,結愛
楽しい,陽翔,心春
男らしい,陽斗,杏
冷たい,奏太,紬
信望が厚い,朝陽,莉子
気が長い,颯太,芽依
心が広い,岳,凜
雄々しい,悠斗,さくら
逞しい,結翔,美月
若々しい,碧,あかり
颯爽,大和,澪
聡明,陽大,楓
愛しい,悠人,ひかり
たおやか,奏汰,結月
はかなげ,悠,芽生
きよらな,悠翔,咲希
つぶらな,瑛太,琴音
ゆかしい,陽向,ひまり
しとやか,悠生,莉央
まろやか,颯,彩葉
潔い,翔太,花
たおやかな,翔,琴葉
かぐわしい,新,心結
雅かな,歩,美桜
まばゆい,葵,心晴
清々しい,蒼太,杏奈
古めかしい,大智,美咲
凛々しい,陸,桜
厳かな,陽,柚希
恭しい,絢斗,美結
おくゆかしい,旭,莉緒
がめつい,蒼士,愛莉
目早い,結斗,結
算盤高い,奏多,心陽
物堅い,碧斗,華
情けらしい,匠,美織
気長い,悠希,栞奈
幼い,遥斗,栞
我慢強い,颯人,朱莉
手厚い,晴,優奈
手堅い,蒼真,彩羽
目捷い,湊太,和奏
目敏い,壮真,ひなた
美い,翔真,玲奈
気忙しない,結人,悠乃
見苦しい,蒼空,陽菜乃
気強い,駿,心咲
悪堅い,伊織,優花
無精ったらしい,奏,和花
不甲斐無い,健斗,彩乃
生っちょろい,陸斗,一華
我強い,颯汰,蘭
小喧しい,瑛斗,優月
気障っぽい,碧人,咲来
男男しい,奏翔,希
狡っ辛い,隼人,柚羽
涙脆い,凪,菜月
とろくさい,健太,詩織
行儀正しい,陽輝,いろは
甘ちょろい,優斗,美羽
物見高い,翔琉,乃愛
刺刺しい,蒼大,莉愛
婀娜っぽい,優心,咲那
義理堅い,翼,千尋
小賢しい,仁,優
忘れっぽい,悠月,明莉
勘弁強い,航平,優衣
とろい,創太,愛菜
夜聡い,琉生,夏帆
忍耐強い,奏音,晴
感じ易い,颯斗,一花
囂しい,楓,朱里
情け深い,聡太,日葵
惚れっぽい,光,彩愛
ちゃくい,空,日菜
賢しい,海斗,鈴
人らしい,暖,心愛
人物らしい,航,心美
凛凛しい,太一,真帆
初心い,理人,光莉
初い,陽真,花音
愛愛しい,遼,雪乃
子供らしい,蒼生,桃花
年若い,湊斗,彩花
福福しい,湊翔,美空
しんどい,圭,莉桜
慈悲深い,一輝,雫し
待ち遠しい,悠太,優愛
眠い,悠仁,葉月
おっかない,司,怜奈
待遠しい,優翔,みのり
見目麗しい,大河,美緒
人懐こい,瑛士,望結
注意深い,湊大,柚葉
筋目正しい,大雅,梨花
計算高い,大輝,葵衣
怒りっぽい,薫,心遥
遠慮深い,廉,風花
邪推深い,大晴,詩
慚無い,陽葵,百花
憂はし,晴翔,光里
愛くるしい,春翔,こはる
愛らしい,海翔,結心
奥床しい,,結子
けなりい,,桃子
まどろこい,,七海
てきない,,莉帆
かったるい,,渚
人恋しい,,綾乃
せつい,,茉奈
子供っぽい,,こころ
女らしい,,花
女女しい,,みな
ちっちゃい,,かおり
さがない,,里美
ねつい,,里見
さくい,,聡美
土臭い,,里実
虫強い,,忠志
いじましい,,美香
あどない,,美加
あざとい,,美佳
野暮ったい,,実夏
せこい,,美夏
野暮堅い,,優衣
頼り無い,,由井
どびつこい,,雅子
こぶい,,昌子
しちくどい,,政子
義強い,,真砂子
幼気ない,,真佐子
理屈臭い,,まさ子
善い,,恵み
遠慮深い,,恵美
艶艶しい,,愛
しどけない,,萌
こつい,,萌子
すこい,,しおり
がめつい,,詩織
子供っぽい,,由香
女らしい,,由佳
女女しい,,有香
さがない,,佑香
ねつい,,優香
さくい,,裕香
奥床しい,,友華
いじましい,,由宇
あどない,,瑞樹
あざとい,,瑞希
野暮ったい,,みずき
野暮堅い,,
頼り無い,,
熱臭い,,
どでかい,,
大きい,,
大人っぽい,,
せこい,,
どびつこい,,
こぶい,,
しちくどい,,
にやこい,,
こつい,,
すこい,,
人懐かしい,,
切ない,,
嘆かわしい,,
小面憎い,,
屈託無い,,
待遠い,,
憂い,,
晴晴しい,,
残り惜しい,,
物思わしい,,
素気無い,,
物足らない,,
空恐ろしい,,
気疎い,,
気軽い,,
物寂しい,,
物恐ろしい,,
物佗しい,,
物欲しい,,
所在無い,,
気安い,,
気忙しい,,
忍びない,,
気味好い,,
恥ずかしい,,
嬉しい,,
嬉し悲しい,,
しどない,,
麗麗しい,,
遣る方無い,,
こそばゆい,,
けなるい,,
けったるい,,
ごつい,,
うそ寂しい,,
いじらしい,,
若い,,
若若しい,,
めんこい,,
うら若い,,
忙しい,,
忙わしい,,
忙忙しい,,
後ろ暗い,,
極り悪い,,
苦苦しい,,
肌寂しい,,
心悲しい,,
ごっつい,,
心淋しい,,
心細い,,
心良い,,
厳つい,,
心面白い,,
いっかい,,
愛敬らしい,,
痛い,,
痛痒い,,
痛痛しい,,
小気味好い,,
待ち遠い,,
