ID,名称
ID,Name
79000000,草ブロック
79000001,黒いスラリーブロック
79000002,黒いスラリーブロック
79000003,黒いスラリーブロック
79000004,黒いスラリーブロック
79000005,黒いスラリーブロック
79000006,黒いスラリーブロック
79000007,畑
79000008,畑
79000009,汚染ブロック
79000010,黒晶石
79000011,ブルーベリーの草ブロック
79000012,ブルーベリーの土ブロック
79000013,スラリーブロック
79000014,萌目プラネット草ブロック
79000015,硫黄砂
79000016,鉄鉱
79000017,魔古岩
79000018,青い石
79000019,草木灰ブロック
79000020,赤土の畑
79000021,赤土の畑
79000022,赤土
79000023,赤砂
79000024,深層岩
79000025,深層岩
79000026,風蝕岩
79000027,風蝕岩
79000028,土ブロック
79000029,呪いの岩
79000030,乾土
79000031,堅い氷
79000032,灼砂
79000033,灼砂
79000034,凍土
79000035,凝縮エネルギーブロック
79000036,巨大ブルフルーツ
79000037,巨大なプルマージュ
79000038,草の生えた土ブロック
79000039,砕石の山
79000040,薄氷
79000041,薄氷
79000042,脆い冰柱
79000043,硬い冰柱
79000044,葉なしジェーンの木
79000045,ジェーンの木
79000056,高木の原木
79000057,太いポプラの木の枝
79000058,太いカラマツの枝
79000059,ココナッツの原木
79000060,太いサクラの木の枝
79000061,雨林の芯高木
79000062,雨林の芯高木
79000063,太い桃の木の枝
79000064,フェビの原木
79000065,コヨウの原木
79000066,コヨウの原木
79000067,太い赤いモミの枝
79000068,聖なる木の幹
79000069,太いクルミの木の枝
79000070,モダンなハーフレンガ
79000071,突然変異体隙間の木の葉
79000072,変異体植物の茎
79000073,黄砂
79000074,石油ブロック
79000075,黄砂
79000076,砂土
79000077,スターエネルギーブロック
79000078,岩石
79000079,硫黄岩
79000080,地心の礎石
79000081,基石-コンクリート
79000082,基石-クレイ
79000083,白色の基石
79000084,基石-ソリードアイス
79000085,土レンガ
79000086,床
79000087,オータムリーフオレンジ床
79000088,ベゴニア床
79000089,銅製縦型薄板
79000090,セメントレンガ縦型薄板
79000091,粗い石レンガ
79000092,キャラメルブロック
79000093,車体ブロック
79000094,中国風ハーフレンガ
79000095,中国風ハーフレンガ
79000096,シンプルなレンガ
79000097,シンプルなハーフレンガ
79000098,シンプルな外壁レンガ
79000099,シンプルな外壁レンガ
79000100,ガラスブロック
79000101,タイル
79000102,横縞タイル
79000103,縦縞タイル
79000104,4ブロックタイル
79000105,不規則タイル
79000106,緑のガラス
79000107,硬質ガラスブロック
79000108,干の積草
79000109,焦げた蜂蜜
79000110,星瞳の石ブロック
79000111,氷レンガ
79000112,赤外線センサーブロック
79000113,マンガンブロック縦型薄板
79000114,ミスリル縦型薄板
79000115,レモンイエロー縦型薄板
79000116,竹縦型薄板
79000117,薄白い縦型薄板
79000118,オータムリーフオレンジ縦型薄板
79000119,ライトペールグレー縦型薄板
79000120,縦型薄板
79000121,淡い石灰縦型薄板
79000122,淡い石灰木板
79000123,赤い縦型薄板
79000124,サンセットオレンジ縦型薄板
79000125,コヨウの木板
79000126,ベゴニア縦型薄板
79000127,深い栗色縦型薄板
79000128,浮き板
79000129,草木灰ブロック
79000130,レンガ壁
79000131,岩礁
79000132,石製縦型薄板
79000133,黄色レンガの階段
79000134,精製黄色レンガ板
79000135,粗製黄色レンガ板
79000136,錆ミスリル板
79000137,しま模様錆ミスリル板
79000138,スターエネルギー錆ミスリルブロック
79000139,厚いミスリル板
79000140,二重ミスリル板
79000141,模様雲母ブロック
79000142,縦紋雲母ブロック
79000143,雲母階段
79000144,精製石レンガ縦型薄板
79000145,ひび割れの石レンガ
79000146,青い石の岩レンガ
79000147,青い石の薄板
79000148,チョコレンガ
79000149,硫黄レンガ縦型薄板
79000150,基石-スチールプレート
79000151,エリアコピーブロック
79000152,エリアコピーブロック
79000153,エリアコピーブロック
79000154,白黒模様のレンガ
79000155,ブロックコピー機
79000156,ブロックコピー機
79000157,ブロックコピー機
79000158,中国風外壁レンガ
79000159,タッチブロック
79000160,生物タッチブロック
79000161,ボールタッチブロック
79000162,物理タッチブロック
79000163,タッチブロック5
79000164,タッチブロック5
79000165,茶色模様のレンガ
79000166,萌目プラネット雲団
79000167,コットンブロック
79000168,コットンブロック
79000169,コットンブロック
79000170,熾炎縦型薄板
79000171,熾炎鉱
79000172,熾炎鉱
79000173,青しま模様磁器タイル
79000174,青しま模様磁器タイル
79000175,純白釉面磁器タイル
79000176,ライトカラー幾何学磁器タイル
79000177,杏色宮廷磁器タイル
79000178,蛍光結晶
79000179,紫蛍石のブロック
79000180,静態猛毒
79000181,空のハチの巣
79000182,満杯のハチの巣
79000183,結晶になった蜂蜜
79000184,ハニーブロック
79000185,霜火石ブロック
79000186,サードニックスブロック
79000187,琥珀ブロック
79000188,鏡アイス
79000189,古いミスリルのブロック
79000190,縦紋ミスリル板
79000191,紫線ミスリルブロック
79000192,バブルブロック
79000193,スターエナジーブロック
79000194,白いスターライト胞子ブロック
79000195,ガス止めブロック
79000196,チタン縦型薄板
79000197,タングステンゴールドブロック
79000198,エスニックなレンガ
79000199,黒いスラリーブロック
79000200,セメントブロック
79000201,金属ブロック
79000202,滑らかなブロック
