角色ID,日语,日语,日语,日语,日语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,族長,原始人集落の長。趣味はいろんなところを冒険し、集落の領地を開拓すること。,屈強,基本ダメージアップ（未開放）,@Null@
2,族長,原始人集落の長。趣味はいろんなところを冒険し、集落の領地を開拓すること。,屈強1,基本ダメージが5点アップ,@Null@
3,族長,原始人集落の長。趣味はいろんなところを冒険し、集落の領地を開拓すること。,屈強2,基本ダメージが10点アップ,@Null@
4,族長夫人,強気の原始人ママ。集落では狩りの一番手。,熟練ハンター,狩りの収穫が増える（未開放）,@Null@
5,族長夫人,強気の原始人ママ。集落では狩りの一番手。,熟練ハンター1,モンスターを倒す際25％の確率で二倍ドロップ,@Null@
6,族長夫人,強気の原始人ママ。集落では狩りの一番手。,熟練ハンター2,モンスターを倒す際25/15%の確率で二/三倍ドロップ,@Null@
7,カカ,子供の頃から原始人の集落で育ててきた。野外でのサバイバルに長けている。,頑固,受ける遠距離ダメージ減少（未開放）,@Null@
8,カカ,子供の頃から原始人の集落で育ててきた。野外でのサバイバルに長けている。,頑固1,受ける遠距離ダメージが20％減少,@Null@
9,カカ,子供の頃から原始人の集落で育ててきた。野外でのサバイバルに長けている。,頑固2,受ける遠距離ダメージが40％減少,@Null@
10,ニィニィ,勤勉な原始人の女の子。労働には特に積極的。,勤勉,採取の速度アップ（未開放）,@Null@
11,ニィニィ,勤勉な原始人の女の子。労働には特に積極的。,勤勉1,採取の速度が50％アップ,@Null@
12,ニィニィ,勤勉な原始人の女の子。労働には特に積極的。,勤勉2,採取の速度が100％アップ,@Null@
13,悪ガキ,一家には一人いる悪ガキ。ちょい待ち、その手に持っているものは何だ？,爆弾鬼才,受けるブラストダメージ減少（未開放）,@Null@
14,悪ガキ,一家には一人いる悪ガキ。ちょい待ち、その手に持っているものは何だ？,爆弾鬼才1,受けるブラストダメージが20％減少,@Null@
15,悪ガキ,一家には一人いる悪ガキ。ちょい待ち、その手に持っているものは何だ？,爆弾鬼才2,受けるブラストダメージが40％減少,@Null@
16,キャプテントム,世界平和維持軍の特殊部隊元隊員。サバイバルと銃には特に長けている。,サバイバル,食べ物強化の強化と水中呼吸（未開放）,開放アイテムはホームで取得できる。
17,キャプテントム,世界平和維持軍の特殊部隊元隊員。サバイバルと銃には特に長けている。,サバイバル1,食べ物で回復する空腹度/HP、水中呼吸時間が15％アップ,開放アイテムはホームで取得できる。
18,キャプテントム,世界平和維持軍の特殊部隊元隊員。サバイバルと銃には特に長けている。,サバイバル2,食べ物で回復する空腹度/HP、水中呼吸時間が30％アップ,開放アイテムはホームで取得できる。
19,エイジェントローラ,セキュリティカンパニーのマドンナ。刺激的な冒険が大好き。,予感,致命的なダメージを1回防ぐ,開放アイテムはホームで取得できる。
20,エイジェントローラ,セキュリティカンパニーのマドンナ。刺激的な冒険が大好き。,予感1,損傷が45ポイント以上で死亡したとき、それは健康価値の25％ですぐに再生されます。トリガ間隔は5分です。,開放アイテムはホームで取得できる。
21,エイジェントローラ,セキュリティカンパニーのマドンナ。刺激的な冒険が大好き。,予感2,損傷が25ポイント以上で死亡を引き起こすと、50％の健康ですぐに再生され、トリガ間隔は3分です。,開放アイテムはホームで取得できる。
22,お茶目シンディ,原始考古隊のパイロット。機敏で鋭い。,ハイパージャンプ,ジャンプ力増強。レベル2になると二段ジャンプができる（未開放）,開放アイテムはホームで取得できる。
23,お茶目シンディ,原始考古隊のパイロット。機敏で鋭い。,ハイパージャンプ1,ジャンプの高さ+50%、落下ダメージ-10,開放アイテムはホームで取得できる。
24,お茶目シンディ,原始考古隊のパイロット。機敏で鋭い。,ハイパージャンプ2,ジャンプの高さ+50%、落下ダメージ-20。二段ジャンプができる,開放アイテムはホームで取得できる。
25,助教授ピーター,完璧な卒業論文を出すため、この先輩は考古隊に参加した。,意外発見,ツボを破壊すると、一定の確率でものを発見できる（未開放）,開放アイテムはホームで取得できる。
26,助教授ピーター,完璧な卒業論文を出すため、この先輩は考古隊に参加した。,意外発見1,ツボを破壊すると、18％の確率でものを発見できる,開放アイテムはホームで取得できる。
27,助教授ピーター,完璧な卒業論文を出すため、この先輩は考古隊に参加した。,意外発見2,ツボを破壊すると、27％の確率でものを発見できる,開放アイテムはホームで取得できる。
28,スティーブン教授,国家科学院の老教授はなぜこんな未開な地にいるの？,博学,石を採掘する際に、定の確率でものを発見できる（未開放）,開放アイテムはホームで取得できる。
29,スティーブン教授,国家科学院の老教授はなぜこんな未開な地にいるの？,博学1,石を採掘する際に、4％の確率でレアな鉱石と材料を発見できる,開放アイテムはホームで取得できる。
30,スティーブン教授,国家科学院の老教授はなぜこんな未開な地にいるの？,博学2,石を採掘する際に、6％の確率でもっといろんなレアな鉱石と材料と特殊ブロックを発見できる,開放アイテムはホームで取得できる。
