ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,聖なる果実の配置,生命の石シートに@item_587#を置く@1#r(「聖なる果実」は、「古者」が開発した最も優れた遺伝子組換え技術を表しています),生命の石シートへの@item_587#の配置
1001002,激しい炎の剣の配置,勇気の石シートに@item_588#を置く@1#r(「激しい炎の剣」は、「古者」がかつて「古者」と長い協力の象徴であったことを表す。),勇気の石シートへの@item_588#の配置
1001003,ストーンマンズの目の配置,知恵の石シートに@item_589#を置く@1#r(「激しい炎の剣」は、「古者」が開発した最も優れた遺伝子組換え技術を表しています),知恵の石シートへの@item_589#の配置
1001004,決戦虚空ファントム！,虚空ファントムを打ち破る！@1#r(もう後戻りできない、ミニ宇宙のため！),虚空ファントムを打ち破る！
1001005,虚空に触れる,@item_11333#を得る@1#r(これは…新しいスタート？……),@item_11333#を得る
1002001,ミラプラネットに戻る,ようやく無事にミラプラネットに到着した。@1#rしかし星チェーンの封鎖を突破した時、チーム全体が散らされて、他の仲間がミラプラネットに到着したのではないでしょうか？,ミラプラネットに到着する
1002002,石が欲しいです,採集@item_110#取得@item_11627#@1#r(長い石で採集し、制御パネルを開いて、加工インタフェースで加工することもできます@item_104#取得@item_11627#),採集@item_110#取得@item_11627#@1
1002003,より多くの材料,枝を採取して@item_11006#を得る@1#r(枝ごとに長さを採集し、高いところに生えている木もあるが、自分を高く敷く方法はないだろうか),@item_11006#@1を得る
1002004,素敵な生活を始める~,@item_11627#と@item_11006#で@item_11002#を加工する@1#r(手の道具に乗じてより早く資源を採取することができる),制御パネルで@item_11002#@1を加工する
1002005,木材伐採者,"@item_11002#を持って、幹を採集！
@item_11323#を得る@1#r(@item_11323#は今後の旅で重要です)",木切り収集@item_11323#@1
1002006,建築の名手,@item_11323#で@item_206#を加工する@1#r(@item_206#を除いて、多くの木質アイテム加工には@item_11323#が必要であり、多く収集することをお勧めです),@item_206#@1を加工する
1002007,身を寄せる所,@item_206#を置きます@1#r(聞こえてきたばかりのスターステーションの近くに破れた家があるようですが、@item_206#で修復できるかもしれませんが、心配ありません),@item_206#@1の配置
1002008,自分を武装する,@item_11323#と@item_11627#で@item_12012#@1#rを加工する(荒野でのサバイバルはいつも危険だから、使いやすい武器が欠かせない！),@item_12012#@1を加工する
