ID,名字
ID,EnumName
10001,晴れ時々雨
10002,晴天
10003,雨天
10004,雷
10005,悪天候
10006,雪
10007,砂嵐
10008,暴風雨
10009,暴風雪
20001,東
20002,南
20003,西
20004,北
20005,上
20006,下
30001,一人称視点
30002,三人称視点
30003,二人称視点
30004,俯瞰視点
30005,カスタマイズ視点
30006,
40001,X
40002,Y
40003,Z
50001,角度
50002,弧度
60001,Log
60002,Ln
70001,切捨て
70002,四捨五入
70003,切上げ
80001,近接ダメージ
80002,遠距離ダメージ
80003,爆発ダメージ
80004,燃焼ダメージ
80005,毒ダメージ
80006,カオスダメージ
80007,落下ダメージ
80008,窒息ダメージ
80009,凍結ダメージ
90001,はい
90002,いいえ
100001,オン
100002,オフ
110001,最大値
110002,最小値
120001,等しい
120002,等しくない
120003,より大きい
120004,より小さい
120005,以上
120006,以下
130001,足す
130002,引く
130003,掛ける
130004,割る
140001,最大HP
140002,現在のHP
140003,HP回復
140006,現在の空腹度
140008,現在の酸素値
140010,移動速度
140011,走行速度
140012,ステルス速度
140013,泳ぐ速度
140014,ジャンプ
140015,回避率
140016,近接攻撃
140017,遠距離攻撃
140018,近接防御
140019,遠距離防御
140020,モデルサイズ
140022,スター数
140023,現在の経験値
140024,現在のレベル
140025,最大HP
140026,現在のHP
140027,HP回復率
150001,静止
150002,移動
150004,走行
150005,ジャンプ
150006,二段ジャンプ
150007,ステルス
150011,着地
160001,移動可能
160002,ブロック設置可能
160003,ブロックと交流可能
160004,ブロックの破壊可能
160005,道具使用可能
160006,攻撃可能
160007,被ダメージ可能
160008,被キル可能
160009,道具拾得可能
160010,死亡ドロップ可能
160011,道具破棄可能
170001,チーム1赤
170002,チーム2青
170003,チーム3緑
170004,チーム4黄色
170005,チーム5オレンジ
170006,チーム6紫
170007,チームがありません
180001,プレイヤーの数
180002,スコア
190001,被破壊可能
190002,交流可能
190003,被前進可能
190004,道具ドロップ可能
200001,空
200002,待機
200003,ぶらつく
200004,近接攻撃
200005,遠距離攻撃
200006,追従する
200007,泳ぐ
200008,逃げる
200009,自爆する
200010,引き寄せられる
200011,交配する
210001,最大HP
210002,現在のHP
210003,HP回復
210005,現在の空腹度
210007,現在の酸素値
210009,移動速度
210011,泳ぐ速度
210012,ジャンプ力
210014,回避率
210015,近接攻撃
210016,遠距離攻撃
210017,近接防御
210018,遠距離防御
210019,モデルサイズ
220001,移動可能
220002,被攻撃可能
220003,被キル可能
220004,道具拾得可能
220005,死亡ドロップ可能
230001,ワールド選択エリア
240001,イベント内の位置
240002,準備ポイント
240003,ワールド選択位置
250001,イベントを発動させるプレイヤー
250002,イベント内のターゲットプレイヤー
260001,空気ブロック
260002,イベント内のブロックタイプ
260003,最後に作成されたブロックのタイプ
270001,イベント内の道具タイプ
270002,最後に作成された道具のタイプ
280001,イベントを発動させる投擲物
290001,イベント内のドロップアイテム
300001,イベントを発動させる生物
300002,イベント内のターゲット生物
300003,ワールド選択生物
300004,最後に作成された生物
310001,イベント内のアニメーション表情
320001,真
320002,偽
330001,Sin
330002,Cos
330003,Tan
340001,イベント内の特殊効果タイプ
340002,最後に作成された特殊効果タイプ
350001,正上方
350002,正下方
350003,正左方
350004,正右方
350005,正前方
350006,正後方
360001,アクション実行の対象
370001,高音1
370002,高音1（up）
370003,高音2
370004,高音2（up）
370005,高音3
370006,高音4
370007,高音4（up）
370008,高音5
370009,高音5（up）
370010,高音6
370011,高音6（up）
370012,高音7
370013,中音1
370014,中音1（up）
370015,中音2
370016,中音2（up）
370017,中音3
370018,中音4
370019,中音4（up）
370020,中音5
370021,中5（up）
370022,中音6
370023,中6（up）
370024,中音7
370025,低音1
370026,低音1（up）
370027,低音2
370028,低音2（up）
370029,低音3
370030,低音4
370031,低音4（up）
370032,低音5
370033,低音5（up）
370034,低音6
370035,低音6（up）
370036,低音7
380001,Wキー
380002,Aキー
380003,Sキー
380004,Dキー
380005,Spaceキー
380006,Shiftキー
380007,Bキー
380008,Cキー
380009,Eキー
380010,Fキー
380011,Gキー
380012,Hキー
380013,Iキー
380014,Jキー
380015,Kキー
380016,Lキー
380017,Mキー
380018,Nキー
380019,Oキー
380020,Pキー
380021,Qキー
380022,Rキー
380023,Tキー
380024,Uキー
380025,Vキー
380026,Xキー
380027,Yキー
380028,Zキー
390001,ショートカットバー1
390002,ショートカットバー2
390003,ショートカットバー3
390004,ショートカットバー4
390005,ショートカットバー5
390006,ショートカットバー6
390007,ショートカットバー7
390008,ショートカットバー8
400001,イベント内のショートカットバー
410001,イベント内のステータス効果
420001,装備バー1（ヘルメット）
420002,装備バー2（チェストプレート）
420003,装備バー3（レギンス）
420004,装備バー4（ブーツ）
420005,装備バー5（背飾り）
430001,イベント内の装備バー
440001,イベントを発動させる生物タイプ
440002,イベント内のターゲット生物
440003,最後に作成された生物のタイプ
450001,イベント内のレシピ
460001,イベント内の製錬
470001,イベント内のストーリー
480001,イベント内の道具数
490001,文字盤
490002,浮遊文字
490003,プログレスバー
490004,ターゲットを指す矢印
490005,位置を指す矢印
490006,ターゲットを指すガイドエリア
490007,位置を指すガイドエリア
490008,ターゲットを指すガイドパス
490009,位置を指すガイドパス
500001,昇順
500002,降順
510001,イベントコンポーネント
520001,現在の編集インターフェース
520002,イベントインターフェース
530001,フライト
530002,デフォルトの移動方法
540001,年
540002,月
540003,日
540004,時
540005,分
540006,秒
540007,タイムスタンプ（秒）
550001,イベント内の文字列
570001,イベント内の音楽
580001,一時中止
580002,再開
580003,クローズ
590001,世界に掲示板を選択してください。
600001,グローバルオブジェクト
610001,ループ再生
610002,一回再生
990001,通常グループ
990002,海洋グループ
990003,砂漠グループ
990004,通常寒帯グループ
990005,高海抜寒帯グループ
990006,火山グループ
990007,湿地グループ
