ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,天気変更時,ワールド,任意の天気が変更された時,天気は日当たりの良い雨に変わって、そして雨は晴れた日に変わりました。
1010002,地形グループの天気が変わった時,ワールド,指定された|@1|の天気が変わった時,通常グループ：平原/森林/絶壁/ジャングル/盆地/空島/河流。海洋グループ：ビーチ/深海/浅海/島。砂漠グループ：砂漠/オアシス。通常寒帯：針葉樹林/氷原。高海抜寒帯：氷山。火山グループ：火山。湿地グループ：雨林/沼沢。平坦、空島
1020001,ゲーム作成時,ゲームロジック,ゲーム作成時に発動,ゲームカウントダウン3，2，1に入るとき、ゲームを開始する
1020002,ゲーム内の時間,ゲームロジック,ゲーム内時間は|@1|時,ゲームが指定された時点にあるとき
1020003,ゲーム運行時間,ゲームロジック,ゲーム運行時間|@1|秒後,ゲームに入った後、指定された時刻を実行してください
1020004,ゲーム勝利,ゲームロジック,任意のプレイヤーが勝利した時,@Null@
1020005,ゲーム失敗,ゲームロジック,任意のプレイヤーが失敗した時,@Null@
1020007,プレイヤーのゲームアクセス,ゲームロジック,任意のプレイヤーがゲームにアクセスした時,@Null@
1020008,プレイヤーのゲーム退出,ゲームロジック,任意のレイヤーがゲームを退出した時,@Null@
1020009,タイマー変化,ゲームロジック,任意のタイマーが変化した時,変数ライブラリ内の任意のタイマー変数が変化したとき
1020010,指定タイマー変化,ゲームロジック,@1|が変化した時,変数ライブラリで指定されたタイマー変数が変化したとき
1020011,毎回のゲーム実行時間（ループ）,ゲームロジック,ゲームは|@1|秒ごとに実行される,"1.最小値は0.05秒、0.01～0.09は0.05秒かかる
2.ゲームが指定時間ごとに実行された後にトリガーが起動する（ループ）"
1020012,マップが情報を受け取ったとき,ゲームロジック,マップが任意の文字列情報を受け取った場合,@Null@
1030001,プレイヤーの被撃破,プレイヤー,任意のプレイヤー倒された時,@Null@
1030002,復活,プレイヤー,任意のプレイヤーが復活する,@Null@
1030003,属性変更,プレイヤー,任意のプレイヤーの|@1|が変更される,プレイヤーのHPなどの属性が変化したとき
1030004,目標撃破,プレイヤー,任意のプレイヤーが他のプレイヤーまたは生物を倒す,プレイヤーが他のプレイヤーやクリーチャーを倒した場合、その倒したプレイヤーやクリーチャーがイベントの対象プレイヤーやクリーチャーとなります。
1030005,攻撃,プレイヤー,任意のプレイヤーの攻撃時,@Null@
1030006,攻撃命中,プレイヤー,任意のプレイヤーの攻撃が他のプレイヤー、生物に命中する,プレイヤーの攻撃が他のプレイヤーやクリーチャーに当たった場合、当たったプレイヤーやクリーチャーがイベントの対象プレイヤーやクリーチャーとなります。
1030007,与ダメージ,プレイヤー,任意のプレイヤーが任意のプレイヤー、生物にダメージを与える,プレイヤーが他のプレイヤーやクリーチャーにダメージを与えたとき、その ダメージを受けたプレイヤーやクリーチャーは、イベントの対象プレイヤーやクリーチャーとなります。
1030008,被ダメージ,プレイヤー,任意のプレイヤーがダメージを受ける,@Null@
1030009,移動,プレイヤー,任意のプレイヤーが1グリッド移動する時,@Null@
1030010,アニメーション表情の使用,プレイヤー,任意のプレイヤーがアニメーション表情を使用する,@Null@
1030011,プレイヤーの道具使用,プレイヤー,任意のプレイヤーが道具を使用する,@Null@
1030012,プレイヤーの道具獲得,プレイヤー,任意のプレイヤーが道具を獲得する,@Null@
1030013,プレイヤーの道具消費,プレイヤー,任意のプレイヤーが道具を消費する,@Null@
1030014,プレイヤーの生物タップ,プレイヤー,任意のプレイヤーが生物をタップする,@Null@
1030015,プレイヤーのブロックタップ,プレイヤー,任意のプレイヤーがブロックをタップする,@Null@
1030016,騎乗,プレイヤー,任意プレイヤーがマウント、乗り物に乗る,@Null@
1030017,騎乗キャンセル,プレイヤー,任意のプレイヤーが騎乗をキャンセルする,@Null@
1030018,運動ステータス変更,プレイヤー,任意のプレイヤーが|@1|ステータスになった時,@Null@
1030019,接触発生,プレイヤー,任意のプレイヤーが他のプレイヤー/生物と衝突する,@Null@
1030020,ドロップアイテム拾う,プレイヤー,任意のプレイヤーがドロップアイテムを拾う,@Null@
1030021,プレイヤーのエリア進入,プレイヤー,任意のプレイヤーが|@1|に入る時,@Null@
1030022,プレイヤーのエリア退出,プレイヤー,任意のプレイヤーが|@1|から出る時,@Null@
1030023,装備バー変更,プレイヤー,任意のプレイヤーの装備バーが変更される,@Null@
1030024,バックパック道具バー変更,プレイヤー,任意のプレイヤーのバックパック道具バーが変更される,@Null@
1030025,ショートカット道具バー変更,プレイヤー,任意のプレイヤーのショートカット道具バーが変更される,@Null@
1030026,ショートカット道具バー選択,プレイヤー,任意のプレイヤーが任意の番号のショートカットバーを選択する,@Null@
1030027,道具破棄,プレイヤー,任意のプレイヤーが道具を捨てる,@Null@
1030028,装備装着,プレイヤー,任意のプレイヤーが装備を装着する,@Null@
1030029,装備脱衣,プレイヤー,任意のプレイヤーが装備を脱ぐ,@Null@
1030030,チャット欄の文字列表示,プレイヤー,チャット欄に表示：|@1|,@Null@
1030031,文字列入力,プレイヤー,任意のプレイヤーがチャット欄に入力：|@1|,@Null@
1030032,キーを押す,プレイヤー,任意のプレイヤーが以下を押す：|@1|,@Null@
1030033,キーの長押し,プレイヤー,任意のプレイヤーが以下を長押しする：|@1|,@Null@
1030034,キーを放す,プレイヤー,任意のプレイヤーが以下を放す：|@1|,@Null@
1030035,ステータス効果獲得,プレイヤー,任意のプレイヤーがステータス効果を獲得する,@Null@
1030036,ステータス効果喪失,プレイヤー,任意のプレイヤーがステータス効果を失う,@Null@
1030037,指定ステータス効果喪失,プレイヤー,任意のプレイヤーが以下を失う：|@1|,@Null@
1030038,レベル変更,プレイヤー,任意のプレイヤーのレベルが変更される,@Null@
1030039,プレイヤーがチャットメッセージを入力する（文字列を含む）,プレイヤー,任意のプレイヤーがチャット欄から|@1|を含む情報を入力する,プレイヤーがチャットメッセージを入力する（文字列を含む）
1040001,被ダメージ,生物,任意の生物がダメージを受けると発動する,@Null@
1040002,攻撃,生物,任意の生物が攻撃を始める,@Null@
1040003,攻撃命中,生物,任意の生物の攻撃が他のプレイヤー、生物に命中する,@Null@
1040004,与ダメージ,生物,任意の生物が任意のプレイヤー、生物にダメージを与える,@Null@
1040005,生物被撃破,生物,任意の生物が倒される時,@Null@
1040006,目標撃破,生物,任意の生物が他のプレイヤーまたは生物を倒す,@Null@
1040007,生物のエリア進入,生物,任意の生物が|@1|に入る時,@Null@
1040008,生物のエリア退出,生物,任意の生物が|@1|から出る時,@Null@
1040009,生物行動ステータス変更,生物,任意の生物が|@1|ステータスになる時,@Null@
1040010,衝突時,生物,任意の生物がプレイヤー、他の生物と衝突する時,@Null@
1040011,生物属性変更,生物,任意の生物の|@1|が変更される時,@Null@
1040012,作成される,生物,任意の生物が作成される,@Null@
1040013,ステータス効果獲得,生物,任意の生物がステータス効果を獲得する,@Null@
1040014,ステータス効果喪失,生物,任意の生物がステータス効果を失う,@Null@
1040015,指定ステータス効果喪失,生物,任意の生物が以下を失う：|@1|,@Null@
1040016,被ダメージ時,生物,このタイプの生物がダメージを受ける時,@Null@
1040017,攻撃開始時,生物,このタイプの生物が攻撃を開始する時,@Null@
1040018,攻撃命中時,生物,このタイプの生物の攻撃が目標に命中する時,@Null@
1040019,与ダメージ時,生物,このタイプの生物が目標にダメージを与える時,@Null@
1040020,被撃破時,生物,このタイプの生物が倒される時,@Null@
