ID,大类名称
ID,TypeName
1,가구
2,가구
3,가구
4,가구
5,가구
6,가구
7,가구
8,가구
9,가구
10,가구
11,가구
12,가구
13,가구
14,가구
15,가구
16,가구
17,가구
18,가구
19,가구
20,가구
21,가구
22,가구
23,가구
24,가구
25,가구
26,가구
27,가구
28,가구
29,가구
30,가구
31,가구
32,가구
33,가구
34,가구
35,가구
36,가구
37,가구
38,가구
39,가구
40,가구
41,가구
42,가구
43,건축
44,건축
45,건축
46,건축
47,건축
48,가구
49,가구
50,가구
51,장비
52,장비
53,장비
54,장비
55,장비
56,장비
57,장비
58,장비
59,가구
60,가구
61,가구
62,가구
63,가구
64,가구
65,가구
66,가구
67,가구
68,가구
69,가구
70,가구
71,가구
72,가구
73,가구
74,가구
75,가구
76,가구
77,축제
78,축제
79,축제
80,축제
81,축제
82,축제
83,축제
84,축제
85,축제
86,축제
87,축제
88,축제
89,축제
90,건축
91,건축
92,건축
93,건축
94,건축
95,건축
96,건축
97,건축
98,건축
99,건축
100,건축
101,생물학
102,생물학
103,생물학
104,건축
105,건축
106,건축
107,건축
108,건축
109,건축
110,건축
111,건축
112,건축
113,건축
114,건축
115,건축
116,건축
117,건축
118,건축
119,건축
120,건축
121,건축
122,건축
123,건축
124,장비
125,장비
126,장비
127,장비
128,장비
129,장비
130,장비
131,장비
132,축제
133,축제
134,축제
135,건축
136,건축
137,건축
138,건축
139,건축
140,건축
149,가구
150,가구
151,가구
152,가구
153,가구
