ID,名字,描述
ID,Name,Desc
1001,예시 이동 속도,@Null@
1002,예시 이동 속도,@Null@
1003,예시 이동 속도,@Null@
2001,예시 발굴 속도,@Null@
3001,1급 느린 생명 회복,4초마다 5포인트 생명력을 회복합니다.
3002,2급 느린 생명 회복,2초마다 5포인트 생명력을 회복합니다.
3003,3급 느린 생명 회복,1초마다 5포인트 생명력을 회복합니다.
4001,1급 질주,기본 속도가 25% 증가합니다.
4002,2급 질주,기본 속도가 50% 증가합니다.
4003,3급 질주,기본 속도가 75% 증가합니다.
4004,4급 질주,기본 속도가 75% 증가합니다.
5001,1급 속영,수영 속도가 25% 증가합니다.
5002,2급 속영,수영 속도가 50% 증가하다.
5003,3급 속영,수영 속도가 75% 증가합니다.
6001,1급 높이뛰기,점프 높이 향상.
6002,2급 높이뛰기,점프 높이 향상.
6003,3급 높이뛰기,점프 높이가 올라가고 다리가 부러지지 않도록 조심하세요!
6004,4급 높이뛰기,점프 높이가 올라가고 다리가 부러지지 않도록 조심하세요!
6005,향상된 파쿠르,기본 속도는 90% 증가했고 점프는 25 증가했습니다.
7001,1급 폭풍굴착,굴착 속도가 25% 증가합니다.
7002,2급 폭풍굴착,마이닝 속도가 50% 증가합니다.
7003,3급 폭풍굴착,발굴 속도가 75% 증가합니다.
8001,1급 지연,기본 속도가 25% 감소합니다.
8002,2급 지연,기본 속도가 50% 감소합니다.
8003,3급 지연,기본 속도가 75% 감소합니다.
9001,1급 굴착 피로,굴착 속도가 25% 감소합니다.
9002,2급 굴착 피로,굴착 속도가 50% 감소합니다.
9003,3급 굴착 피로,굴착 속도가 75% 감소합니다.
10001,1급 흡수상해,생명을 해치는 흡수 2가지를 준다.
10002,2급 흡수상해,4가지 흡수해 생명을 준다.
10003,3급 흡수상해,6가지 흡수해 생명을 준다.
11001,1급 폭격,폭격 공격력이 25% 증가합니다.
11002,2급 폭격,폭격 공격력이 50% 증가합니다.
11003,3급 폭격,폭격 공격력이 75% 증가합니다.
12001,1급 강력 격퇴,격퇴 거리가 2미터 증가합니다.
12002,2급 강력 격퇴,격퇴 거리가 4미터 증가합니다.
12003,3급 강력 격퇴,격퇴 거리가 6미터 증가합니다.
13001,1급 저항 격퇴,피격 거리를 1m 줄입니다.
13002,2급 저항 격퇴,피격거리 2m를 줄입니다.
13003,3급 저항 격퇴,피격거리 3m를 줄입니다.
14001,1급 행운 발굴,특수 드랍 확률을 1% 증가시킵니다.
14002,2급 행운 발굴,특수 드랍 확률을 2% 증가시킵니다.
14003,3급 행운 발굴,특수 드랍 확률을 3% 증가시킵니다.
15001,1급 행운 사냥,특수 드랍 확률을 1% 증가시킵니다.
15002,2급 행운 사냥,특수 드랍 확률을 2% 증가시킵니다.
15003,3급 행운 사냥,특수 드랍 확률을 3% 증가시킵니다.
16001,1급 야시,시야 밝기가 20 개선됩니다.
16002,2급 야시,시야 밝기가 40 개선됩니다.
16003,3급 야시,시야 밝기가 50 증가합니다.
16004,4급 야시,시야 밝기가 60 개선됩니다.
16005,야간 시력5,시야의 밝기가 50.
17001,1급 강력 공격,근접전 공격력이 25% 증가합니다.
17002,2급 강력 공격,근접전 공격력이 50% 증가합니다.
17003,3급 강력 공격,근접전 공격력이 75% 증가합니다.
18001,1급 강력 사격,원격 공격력이 25% 증가합니다.
18002,2급 강력 사격,원격 공격력이 50% 증가합니다.
18003,3급 강력 사격,원격 공격력이 75% 증가합니다.
19001,1급 강력 폭발,폭발 공격력이 25% 증가합니다.
19002,2급 강력 폭발,폭발 데미지가 50% 증가합니다.
19003,3급 강력 폭발,폭발 데미지는 75% 증가합니다.
20001,1급 화염 공격,화염 공격력이 100% 증가합니다.
21001,1급 독소 공격,독소 공격력이 100% 증가합니다.
22001,1급 혼란 공격,혼돈 공격력이 100% 증가합니다.
